# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123100
# River:                 LOIRE
# Station:               MONTJEAN
# Country:               FR
# Latitude (DD):       47.38
# Longitude (DD):      -0.83
# Catchment area (km²):      110000.0
# Altitude (m ASL):        9.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963-01 - 1979-12
# No. of years:          17
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6209
# DATA
YYYY-MM-DD;hh:mm; Value
1963-01-01;--:--;    770.000
1963-01-02;--:--;    765.000
1963-01-03;--:--;    810.000
1963-01-04;--:--;   1040.000
1963-01-05;--:--;   1250.000
1963-01-06;--:--;   1420.000
1963-01-07;--:--;   1530.000
1963-01-08;--:--;   1590.000
1963-01-09;--:--;   1560.000
1963-01-10;--:--;   1550.000
1963-01-11;--:--;   1550.000
1963-01-12;--:--;   1480.000
1963-01-13;--:--;   1390.000
1963-01-14;--:--;   1350.000
1963-01-15;--:--;   1300.000
1963-01-16;--:--;   1170.000
1963-01-17;--:--;   1120.000
1963-01-18;--:--;   1030.000
1963-01-19;--:--;   1060.000
1963-01-20;--:--;   1080.000
1963-01-21;--:--;   1110.000
1963-01-22;--:--;   1140.000
1963-01-23;--:--;   1140.000
1963-01-24;--:--;   1190.000
1963-01-25;--:--;   1250.000
1963-01-26;--:--;   1260.000
1963-01-27;--:--;   1250.000
1963-01-28;--:--;   1230.000
1963-01-29;--:--;   1220.000
1963-01-30;--:--;   1190.000
1963-01-31;--:--;   1170.000
1963-02-01;--:--;   1160.000
1963-02-02;--:--;   1140.000
1963-02-03;--:--;   1080.000
1963-02-04;--:--;   1010.000
1963-02-05;--:--;    945.000
1963-02-06;--:--;    840.000
1963-02-07;--:--;    830.000
1963-02-08;--:--;    810.000
1963-02-09;--:--;    810.000
1963-02-10;--:--;    855.000
1963-02-11;--:--;    925.000
1963-02-12;--:--;   1070.000
1963-02-13;--:--;   1150.000
1963-02-14;--:--;   1230.000
1963-02-15;--:--;   1300.000
1963-02-16;--:--;   1330.000
1963-02-17;--:--;   1460.000
1963-02-18;--:--;   1930.000
1963-02-19;--:--;   1780.000
1963-02-20;--:--;   1340.000
1963-02-21;--:--;   1550.000
1963-02-22;--:--;   1840.000
1963-02-23;--:--;   1840.000
1963-02-24;--:--;   2000.000
1963-02-25;--:--;   2030.000
1963-02-26;--:--;   1940.000
1963-02-27;--:--;   1670.000
1963-02-28;--:--;   1420.000
1963-03-01;--:--;   1190.000
1963-03-02;--:--;   1010.000
1963-03-03;--:--;    845.000
1963-03-04;--:--;    870.000
1963-03-05;--:--;    875.000
1963-03-06;--:--;    905.000
1963-03-07;--:--;    955.000
1963-03-08;--:--;    925.000
1963-03-09;--:--;    875.000
1963-03-10;--:--;    845.000
1963-03-11;--:--;    910.000
1963-03-12;--:--;   1040.000
1963-03-13;--:--;   1290.000
1963-03-14;--:--;   1430.000
1963-03-15;--:--;   1480.000
1963-03-16;--:--;   1510.000
1963-03-17;--:--;   1490.000
1963-03-18;--:--;   1480.000
1963-03-19;--:--;   1470.000
1963-03-20;--:--;   1570.000
1963-03-21;--:--;   1690.000
1963-03-22;--:--;   1870.000
1963-03-23;--:--;   1870.000
1963-03-24;--:--;   2130.000
1963-03-25;--:--;   2200.000
1963-03-26;--:--;   2310.000
1963-03-27;--:--;   2390.000
1963-03-28;--:--;   2390.000
1963-03-29;--:--;   2400.000
1963-03-30;--:--;   2510.000
1963-03-31;--:--;   2520.000
1963-04-01;--:--;   2570.000
1963-04-02;--:--;   2570.000
1963-04-03;--:--;   2460.000
1963-04-04;--:--;   2290.000
1963-04-05;--:--;   2190.000
1963-04-06;--:--;   2130.000
1963-04-07;--:--;   2120.000
1963-04-08;--:--;   2040.000
1963-04-09;--:--;   2030.000
1963-04-10;--:--;   2030.000
1963-04-11;--:--;   2160.000
1963-04-12;--:--;   2220.000
1963-04-13;--:--;   2280.000
1963-04-14;--:--;   2220.000
1963-04-15;--:--;   2160.000
1963-04-16;--:--;   2100.000
1963-04-17;--:--;   2080.000
1963-04-18;--:--;   1980.000
1963-04-19;--:--;   1920.000
1963-04-20;--:--;   1740.000
1963-04-21;--:--;   1660.000
1963-04-22;--:--;   1580.000
1963-04-23;--:--;   1580.000
1963-04-24;--:--;   1610.000
1963-04-25;--:--;   1520.000
1963-04-26;--:--;   1500.000
1963-04-27;--:--;   1440.000
1963-04-28;--:--;   1310.000
1963-04-29;--:--;   1200.000
1963-04-30;--:--;   1100.000
1963-05-01;--:--;   1000.000
1963-05-02;--:--;    960.000
1963-05-03;--:--;    905.000
1963-05-04;--:--;    870.000
1963-05-05;--:--;    830.000
1963-05-06;--:--;    820.000
1963-05-07;--:--;    770.000
1963-05-08;--:--;    720.000
1963-05-09;--:--;    715.000
1963-05-10;--:--;    680.000
1963-05-11;--:--;    645.000
1963-05-12;--:--;    615.000
1963-05-13;--:--;    590.000
1963-05-14;--:--;    580.000
1963-05-15;--:--;    580.000
1963-05-16;--:--;    575.000
1963-05-17;--:--;    565.000
1963-05-18;--:--;    545.000
1963-05-19;--:--;    525.000
1963-05-20;--:--;    500.000
1963-05-21;--:--;    484.000
1963-05-22;--:--;    470.000
1963-05-23;--:--;    470.000
1963-05-24;--:--;    505.000
1963-05-25;--:--;    515.000
1963-05-26;--:--;    545.000
1963-05-27;--:--;    555.000
1963-05-28;--:--;    565.000
1963-05-29;--:--;    565.000
1963-05-30;--:--;    545.000
1963-05-31;--:--;    510.000
1963-06-01;--:--;    505.000
1963-06-02;--:--;    490.000
1963-06-03;--:--;    565.000
1963-06-04;--:--;    565.000
1963-06-05;--:--;    605.000
1963-06-06;--:--;    660.000
1963-06-07;--:--;    700.000
1963-06-08;--:--;    700.000
1963-06-09;--:--;    705.000
1963-06-10;--:--;    755.000
1963-06-11;--:--;    780.000
1963-06-12;--:--;    800.000
1963-06-13;--:--;    820.000
1963-06-14;--:--;    855.000
1963-06-15;--:--;    790.000
1963-06-16;--:--;    740.000
1963-06-17;--:--;    735.000
1963-06-18;--:--;    720.000
1963-06-19;--:--;    685.000
1963-06-20;--:--;    710.000
1963-06-21;--:--;    750.000
1963-06-22;--:--;    735.000
1963-06-23;--:--;    735.000
1963-06-24;--:--;    640.000
1963-06-25;--:--;    590.000
1963-06-26;--:--;    545.000
1963-06-27;--:--;    525.000
1963-06-28;--:--;    496.000
1963-06-29;--:--;    565.000
1963-06-30;--:--;    725.000
1963-07-01;--:--;    890.000
1963-07-02;--:--;    830.000
1963-07-03;--:--;    715.000
1963-07-04;--:--;    645.000
1963-07-05;--:--;    580.000
1963-07-06;--:--;    545.000
1963-07-07;--:--;    515.000
1963-07-08;--:--;    496.000
1963-07-09;--:--;    477.000
1963-07-10;--:--;    470.000
1963-07-11;--:--;    453.000
