# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123100
# River:                 LOIRE
# Station:               MONTJEAN
# Country:               --
# Latitude (DD):       47.38
# Longitude (DD):      -0.83
# Catchment area (km²):      
# Altitude (m ASL):        9.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1863 - 1979
# No. of years:          117
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1404
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1863-01-01;--:--;   1630.000;   -999.000;   0
1863-02-01;--:--;    775.000;   -999.000;   0
1863-03-01;--:--;    620.000;   -999.000;   0
1863-04-01;--:--;    585.000;   -999.000;   0
1863-05-01;--:--;    407.000;   -999.000;   0
1863-06-01;--:--;    247.000;   -999.000;   0
1863-07-01;--:--;    198.000;   -999.000;   0
1863-08-01;--:--;    104.000;   -999.000;   0
1863-09-01;--:--;    200.000;   -999.000;   0
1863-10-01;--:--;    735.000;   -999.000;   0
1863-11-01;--:--;    925.000;   -999.000;   0
1863-12-01;--:--;    690.000;   -999.000;   0
1864-01-01;--:--;    660.000;   -999.000;   0
1864-02-01;--:--;    585.000;   -999.000;   0
1864-03-01;--:--;   1220.000;   -999.000;   0
1864-04-01;--:--;    570.000;   -999.000;   0
1864-05-01;--:--;    269.000;   -999.000;   0
1864-06-01;--:--;    273.000;   -999.000;   0
1864-07-01;--:--;    167.000;   -999.000;   0
1864-08-01;--:--;    119.000;   -999.000;   0
1864-09-01;--:--;    136.000;   -999.000;   0
1864-10-01;--:--;    130.000;   -999.000;   0
1864-11-01;--:--;    740.000;   -999.000;   0
1864-12-01;--:--;    730.000;   -999.000;   0
1865-01-01;--:--;   1170.000;   -999.000;   0
1865-02-01;--:--;   2290.000;   -999.000;   0
1865-03-01;--:--;   1550.000;   -999.000;   0
1865-04-01;--:--;    905.000;   -999.000;   0
1865-05-01;--:--;    459.000;   -999.000;   0
1865-06-01;--:--;    269.000;   -999.000;   0
1865-07-01;--:--;    202.000;   -999.000;   0
1865-08-01;--:--;    185.000;   -999.000;   0
1865-09-01;--:--;    141.000;   -999.000;   0
1865-10-01;--:--;    173.000;   -999.000;   0
1865-11-01;--:--;    595.000;   -999.000;   0
1865-12-01;--:--;    745.000;   -999.000;   0
1866-01-01;--:--;    935.000;   -999.000;   0
1866-02-01;--:--;   1700.000;   -999.000;   0
1866-03-01;--:--;   2100.000;   -999.000;   0
1866-04-01;--:--;   1720.000;   -999.000;   0
1866-05-01;--:--;    650.000;   -999.000;   0
1866-06-01;--:--;    525.000;   -999.000;   0
1866-07-01;--:--;    375.000;   -999.000;   0
1866-08-01;--:--;    305.000;   -999.000;   0
1866-09-01;--:--;    680.000;   -999.000;   0
1866-10-01;--:--;   1490.000;   -999.000;   0
1866-11-01;--:--;    670.000;   -999.000;   0
1866-12-01;--:--;   1490.000;   -999.000;   0
1867-01-01;--:--;   2210.000;   -999.000;   0
1867-02-01;--:--;   2150.000;   -999.000;   0
1867-03-01;--:--;   2240.000;   -999.000;   0
1867-04-01;--:--;   1690.000;   -999.000;   0
1867-05-01;--:--;   1130.000;   -999.000;   0
1867-06-01;--:--;    515.000;   -999.000;   0
1867-07-01;--:--;    464.000;   -999.000;   0
1867-08-01;--:--;    373.000;   -999.000;   0
1867-09-01;--:--;    255.000;   -999.000;   0
1867-10-01;--:--;    710.000;   -999.000;   0
1867-11-01;--:--;    515.000;   -999.000;   0
1867-12-01;--:--;    645.000;   -999.000;   0
1868-01-01;--:--;   1180.000;   -999.000;   0
1868-02-01;--:--;   1290.000;   -999.000;   0
1868-03-01;--:--;   1000.000;   -999.000;   0
1868-04-01;--:--;    700.000;   -999.000;   0
1868-05-01;--:--;    700.000;   -999.000;   0
1868-06-01;--:--;    286.000;   -999.000;   0
1868-07-01;--:--;    165.000;   -999.000;   0
1868-08-01;--:--;    350.000;   -999.000;   0
1868-09-01;--:--;    249.000;   -999.000;   0
1868-10-01;--:--;    885.000;   -999.000;   0
1868-11-01;--:--;    960.000;   -999.000;   0
1868-12-01;--:--;   1850.000;   -999.000;   0
1869-01-01;--:--;   1750.000;   -999.000;   0
1869-02-01;--:--;    935.000;   -999.000;   0
1869-03-01;--:--;   1640.000;   -999.000;   0
1869-04-01;--:--;   1480.000;   -999.000;   0
1869-05-01;--:--;    760.000;   -999.000;   0
1869-06-01;--:--;    750.000;   -999.000;   0
1869-07-01;--:--;    275.000;   -999.000;   0
1869-08-01;--:--;    179.000;   -999.000;   0
1869-09-01;--:--;    129.000;   -999.000;   0
1869-10-01;--:--;    146.000;   -999.000;   0
1869-11-01;--:--;    231.000;   -999.000;   0
1869-12-01;--:--;    725.000;   -999.000;   0
1870-01-01;--:--;    855.000;   -999.000;   0
1870-02-01;--:--;    635.000;   -999.000;   0
1870-03-01;--:--;    845.000;   -999.000;   0
1870-04-01;--:--;    355.000;   -999.000;   0
1870-05-01;--:--;    197.000;   -999.000;   0
1870-06-01;--:--;    110.000;   -999.000;   0
1870-07-01;--:--;     77.000;   -999.000;   0
1870-08-01;--:--;     83.000;   -999.000;   0
1870-09-01;--:--;     85.000;   -999.000;   0
1870-10-01;--:--;    103.000;   -999.000;   0
1870-11-01;--:--;    565.000;   -999.000;   0
1870-12-01;--:--;    865.000;   -999.000;   0
1871-01-01;--:--;   1600.000;   -999.000;   0
1871-02-01;--:--;   1350.000;   -999.000;   0
1871-03-01;--:--;    670.000;   -999.000;   0
1871-04-01;--:--;    478.000;   -999.000;   0
1871-05-01;--:--;    248.000;   -999.000;   0
1871-06-01;--:--;    237.000;   -999.000;   0
1871-07-01;--:--;    269.000;   -999.000;   0
1871-08-01;--:--;    132.000;   -999.000;   0
1871-09-01;--:--;    115.000;   -999.000;   0
1871-10-01;--:--;    219.000;   -999.000;   0
1871-11-01;--:--;    298.000;   -999.000;   0
1871-12-01;--:--;    271.000;   -999.000;   0
1872-01-01;--:--;    895.000;   -999.000;   0
1872-02-01;--:--;   1000.000;   -999.000;   0
1872-03-01;--:--;    995.000;   -999.000;   0
1872-04-01;--:--;    645.000;   -999.000;   0
1872-05-01;--:--;    860.000;   -999.000;   0
1872-06-01;--:--;    785.000;   -999.000;   0
1872-07-01;--:--;    299.000;   -999.000;   0
1872-08-01;--:--;    302.000;   -999.000;   0
1872-09-01;--:--;    220.000;   -999.000;   0
1872-10-01;--:--;    970.000;   -999.000;   0
1872-11-01;--:--;   1750.000;   -999.000;   0
1872-12-01;--:--;   3540.000;   -999.000;   0
1873-01-01;--:--;   2140.000;   -999.000;   0
1873-02-01;--:--;   1690.000;   -999.000;   0
1873-03-01;--:--;   2540.000;   -999.000;   0
1873-04-01;--:--;   1270.000;   -999.000;   0
1873-05-01;--:--;    660.000;   -999.000;   0
1873-06-01;--:--;    499.000;   -999.000;   0
1873-07-01;--:--;    291.000;   -999.000;   0
1873-08-01;--:--;    188.000;   -999.000;   0
1873-09-01;--:--;    219.000;   -999.000;   0
1873-10-01;--:--;    250.000;   -999.000;   0
1873-11-01;--:--;    575.000;   -999.000;   0
1873-12-01;--:--;    493.000;   -999.000;   0
1874-01-01;--:--;    451.000;   -999.000;   0
1874-02-01;--:--;    344.000;   -999.000;   0
1874-03-01;--:--;    438.000;   -999.000;   0
1874-04-01;--:--;    366.000;   -999.000;   0
1874-05-01;--:--;    189.000;   -999.000;   0
1874-06-01;--:--;    135.000;   -999.000;   0
1874-07-01;--:--;    152.000;   -999.000;   0
1874-08-01;--:--;    182.000;   -999.000;   0
1874-09-01;--:--;     93.000;   -999.000;   0
1874-10-01;--:--;    201.000;   -999.000;   0
1874-11-01;--:--;    261.000;   -999.000;   0
1874-12-01;--:--;    835.000;   -999.000;   0
1875-01-01;--:--;   1780.000;   -999.000;   0
1875-02-01;--:--;   1480.000;   -999.000;   0
1875-03-01;--:--;    825.000;   -999.000;   0
1875-04-01;--:--;    376.000;   -999.000;   0
1875-05-01;--:--;    213.000;   -999.000;   0
1875-06-01;--:--;    273.000;   -999.000;   0
1875-07-01;--:--;    432.000;   -999.000;   0
1875-08-01;--:--;    276.000;   -999.000;   0
1875-09-01;--:--;    378.000;   -999.000;   0
1875-10-01;--:--;    575.000;   -999.000;   0
1875-11-01;--:--;   1980.000;   -999.000;   0
1875-12-01;--:--;    710.000;   -999.000;   0
1876-01-01;--:--;    625.000;   -999.000;   0
1876-02-01;--:--;   1060.000;   -999.000;   0
1876-03-01;--:--;   3050.000;   -999.000;   0
1876-04-01;--:--;   1500.000;   -999.000;   0
1876-05-01;--:--;    835.000;   -999.000;   0
1876-06-01;--:--;    630.000;   -999.000;   0
1876-07-01;--:--;    394.000;   -999.000;   0
1876-08-01;--:--;    133.000;   -999.000;   0
1876-09-01;--:--;    199.000;   -999.000;   0
1876-10-01;--:--;    207.000;   -999.000;   0
1876-11-01;--:--;    275.000;   -999.000;   0
1876-12-01;--:--;    950.000;   -999.000;   0
1877-01-01;--:--;    915.000;   -999.000;   0
1877-02-01;--:--;   1050.000;   -999.000;   0
1877-03-01;--:--;   1580.000;   -999.000;   0
1877-04-01;--:--;   1920.000;   -999.000;   0
1877-05-01;--:--;   1400.000;   -999.000;   0
1877-06-01;--:--;   1020.000;   -999.000;   0
1877-07-01;--:--;    324.000;   -999.000;   0
1877-08-01;--:--;    217.000;   -999.000;   0
1877-09-01;--:--;    169.000;   -999.000;   0
1877-10-01;--:--;    149.000;   -999.000;   0
1877-11-01;--:--;    337.000;   -999.000;   0
1877-12-01;--:--;    930.000;   -999.000;   0
1878-01-01;--:--;   1180.000;   -999.000;   0
1878-02-01;--:--;   1020.000;   -999.000;   0
1878-03-01;--:--;    670.000;   -999.000;   0
1878-04-01;--:--;   1920.000;   -999.000;   0
1878-05-01;--:--;   1320.000;   -999.000;   0
1878-06-01;--:--;    770.000;   -999.000;   0
1878-07-01;--:--;    352.000;   -999.000;   0
1878-08-01;--:--;    320.000;   -999.000;   0
1878-09-01;--:--;    294.000;   -999.000;   0
1878-10-01;--:--;    388.000;   -999.000;   0
1878-11-01;--:--;   1090.000;   -999.000;   0
1878-12-01;--:--;   1470.000;   -999.000;   0
1879-01-01;--:--;   3810.000;   -999.000;   0
1879-02-01;--:--;   3270.000;   -999.000;   0
1879-03-01;--:--;   1560.000;   -999.000;   0
1879-04-01;--:--;   2270.000;   -999.000;   0
1879-05-01;--:--;   1720.000;   -999.000;   0
1879-06-01;--:--;    945.000;   -999.000;   0
1879-07-01;--:--;    540.000;   -999.000;   0
1879-08-01;--:--;    349.000;   -999.000;   0
1879-09-01;--:--;    306.000;   -999.000;   0
1879-10-01;--:--;    300.000;   -999.000;   0
1879-11-01;--:--;    449.000;   -999.000;   0
1879-12-01;--:--;    905.000;   -999.000;   0
1880-01-01;--:--;   1050.000;   -999.000;   0
1880-02-01;--:--;    900.000;   -999.000;   0
1880-03-01;--:--;    625.000;   -999.000;   0
1880-04-01;--:--;    685.000;   -999.000;   0
1880-05-01;--:--;    810.000;   -999.000;   0
1880-06-01;--:--;    880.000;   -999.000;   0
1880-07-01;--:--;    595.000;   -999.000;   0
1880-08-01;--:--;    316.000;   -999.000;   0
1880-09-01;--:--;    430.000;   -999.000;   0
1880-10-01;--:--;    650.000;   -999.000;   0
1880-11-01;--:--;   1150.000;   -999.000;   0
1880-12-01;--:--;   1210.000;   -999.000;   0
1881-01-01;--:--;   1460.000;   -999.000;   0
1881-02-01;--:--;   2490.000;   -999.000;   0
1881-03-01;--:--;   1330.000;   -999.000;   0
1881-04-01;--:--;   1330.000;   -999.000;   0
1881-05-01;--:--;    955.000;   -999.000;   0
1881-06-01;--:--;    447.000;   -999.000;   0
1881-07-01;--:--;    213.000;   -999.000;   0
1881-08-01;--:--;    164.000;   -999.000;   0
1881-09-01;--:--;    163.000;   -999.000;   0
1881-10-01;--:--;    203.000;   -999.000;   0
1881-11-01;--:--;    304.000;   -999.000;   0
1881-12-01;--:--;    413.000;   -999.000;   0
1882-01-01;--:--;    403.000;   -999.000;   0
1882-02-01;--:--;    231.000;   -999.000;   0
1882-03-01;--:--;    473.000;   -999.000;   0
1882-04-01;--:--;    320.000;   -999.000;   0
1882-05-01;--:--;    438.000;   -999.000;   0
1882-06-01;--:--;    374.000;   -999.000;   0
1882-07-01;--:--;    690.000;   -999.000;   0
1882-08-01;--:--;    225.000;   -999.000;   0
1882-09-01;--:--;    340.000;   -999.000;   0
1882-10-01;--:--;    960.000;   -999.000;   0
