# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123150
# River:                 OGNON
# Station:               LES SORINIERES (VILLENEUVE)
# Country:               --
# Latitude (DD):       47.120666
# Longitude (DD):      -1.532751
# Catchment area (km²):      
# Altitude (m ASL):        55.95
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 2012
# No. of years:          49
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 571
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-12-01;--:--;   -999.000;      0.224; 100
1965-01-01;--:--;   -999.000;      2.664; 100
1965-02-01;--:--;   -999.000;   -999.000;   0
1965-03-01;--:--;   -999.000;      2.831; 100
1965-04-01;--:--;   -999.000;      0.148; 100
1965-05-01;--:--;   -999.000;   -999.000;  16
1965-06-01;--:--;   -999.000;   -999.000;  30
1965-07-01;--:--;   -999.000;      0.036; 100
1965-08-01;--:--;   -999.000;      0.180; 100
1965-09-01;--:--;   -999.000;      1.366; 100
1965-10-01;--:--;   -999.000;      0.557; 100
1965-11-01;--:--;   -999.000;      3.750; 100
1965-12-01;--:--;   -999.000;   -999.000;  52
1966-01-01;--:--;   -999.000;   -999.000;  29
1966-02-01;--:--;   -999.000;      3.476;  93
1966-03-01;--:--;   -999.000;      0.426;  90
1966-04-01;--:--;   -999.000;   -999.000;  43
1966-05-01;--:--;   -999.000;      0.637;  84
1966-06-01;--:--;   -999.000;      0.172; 100
1966-07-01;--:--;   -999.000;   -999.000;   0
1966-08-01;--:--;   -999.000;   -999.000;   0
1966-09-01;--:--;   -999.000;   -999.000;   0
1966-10-01;--:--;   -999.000;      3.135;  68
1966-11-01;--:--;   -999.000;      3.161; 100
1966-12-01;--:--;   -999.000;   -999.000;  61
1967-01-01;--:--;   -999.000;      2.241; 100
1967-02-01;--:--;   -999.000;      1.305;  75
1967-03-01;--:--;   -999.000;      0.905;  65
1967-04-01;--:--;   -999.000;      0.136; 100
1967-05-01;--:--;   -999.000;      0.115;  77
1967-06-01;--:--;   -999.000;   -999.000;  33
1967-07-01;--:--;   -999.000;      0.028; 100
1967-08-01;--:--;   -999.000;      0.006; 100
1967-09-01;--:--;   -999.000;      0.014; 100
1967-10-01;--:--;   -999.000;      0.069; 100
1967-11-01;--:--;   -999.000;      0.518; 100
1967-12-01;--:--;   -999.000;      1.480; 100
1968-01-01;--:--;   -999.000;      2.264; 100
1968-02-01;--:--;   -999.000;      2.486; 100
1968-03-01;--:--;   -999.000;      0.473; 100
1968-04-01;--:--;   -999.000;      0.103; 100
1968-05-01;--:--;   -999.000;      0.452; 100
1968-06-01;--:--;   -999.000;      0.596; 100
1968-07-01;--:--;   -999.000;      0.096; 100
1968-08-01;--:--;   -999.000;      0.022; 100
1968-09-01;--:--;   -999.000;      0.183; 100
1968-10-01;--:--;   -999.000;      0.282; 100
1968-11-01;--:--;   -999.000;      0.411; 100
1968-12-01;--:--;   -999.000;      2.174; 100
1969-01-01;--:--;   -999.000;   -999.000;  39
1969-02-01;--:--;   -999.000;   -999.000;  54
1969-03-01;--:--;   -999.000;      2.684;  90
1969-04-01;--:--;   -999.000;      0.310;  77
1969-05-01;--:--;   -999.000;      0.384; 100
1969-06-01;--:--;   -999.000;      0.236; 100
1969-07-01;--:--;   -999.000;      0.006; 100
1969-08-01;--:--;   -999.000;      0.000; 100
1969-09-01;--:--;   -999.000;      0.013; 100
1969-10-01;--:--;   -999.000;      0.000; 100
1969-11-01;--:--;   -999.000;      0.396; 100
1969-12-01;--:--;   -999.000;      1.552; 100
1970-01-01;--:--;   -999.000;      2.275; 100
1970-02-01;--:--;   -999.000;   -999.000;  25
1970-03-01;--:--;   -999.000;      1.219;  81
1970-04-01;--:--;   -999.000;      0.316; 100
1970-05-01;--:--;   -999.000;      0.171; 100
1970-06-01;--:--;   -999.000;      0.102; 100
1970-07-01;--:--;   -999.000;      0.016; 100
1970-08-01;--:--;   -999.000;      0.006; 100
1970-09-01;--:--;   -999.000;      0.061; 100
1970-10-01;--:--;   -999.000;      0.039; 100
1970-11-01;--:--;   -999.000;      0.179;  87
1970-12-01;--:--;   -999.000;      0.322; 100
1971-01-01;--:--;   -999.000;      2.471; 100
1971-02-01;--:--;   -999.000;      1.686; 100
1971-03-01;--:--;   -999.000;      0.689; 100
1971-04-01;--:--;   -999.000;      0.205; 100
1971-05-01;--:--;   -999.000;      1.024; 100
1971-06-01;--:--;   -999.000;      0.353; 100
1971-07-01;--:--;   -999.000;      0.071; 100
1971-08-01;--:--;   -999.000;      0.012; 100
1971-09-01;--:--;   -999.000;      0.030; 100
1971-10-01;--:--;   -999.000;      0.137; 100
1971-11-01;--:--;   -999.000;      0.189; 100
1971-12-01;--:--;   -999.000;      0.228; 100
1972-01-01;--:--;   -999.000;      1.569; 100
1972-02-01;--:--;   -999.000;      2.917; 100
1972-03-01;--:--;   -999.000;      2.414; 100
1972-04-01;--:--;   -999.000;      0.527; 100
1972-05-01;--:--;   -999.000;      0.315; 100
1972-06-01;--:--;   -999.000;      0.049; 100
1972-07-01;--:--;   -999.000;      0.042; 100
1972-08-01;--:--;   -999.000;      0.050; 100
1972-09-01;--:--;   -999.000;      0.022; 100
1972-10-01;--:--;   -999.000;      0.013; 100
1972-11-01;--:--;   -999.000;      0.158; 100
1972-12-01;--:--;   -999.000;      0.484; 100
1973-01-01;--:--;   -999.000;      0.268; 100
1973-02-01;--:--;   -999.000;      0.962; 100
1973-03-01;--:--;   -999.000;      0.279; 100
1973-04-01;--:--;   -999.000;      0.246; 100
1973-05-01;--:--;   -999.000;      0.589; 100
1973-06-01;--:--;   -999.000;      0.123; 100
1973-07-01;--:--;   -999.000;      0.034; 100
1973-08-01;--:--;   -999.000;      0.034; 100
1973-09-01;--:--;   -999.000;      0.039; 100
1973-10-01;--:--;   -999.000;      0.151; 100
1973-11-01;--:--;   -999.000;      0.147; 100
1973-12-01;--:--;   -999.000;      0.233; 100
1974-01-01;--:--;   -999.000;      2.136; 100
1974-02-01;--:--;   -999.000;      3.593; 100
1974-03-01;--:--;   -999.000;      1.961; 100
1974-04-01;--:--;   -999.000;      0.309; 100
1974-05-01;--:--;   -999.000;      0.179; 100
1974-06-01;--:--;   -999.000;      0.079; 100
1974-07-01;--:--;   -999.000;      0.017; 100
1974-08-01;--:--;   -999.000;      0.000; 100
1974-09-01;--:--;   -999.000;      0.000; 100
1974-10-01;--:--;   -999.000;      0.014; 100
1974-11-01;--:--;   -999.000;      1.389; 100
1974-12-01;--:--;   -999.000;      1.126; 100
1975-01-01;--:--;   -999.000;      3.958; 100
1975-02-01;--:--;   -999.000;      0.973; 100
1975-03-01;--:--;   -999.000;      1.258; 100
1975-04-01;--:--;   -999.000;      1.240; 100
1975-05-01;--:--;   -999.000;      0.282; 100
1975-06-01;--:--;   -999.000;      0.027; 100
1975-07-01;--:--;   -999.000;      0.007; 100
1975-08-01;--:--;   -999.000;      0.000; 100
1975-09-01;--:--;   -999.000;      0.014; 100
1975-10-01;--:--;   -999.000;      0.018; 100
1975-11-01;--:--;   -999.000;      0.176; 100
1975-12-01;--:--;   -999.000;      0.558; 100
1976-01-01;--:--;   -999.000;      0.099; 100
1976-02-01;--:--;   -999.000;      1.418; 100
1976-03-01;--:--;   -999.000;      0.561; 100
1976-04-01;--:--;   -999.000;      0.113; 100
1976-05-01;--:--;   -999.000;      0.016; 100
1976-06-01;--:--;   -999.000;      0.000; 100
1976-07-01;--:--;   -999.000;      0.000; 100
1976-08-01;--:--;   -999.000;      0.000; 100
1976-09-01;--:--;   -999.000;      0.000; 100
