# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123160
# River:                 SEVRE NANTAISE
# Station:               TIFFAUGES (LA MOULINETTE)
# Country:               --
# Latitude (DD):       47.017248
# Longitude (DD):      -1.116179
# Catchment area (km²):      
# Altitude (m ASL):        98.66
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 537
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-10-01;--:--;   -999.000;      2.159;  81
1967-11-01;--:--;   -999.000;     12.418; 100
1967-12-01;--:--;   -999.000;     13.325; 100
1968-01-01;--:--;   -999.000;     20.067; 100
1968-02-01;--:--;   -999.000;     22.043; 100
1968-03-01;--:--;   -999.000;     11.136; 100
1968-04-01;--:--;   -999.000;      5.980; 100
1968-05-01;--:--;   -999.000;      8.734; 100
1968-06-01;--:--;   -999.000;      4.516; 100
1968-07-01;--:--;   -999.000;      2.046; 100
1968-08-01;--:--;   -999.000;      1.891; 100
1968-09-01;--:--;   -999.000;      4.451; 100
1968-10-01;--:--;   -999.000;      6.729; 100
1968-11-01;--:--;   -999.000;      4.572; 100
1968-12-01;--:--;   -999.000;     13.651; 100
1969-01-01;--:--;   -999.000;     20.535; 100
1969-02-01;--:--;   -999.000;     11.958; 100
1969-03-01;--:--;   -999.000;     19.219; 100
1969-04-01;--:--;   -999.000;      9.554; 100
1969-05-01;--:--;   -999.000;      6.316; 100
