# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123171
# River:                 ERDRE
# Station:               CANDE (LA GREE)
# Country:               --
# Latitude (DD):       47.558583
# Longitude (DD):      -1.049536
# Catchment area (km²):      
# Altitude (m ASL):        88.54
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2012
# No. of years:          45
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 532
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-03-01;--:--;   -999.000;   -999.000;  35
1968-04-01;--:--;   -999.000;      0.250; 100
1968-05-01;--:--;   -999.000;      0.428; 100
1968-06-01;--:--;   -999.000;      0.306; 100
1968-07-01;--:--;   -999.000;      0.149; 100
1968-08-01;--:--;   -999.000;      0.022; 100
1968-09-01;--:--;   -999.000;      0.202; 100
1968-10-01;--:--;   -999.000;      0.255; 100
1968-11-01;--:--;   -999.000;      0.194; 100
1968-12-01;--:--;   -999.000;      0.855; 100
1969-01-01;--:--;   -999.000;      1.896; 100
1969-02-01;--:--;   -999.000;      1.441; 100
1969-03-01;--:--;   -999.000;      2.359; 100
1969-04-01;--:--;   -999.000;      0.653; 100
1969-05-01;--:--;   -999.000;      0.497; 100
1969-06-01;--:--;   -999.000;      0.386; 100
1969-07-01;--:--;   -999.000;      0.016; 100
1969-08-01;--:--;   -999.000;      0.007; 100
1969-09-01;--:--;   -999.000;      0.050; 100
1969-10-01;--:--;   -999.000;      0.044; 100
1969-11-01;--:--;   -999.000;      0.303; 100
1969-12-01;--:--;   -999.000;      1.172; 100
1970-01-01;--:--;   -999.000;      2.259; 100
1970-02-01;--:--;   -999.000;      4.113; 100
1970-03-01;--:--;   -999.000;      1.750; 100
1970-04-01;--:--;   -999.000;      0.755; 100
1970-05-01;--:--;   -999.000;      0.290; 100
1970-06-01;--:--;   -999.000;      0.100; 100
1970-07-01;--:--;   -999.000;      0.046; 100
1970-08-01;--:--;   -999.000;      0.089; 100
1970-09-01;--:--;   -999.000;      0.076; 100
1970-10-01;--:--;   -999.000;      0.114; 100
1970-11-01;--:--;   -999.000;      0.603; 100
1970-12-01;--:--;   -999.000;      0.458; 100
1971-01-01;--:--;   -999.000;      1.473; 100
1971-02-01;--:--;   -999.000;      1.591; 100
1971-03-01;--:--;   -999.000;      1.169; 100
1971-04-01;--:--;   -999.000;      0.628; 100
1971-05-01;--:--;   -999.000;      0.967; 100
1971-06-01;--:--;   -999.000;      0.844; 100
1971-07-01;--:--;   -999.000;      0.258; 100
1971-08-01;--:--;   -999.000;      0.116; 100
1971-09-01;--:--;   -999.000;      0.086; 100
1971-10-01;--:--;   -999.000;      0.182; 100
1971-11-01;--:--;   -999.000;      0.317; 100
1971-12-01;--:--;   -999.000;      0.251; 100
1972-01-01;--:--;   -999.000;      0.614; 100
1972-02-01;--:--;   -999.000;      2.524; 100
1972-03-01;--:--;   -999.000;      1.838; 100
1972-04-01;--:--;   -999.000;      0.739; 100
1972-05-01;--:--;   -999.000;      0.562; 100
1972-06-01;--:--;   -999.000;      0.150; 100
1972-07-01;--:--;   -999.000;      0.149; 100
1972-08-01;--:--;   -999.000;      0.132; 100
1972-09-01;--:--;   -999.000;      0.046; 100
1972-10-01;--:--;   -999.000;      0.128; 100
1972-11-01;--:--;   -999.000;      0.298; 100
1972-12-01;--:--;   -999.000;      0.268; 100
1973-01-01;--:--;   -999.000;      0.355; 100
1973-02-01;--:--;   -999.000;      0.752; 100
1973-03-01;--:--;   -999.000;      0.261; 100
1973-04-01;--:--;   -999.000;      0.160; 100
1973-05-01;--:--;   -999.000;      0.609; 100
1973-06-01;--:--;   -999.000;      0.170; 100
1973-07-01;--:--;   -999.000;      0.143; 100
1973-08-01;--:--;   -999.000;      0.053; 100
1973-09-01;--:--;   -999.000;      0.015; 100
1973-10-01;--:--;   -999.000;      0.063; 100
1973-11-01;--:--;   -999.000;      0.026; 100
1973-12-01;--:--;   -999.000;      0.404; 100
