# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123180
# River:                 LAYON
# Station:               SAINT-LAMBERT-DU-LATTAY (PONT BEZIGON)
# Country:               --
# Latitude (DD):       47.315248
# Longitude (DD):      -0.632799
# Catchment area (km²):      
# Altitude (m ASL):        69.52
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 545
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-01-01;--:--;   -999.000;     14.391; 100
1967-02-01;--:--;   -999.000;     12.382; 100
1967-03-01;--:--;   -999.000;     13.696; 100
1967-04-01;--:--;   -999.000;      2.817; 100
1967-05-01;--:--;   -999.000;      1.955; 100
1967-06-01;--:--;   -999.000;      1.663; 100
1967-07-01;--:--;   -999.000;      0.883; 100
1967-08-01;--:--;   -999.000;      0.189; 100
1967-09-01;--:--;   -999.000;      0.295; 100
1967-10-01;--:--;   -999.000;      0.430; 100
1967-11-01;--:--;   -999.000;      2.506; 100
1967-12-01;--:--;   -999.000;      4.788; 100
1968-01-01;--:--;   -999.000;     12.178; 100
1968-02-01;--:--;   -999.000;     13.883; 100
1968-03-01;--:--;   -999.000;      5.090; 100
1968-04-01;--:--;   -999.000;      1.305; 100
1968-05-01;--:--;   -999.000;      1.861; 100
1968-06-01;--:--;   -999.000;      1.085; 100
1968-07-01;--:--;   -999.000;      0.830; 100
1968-08-01;--:--;   -999.000;      0.370; 100
1968-09-01;--:--;   -999.000;      0.624; 100
1968-10-01;--:--;   -999.000;      0.629; 100
1968-11-01;--:--;   -999.000;      0.673; 100
1968-12-01;--:--;   -999.000;      2.517; 100
1969-01-01;--:--;   -999.000;      5.866; 100
1969-02-01;--:--;   -999.000;      3.281; 100
1969-03-01;--:--;   -999.000;     11.962; 100
1969-04-01;--:--;   -999.000;      1.919; 100
1969-05-01;--:--;   -999.000;      1.048; 100
1969-06-01;--:--;   -999.000;      0.700; 100
1969-07-01;--:--;   -999.000;      0.105; 100
1969-08-01;--:--;   -999.000;      0.017; 100
1969-09-01;--:--;   -999.000;      0.208; 100
1969-10-01;--:--;   -999.000;      0.253; 100
1969-11-01;--:--;   -999.000;      0.526; 100
1969-12-01;--:--;   -999.000;      2.261; 100
1970-01-01;--:--;   -999.000;      5.459; 100
1970-02-01;--:--;   -999.000;     20.375; 100
1970-03-01;--:--;   -999.000;      7.774; 100
1970-04-01;--:--;   -999.000;      2.418; 100
1970-05-01;--:--;   -999.000;      1.073; 100
1970-06-01;--:--;   -999.000;      0.460; 100
1970-07-01;--:--;   -999.000;      0.244; 100
1970-08-01;--:--;   -999.000;      0.321; 100
1970-09-01;--:--;   -999.000;      0.278; 100
1970-10-01;--:--;   -999.000;      0.299; 100
1970-11-01;--:--;   -999.000;      1.057; 100
1970-12-01;--:--;   -999.000;      0.777; 100
1971-01-01;--:--;   -999.000;      6.096; 100
1971-02-01;--:--;   -999.000;      4.194; 100
1971-03-01;--:--;   -999.000;      2.015; 100
1971-04-01;--:--;   -999.000;      0.953; 100
1971-05-01;--:--;   -999.000;      7.036; 100
1971-06-01;--:--;   -999.000;      2.688; 100
1971-07-01;--:--;   -999.000;      0.474; 100
1971-08-01;--:--;   -999.000;      0.271; 100
1971-09-01;--:--;   -999.000;      0.376; 100
1971-10-01;--:--;   -999.000;      0.300; 100
1971-11-01;--:--;   -999.000;      0.410; 100
1971-12-01;--:--;   -999.000;      0.594; 100
1972-01-01;--:--;   -999.000;      3.626; 100
1972-02-01;--:--;   -999.000;     13.955; 100
1972-03-01;--:--;   -999.000;      6.609; 100
1972-04-01;--:--;   -999.000;      1.342; 100
1972-05-01;--:--;   -999.000;      0.616; 100
1972-06-01;--:--;   -999.000;      0.251; 100
1972-07-01;--:--;   -999.000;      0.092; 100
1972-08-01;--:--;   -999.000;      0.229; 100
1972-09-01;--:--;   -999.000;      0.136; 100
1972-10-01;--:--;   -999.000;      0.182; 100
1972-11-01;--:--;   -999.000;      0.774; 100
1972-12-01;--:--;   -999.000;      0.776; 100
1973-01-01;--:--;   -999.000;      0.698; 100
