# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123181
# River:                 LAYON
# Station:               SAINT-GEORGES-SUR-LAYON
# Country:               --
# Latitude (DD):       47.192066
# Longitude (DD):      -0.374972
# Catchment area (km²):      
# Altitude (m ASL):        98.45
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 545
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-01-01;--:--;   -999.000;      3.602; 100
1967-02-01;--:--;   -999.000;      3.798; 100
1967-03-01;--:--;   -999.000;      2.736; 100
1967-04-01;--:--;   -999.000;      0.695; 100
1967-05-01;--:--;   -999.000;      0.397; 100
1967-06-01;--:--;   -999.000;      0.147; 100
1967-07-01;--:--;   -999.000;      0.025; 100
1967-08-01;--:--;   -999.000;      0.010; 100
1967-09-01;--:--;   -999.000;      0.013; 100
1967-10-01;--:--;   -999.000;      0.034; 100
1967-11-01;--:--;   -999.000;      0.309; 100
1967-12-01;--:--;   -999.000;      0.698; 100
1968-01-01;--:--;   -999.000;      1.836; 100
1968-02-01;--:--;   -999.000;      2.726; 100
1968-03-01;--:--;   -999.000;      1.177; 100
1968-04-01;--:--;   -999.000;      0.275; 100
1968-05-01;--:--;   -999.000;      0.460; 100
1968-06-01;--:--;   -999.000;      0.216; 100
1968-07-01;--:--;   -999.000;      0.056; 100
1968-08-01;--:--;   -999.000;      0.053; 100
1968-09-01;--:--;   -999.000;      0.066; 100
1968-10-01;--:--;   -999.000;      0.261; 100
1968-11-01;--:--;   -999.000;      0.241; 100
1968-12-01;--:--;   -999.000;      1.006; 100
1969-01-01;--:--;   -999.000;      1.860; 100
1969-02-01;--:--;   -999.000;      0.924; 100
1969-03-01;--:--;   -999.000;      2.992; 100
1969-04-01;--:--;   -999.000;      0.394; 100
1969-05-01;--:--;   -999.000;      0.172; 100
1969-06-01;--:--;   -999.000;      0.127; 100
1969-07-01;--:--;   -999.000;      0.020; 100
1969-08-01;--:--;   -999.000;      0.002; 100
1969-09-01;--:--;   -999.000;      0.009; 100
1969-10-01;--:--;   -999.000;      0.006; 100
1969-11-01;--:--;   -999.000;      0.185; 100
1969-12-01;--:--;   -999.000;      0.495; 100
1970-01-01;--:--;   -999.000;      1.260; 100
1970-02-01;--:--;   -999.000;      4.594; 100
1970-03-01;--:--;   -999.000;      1.564; 100
1970-04-01;--:--;   -999.000;      0.439; 100
1970-05-01;--:--;   -999.000;      0.193; 100
1970-06-01;--:--;   -999.000;      0.044; 100
1970-07-01;--:--;   -999.000;      0.010; 100
1970-08-01;--:--;   -999.000;      0.003; 100
1970-09-01;--:--;   -999.000;      0.004; 100
1970-10-01;--:--;   -999.000;      0.011; 100
1970-11-01;--:--;   -999.000;      0.093; 100
1970-12-01;--:--;   -999.000;      0.098; 100
1971-01-01;--:--;   -999.000;      0.427; 100
1971-02-01;--:--;   -999.000;      0.587; 100
1971-03-01;--:--;   -999.000;      0.332; 100
1971-04-01;--:--;   -999.000;      0.179; 100
1971-05-01;--:--;   -999.000;      2.212; 100
1971-06-01;--:--;   -999.000;      0.287; 100
1971-07-01;--:--;   -999.000;      0.051; 100
1971-08-01;--:--;   -999.000;      0.011; 100
1971-09-01;--:--;   -999.000;      0.012; 100
1971-10-01;--:--;   -999.000;      0.010; 100
1971-11-01;--:--;   -999.000;      0.041; 100
1971-12-01;--:--;   -999.000;      0.113; 100
1972-01-01;--:--;   -999.000;      0.803; 100
1972-02-01;--:--;   -999.000;      3.085; 100
1972-03-01;--:--;   -999.000;      1.843; 100
1972-04-01;--:--;   -999.000;      0.287; 100
1972-05-01;--:--;   -999.000;      0.106; 100
1972-06-01;--:--;   -999.000;      0.030; 100
1972-07-01;--:--;   -999.000;      0.012; 100
1972-08-01;--:--;   -999.000;      0.011; 100
1972-09-01;--:--;   -999.000;      0.004; 100
1972-10-01;--:--;   -999.000;      0.005; 100
1972-11-01;--:--;   -999.000;      0.210; 100
1972-12-01;--:--;   -999.000;      0.299; 100
1973-01-01;--:--;   -999.000;      0.102; 100
1973-02-01;--:--;   -999.000;      0.381; 100
1973-03-01;--:--;   -999.000;      0.256; 100
1973-04-01;--:--;   -999.000;      0.145; 100
1973-05-01;--:--;   -999.000;      0.128; 100
1973-06-01;--:--;   -999.000;      0.032; 100
1973-07-01;--:--;   -999.000;      0.006; 100
1973-08-01;--:--;   -999.000;      0.008; 100
1973-09-01;--:--;   -999.000;      0.002; 100
1973-10-01;--:--;   -999.000;      0.006; 100
1973-11-01;--:--;   -999.000;      0.029; 100
1973-12-01;--:--;   -999.000;      0.152; 100
1974-01-01;--:--;   -999.000;      0.321; 100
1974-02-01;--:--;   -999.000;      1.553; 100
1974-03-01;--:--;   -999.000;      0.570; 100
1974-04-01;--:--;   -999.000;      0.171; 100
1974-05-01;--:--;   -999.000;      0.082; 100
1974-06-01;--:--;   -999.000;      0.029; 100
1974-07-01;--:--;   -999.000;      0.007; 100
1974-08-01;--:--;   -999.000;      0.001; 100
1974-09-01;--:--;   -999.000;      0.001; 100
1974-10-01;--:--;   -999.000;      0.002; 100
1974-11-01;--:--;   -999.000;      0.135; 100
1974-12-01;--:--;   -999.000;      0.146; 100
1975-01-01;--:--;   -999.000;      1.493; 100
1975-02-01;--:--;   -999.000;      0.514; 100
1975-03-01;--:--;   -999.000;      1.079; 100
1975-04-01;--:--;   -999.000;      0.953; 100
1975-05-01;--:--;   -999.000;      0.259; 100
1975-06-01;--:--;   -999.000;      0.040; 100
1975-07-01;--:--;   -999.000;      0.030; 100
1975-08-01;--:--;   -999.000;      0.001; 100
1975-09-01;--:--;   -999.000;      0.001; 100
1975-10-01;--:--;   -999.000;      0.007; 100
1975-11-01;--:--;   -999.000;      0.141; 100
1975-12-01;--:--;   -999.000;      0.355; 100
1976-01-01;--:--;   -999.000;      0.088; 100
1976-02-01;--:--;   -999.000;      0.580; 100
1976-03-01;--:--;   -999.000;      0.243; 100
1976-04-01;--:--;   -999.000;      0.127; 100
1976-05-01;--:--;   -999.000;      0.017; 100
1976-06-01;--:--;   -999.000;      0.000; 100
1976-07-01;--:--;   -999.000;      0.000; 100
1976-08-01;--:--;   -999.000;      0.000; 100
1976-09-01;--:--;   -999.000;      0.000; 100
1976-10-01;--:--;   -999.000;      0.001; 100
1976-11-01;--:--;   -999.000;      0.078; 100
1976-12-01;--:--;   -999.000;      3.285; 100
1977-01-01;--:--;   -999.000;      4.389; 100
1977-02-01;--:--;   -999.000;     10.771; 100
1977-03-01;--:--;   -999.000;      1.220; 100
1977-04-01;--:--;   -999.000;      0.620; 100
1977-05-01;--:--;   -999.000;      0.115; 100
1977-06-01;--:--;   -999.000;      0.095; 100
1977-07-01;--:--;   -999.000;      0.117; 100
1977-08-01;--:--;   -999.000;      0.034; 100
1977-09-01;--:--;   -999.000;      0.010; 100
1977-10-01;--:--;   -999.000;      0.006; 100
1977-11-01;--:--;   -999.000;      0.109; 100
1977-12-01;--:--;   -999.000;      0.206; 100
1978-01-01;--:--;   -999.000;      1.281; 100
1978-02-01;--:--;   -999.000;      3.927; 100
1978-03-01;--:--;   -999.000;      3.592; 100
1978-04-01;--:--;   -999.000;      1.380; 100
1978-05-01;--:--;   -999.000;      0.708; 100
1978-06-01;--:--;   -999.000;      0.143; 100
1978-07-01;--:--;   -999.000;      0.035; 100
1978-08-01;--:--;   -999.000;      0.015; 100
1978-09-01;--:--;   -999.000;      0.012; 100
1978-10-01;--:--;   -999.000;      0.011; 100
1978-11-01;--:--;   -999.000;      0.019; 100
1978-12-01;--:--;   -999.000;      0.398; 100
1979-01-01;--:--;   -999.000;      1.327; 100
1979-02-01;--:--;   -999.000;     10.730; 100
1979-03-01;--:--;   -999.000;      4.345; 100
1979-04-01;--:--;   -999.000;      1.432; 100
1979-05-01;--:--;   -999.000;      0.566; 100
1979-06-01;--:--;   -999.000;      0.790; 100
1979-07-01;--:--;   -999.000;      0.078; 100
1979-08-01;--:--;   -999.000;      0.017; 100
1979-09-01;--:--;   -999.000;      0.014; 100
1979-10-01;--:--;   -999.000;      0.097; 100
1979-11-01;--:--;   -999.000;      0.324; 100
1979-12-01;--:--;   -999.000;      5.138; 100
1980-01-01;--:--;   -999.000;      6.251; 100
1980-02-01;--:--;   -999.000;      3.760; 100
1980-03-01;--:--;   -999.000;      4.656; 100
1980-04-01;--:--;   -999.000;      0.585; 100
1980-05-01;--:--;   -999.000;      0.279; 100
1980-06-01;--:--;   -999.000;      0.193; 100
1980-07-01;--:--;   -999.000;      0.083; 100
1980-08-01;--:--;   -999.000;      0.023; 100
1980-09-01;--:--;   -999.000;      0.040; 100
1980-10-01;--:--;   -999.000;      0.067; 100
1980-11-01;--:--;   -999.000;      0.281; 100
1980-12-01;--:--;   -999.000;      0.709; 100
1981-01-01;--:--;   -999.000;      1.257; 100
1981-02-01;--:--;   -999.000;      0.991; 100
1981-03-01;--:--;   -999.000;      3.032; 100
1981-04-01;--:--;   -999.000;      0.400; 100
1981-05-01;--:--;   -999.000;      1.692; 100
1981-06-01;--:--;   -999.000;      0.297; 100
1981-07-01;--:--;   -999.000;      0.068; 100
1981-08-01;--:--;   -999.000;      0.106; 100
1981-09-01;--:--;   -999.000;      0.025; 100
1981-10-01;--:--;   -999.000;      0.446; 100
1981-11-01;--:--;   -999.000;      0.282; 100
1981-12-01;--:--;   -999.000;      4.779; 100
1982-01-01;--:--;   -999.000;      6.751; 100
1982-02-01;--:--;   -999.000;      1.093; 100
1982-03-01;--:--;   -999.000;      1.701; 100
1982-04-01;--:--;   -999.000;      0.232; 100
1982-05-01;--:--;   -999.000;      0.059; 100
1982-06-01;--:--;   -999.000;      0.088; 100
1982-07-01;--:--;   -999.000;      0.279; 100
1982-08-01;--:--;   -999.000;      0.070; 100
1982-09-01;--:--;   -999.000;      0.010; 100
1982-10-01;--:--;   -999.000;      0.176; 100
1982-11-01;--:--;   -999.000;      0.500; 100
1982-12-01;--:--;   -999.000;      6.362; 100
1983-01-01;--:--;   -999.000;      1.532; 100
1983-02-01;--:--;   -999.000;      1.310; 100
1983-03-01;--:--;   -999.000;      1.095; 100
1983-04-01;--:--;   -999.000;      7.855; 100
1983-05-01;--:--;   -999.000;      2.012; 100
1983-06-01;--:--;   -999.000;      0.280; 100
1983-07-01;--:--;   -999.000;      0.956; 100
1983-08-01;--:--;   -999.000;      0.414; 100
1983-09-01;--:--;   -999.000;      0.150; 100
1983-10-01;--:--;   -999.000;      0.104; 100
1983-11-01;--:--;   -999.000;      0.354; 100
1983-12-01;--:--;   -999.000;      0.518; 100
1984-01-01;--:--;   -999.000;      4.095; 100
1984-02-01;--:--;   -999.000;      2.036; 100
1984-03-01;--:--;   -999.000;      1.670; 100
1984-04-01;--:--;   -999.000;      0.803; 100
1984-05-01;--:--;   -999.000;      0.151; 100
1984-06-01;--:--;   -999.000;      0.151; 100
1984-07-01;--:--;   -999.000;      0.032; 100
1984-08-01;--:--;   -999.000;      0.008; 100
1984-09-01;--:--;   -999.000;      0.010; 100
1984-10-01;--:--;   -999.000;      0.227; 100
1984-11-01;--:--;   -999.000;      4.283; 100
1984-12-01;--:--;   -999.000;      3.780; 100
1985-01-01;--:--;   -999.000;      2.394; 100
1985-02-01;--:--;   -999.000;      5.252; 100
1985-03-01;--:--;   -999.000;      1.770; 100
1985-04-01;--:--;   -999.000;      1.608; 100
1985-05-01;--:--;   -999.000;      2.685; 100
1985-06-01;--:--;   -999.000;      1.569; 100
1985-07-01;--:--;   -999.000;      0.072; 100
1985-08-01;--:--;   -999.000;      0.025; 100
1985-09-01;--:--;   -999.000;      0.012; 100
1985-10-01;--:--;   -999.000;      0.011; 100
1985-11-01;--:--;   -999.000;      0.030; 100
1985-12-01;--:--;   -999.000;      0.432; 100
1986-01-01;--:--;   -999.000;      2.672; 100
1986-02-01;--:--;   -999.000;      5.286; 100
1986-03-01;--:--;   -999.000;      6.861; 100
1986-04-01;--:--;   -999.000;      3.228; 100
1986-05-01;--:--;   -999.000;      0.604; 100
1986-06-01;--:--;   -999.000;      0.188; 100
1986-07-01;--:--;   -999.000;      0.035; 100
1986-08-01;--:--;   -999.000;      0.015; 100
1986-09-01;--:--;   -999.000;      0.017; 100
1986-10-01;--:--;   -999.000;      0.048; 100
1986-11-01;--:--;   -999.000;      0.192; 100
1986-12-01;--:--;   -999.000;      0.622; 100
1987-01-01;--:--;   -999.000;      0.495; 100
1987-02-01;--:--;   -999.000;      0.614; 100
1987-03-01;--:--;   -999.000;      0.351; 100
1987-04-01;--:--;   -999.000;      0.194; 100
1987-05-01;--:--;   -999.000;      0.030; 100
1987-06-01;--:--;   -999.000;      0.030; 100
1987-07-01;--:--;   -999.000;      0.014; 100
1987-08-01;--:--;   -999.000;      0.012; 100
1987-09-01;--:--;   -999.000;      0.007; 100
1987-10-01;--:--;   -999.000;      0.350; 100
1987-11-01;--:--;   -999.000;      1.335; 100
1987-12-01;--:--;   -999.000;      1.647; 100
1988-01-01;--:--;   -999.000;      8.229; 100
1988-02-01;--:--;   -999.000;      9.294; 100
1988-03-01;--:--;   -999.000;      3.474; 100
1988-04-01;--:--;   -999.000;      3.076; 100
1988-05-01;--:--;   -999.000;      0.323; 100
1988-06-01;--:--;   -999.000;      0.087; 100
1988-07-01;--:--;   -999.000;      0.532; 100
1988-08-01;--:--;   -999.000;      0.018; 100
1988-09-01;--:--;   -999.000;      0.012; 100
1988-10-01;--:--;   -999.000;      0.022; 100
1988-11-01;--:--;   -999.000;      0.054; 100
1988-12-01;--:--;   -999.000;      0.065; 100
1989-01-01;--:--;   -999.000;      0.076; 100
1989-02-01;--:--;   -999.000;      0.129; 100
1989-03-01;--:--;   -999.000;      0.367; 100
1989-04-01;--:--;   -999.000;      0.983; 100
1989-05-01;--:--;   -999.000;      0.156; 100
1989-06-01;--:--;   -999.000;      0.028; 100
1989-07-01;--:--;   -999.000;      0.020; 100
1989-08-01;--:--;   -999.000;      0.005; 100
1989-09-01;--:--;   -999.000;      0.005; 100
1989-10-01;--:--;   -999.000;      0.006; 100
1989-11-01;--:--;   -999.000;      0.015; 100
1989-12-01;--:--;   -999.000;      0.614; 100
1990-01-01;--:--;   -999.000;      0.796; 100
1990-02-01;--:--;   -999.000;      4.542; 100
1990-03-01;--:--;   -999.000;      0.393; 100
1990-04-01;--:--;   -999.000;      0.084; 100
1990-05-01;--:--;   -999.000;      0.048; 100
1990-06-01;--:--;   -999.000;      0.012; 100
1990-07-01;--:--;   -999.000;      0.003; 100
1990-08-01;--:--;   -999.000;      0.000; 100
1990-09-01;--:--;   -999.000;      0.000; 100
1990-10-01;--:--;   -999.000;      0.004; 100
1990-11-01;--:--;   -999.000;      0.013; 100
1990-12-01;--:--;   -999.000;      0.062; 100
1991-01-01;--:--;   -999.000;      2.273; 100
1991-02-01;--:--;   -999.000;      0.884; 100
1991-03-01;--:--;   -999.000;      1.553; 100
1991-04-01;--:--;   -999.000;      0.254; 100
1991-05-01;--:--;   -999.000;      0.113; 100
1991-06-01;--:--;   -999.000;      0.032; 100
1991-07-01;--:--;   -999.000;      0.003; 100
1991-08-01;--:--;   -999.000;      0.000; 100
1991-09-01;--:--;   -999.000;      0.024; 100
1991-10-01;--:--;   -999.000;      0.009; 100
1991-11-01;--:--;   -999.000;      0.239; 100
1991-12-01;--:--;   -999.000;      0.079; 100
1992-01-01;--:--;   -999.000;      0.066; 100
1992-02-01;--:--;   -999.000;      0.165; 100
1992-03-01;--:--;   -999.000;      0.063; 100
1992-04-01;--:--;   -999.000;      0.148; 100
1992-05-01;--:--;   -999.000;      0.031; 100
1992-06-01;--:--;   -999.000;      0.011; 100
1992-07-01;--:--;   -999.000;      0.023; 100
1992-08-01;--:--;   -999.000;      0.003; 100
1992-09-01;--:--;   -999.000;      0.003; 100
1992-10-01;--:--;   -999.000;      0.027; 100
1992-11-01;--:--;   -999.000;      0.826; 100
1992-12-01;--:--;   -999.000;      3.701; 100
1993-01-01;--:--;   -999.000;      3.495; 100
1993-02-01;--:--;   -999.000;      0.336; 100
1993-03-01;--:--;   -999.000;      0.191; 100
1993-04-01;--:--;   -999.000;      0.131; 100
1993-05-01;--:--;   -999.000;      0.209; 100
1993-06-01;--:--;   -999.000;      0.243; 100
