# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123190
# River:                 JOUANNE
# Station:               FORCE
# Country:               --
# Latitude (DD):       48.032534
# Longitude (DD):      -0.705893
# Catchment area (km²):      
# Altitude (m ASL):        100.24
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2012
# No. of years:          45
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 528
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-07-01;--:--;   -999.000;   -999.000;  42
1968-08-01;--:--;   -999.000;      0.310; 100
1968-09-01;--:--;   -999.000;      0.341; 100
1968-10-01;--:--;   -999.000;      0.428; 100
1968-11-01;--:--;   -999.000;      0.437; 100
1968-12-01;--:--;   -999.000;      1.089; 100
1969-01-01;--:--;   -999.000;      2.293; 100
1969-02-01;--:--;   -999.000;      3.463; 100
1969-03-01;--:--;   -999.000;      6.049; 100
1969-04-01;--:--;   -999.000;      1.466; 100
1969-05-01;--:--;   -999.000;      1.109; 100
1969-06-01;--:--;   -999.000;      0.558; 100
1969-07-01;--:--;   -999.000;      0.127; 100
1969-08-01;--:--;   -999.000;      0.074; 100
1969-09-01;--:--;   -999.000;      0.072; 100
1969-10-01;--:--;   -999.000;      0.072; 100
1969-11-01;--:--;   -999.000;      0.518; 100
1969-12-01;--:--;   -999.000;      4.674; 100
1970-01-01;--:--;   -999.000;      8.004; 100
1970-02-01;--:--;   -999.000;     16.550; 100
1970-03-01;--:--;   -999.000;      5.516; 100
1970-04-01;--:--;   -999.000;      2.267; 100
1970-05-01;--:--;   -999.000;      0.849; 100
1970-06-01;--:--;   -999.000;      0.466; 100
1970-07-01;--:--;   -999.000;      0.247; 100
1970-08-01;--:--;   -999.000;      0.212; 100
1970-09-01;--:--;   -999.000;      0.140; 100
1970-10-01;--:--;   -999.000;      0.108; 100
1970-11-01;--:--;   -999.000;      0.573; 100
1970-12-01;--:--;   -999.000;      0.600; 100
1971-01-01;--:--;   -999.000;      4.640; 100
1971-02-01;--:--;   -999.000;      5.579; 100
1971-03-01;--:--;   -999.000;      2.755; 100
1971-04-01;--:--;   -999.000;      1.226; 100
1971-05-01;--:--;   -999.000;      1.767; 100
1971-06-01;--:--;   -999.000;      1.412; 100
1971-07-01;--:--;   -999.000;      0.285; 100
1971-08-01;--:--;   -999.000;      0.252; 100
1971-09-01;--:--;   -999.000;      0.153; 100
1971-10-01;--:--;   -999.000;      0.178; 100
1971-11-01;--:--;   -999.000;      0.343; 100
1971-12-01;--:--;   -999.000;      0.721; 100
1972-01-01;--:--;   -999.000;      3.596; 100
1972-02-01;--:--;   -999.000;     10.165; 100
1972-03-01;--:--;   -999.000;      4.812; 100
1972-04-01;--:--;   -999.000;      1.743; 100
1972-05-01;--:--;   -999.000;      1.405; 100
1972-06-01;--:--;   -999.000;      0.730; 100
1972-07-01;--:--;   -999.000;      0.269; 100
1972-08-01;--:--;   -999.000;      0.277; 100
1972-09-01;--:--;   -999.000;      0.180; 100
1972-10-01;--:--;   -999.000;      0.185; 100
1972-11-01;--:--;   -999.000;      0.903; 100
1972-12-01;--:--;   -999.000;      1.520; 100
1973-01-01;--:--;   -999.000;      1.134; 100
1973-02-01;--:--;   -999.000;      3.695; 100
1973-03-01;--:--;   -999.000;      1.619; 100
1973-04-01;--:--;   -999.000;      0.715; 100
1973-05-01;--:--;   -999.000;      2.615; 100
1973-06-01;--:--;   -999.000;      1.030; 100
1973-07-01;--:--;   -999.000;      0.306; 100
1973-08-01;--:--;   -999.000;      0.268; 100
1973-09-01;--:--;   -999.000;      0.187; 100
1973-10-01;--:--;   -999.000;      0.392; 100
1973-11-01;--:--;   -999.000;      0.315; 100
1973-12-01;--:--;   -999.000;      1.245; 100
1974-01-01;--:--;   -999.000;      5.233; 100
1974-02-01;--:--;   -999.000;      7.739; 100
1974-03-01;--:--;   -999.000;      6.233; 100
1974-04-01;--:--;   -999.000;      1.346; 100
