# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123200
# River:                 ERNEE
# Station:               ANDOUILLE (LES VAUGEOIS)
# Country:               --
# Latitude (DD):       48.166556
# Longitude (DD):      -0.777898
# Catchment area (km²):      
# Altitude (m ASL):        116.07
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2012
# No. of years:          45
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 528
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-07-01;--:--;   -999.000;   -999.000;  23
1968-08-01;--:--;   -999.000;      1.078; 100
1968-09-01;--:--;   -999.000;      1.408; 100
1968-10-01;--:--;   -999.000;      1.656; 100
1968-11-01;--:--;   -999.000;      1.674; 100
1968-12-01;--:--;   -999.000;      3.301; 100
1969-01-01;--:--;   -999.000;      5.118; 100
1969-02-01;--:--;   -999.000;      5.988; 100
1969-03-01;--:--;   -999.000;      7.116; 100
1969-04-01;--:--;   -999.000;      3.607; 100
1969-05-01;--:--;   -999.000;      3.930; 100
1969-06-01;--:--;   -999.000;      2.322; 100
1969-07-01;--:--;   -999.000;      1.162; 100
1969-08-01;--:--;   -999.000;      0.796; 100
1969-09-01;--:--;   -999.000;      0.702; 100
1969-10-01;--:--;   -999.000;      1.072; 100
1969-11-01;--:--;   -999.000;      1.231; 100
1969-12-01;--:--;   -999.000;      3.834; 100
1970-01-01;--:--;   -999.000;      6.923; 100
1970-02-01;--:--;   -999.000;     16.091; 100
1970-03-01;--:--;   -999.000;      7.974; 100
1970-04-01;--:--;   -999.000;      5.208; 100
1970-05-01;--:--;   -999.000;      2.934; 100
1970-06-01;--:--;   -999.000;      1.505; 100
1970-07-01;--:--;   -999.000;      1.338; 100
1970-08-01;--:--;   -999.000;      1.343; 100
1970-09-01;--:--;   -999.000;      0.835; 100
1970-10-01;--:--;   -999.000;      0.751; 100
1970-11-01;--:--;   -999.000;      1.871; 100
1970-12-01;--:--;   -999.000;      1.836; 100
1971-01-01;--:--;   -999.000;      5.351; 100
1971-02-01;--:--;   -999.000;      5.929; 100
1971-03-01;--:--;   -999.000;      4.182; 100
1971-04-01;--:--;   -999.000;      2.905; 100
1971-05-01;--:--;   -999.000;      2.478; 100
1971-06-01;--:--;   -999.000;      3.764; 100
1971-07-01;--:--;   -999.000;      1.211; 100
1971-08-01;--:--;   -999.000;      1.436; 100
1971-09-01;--:--;   -999.000;      0.499; 100
1971-10-01;--:--;   -999.000;      0.590; 100
1971-11-01;--:--;   -999.000;      1.533; 100
1971-12-01;--:--;   -999.000;      1.393; 100
1972-01-01;--:--;   -999.000;      3.290; 100
1972-02-01;--:--;   -999.000;      9.624; 100
1972-03-01;--:--;   -999.000;      6.129; 100
1972-04-01;--:--;   -999.000;      3.999; 100
1972-05-01;--:--;   -999.000;      3.566; 100
1972-06-01;--:--;   -999.000;      2.126; 100
1972-07-01;--:--;   -999.000;      1.272; 100
1972-08-01;--:--;   -999.000;      1.101; 100
1972-09-01;--:--;   -999.000;      0.849; 100
1972-10-01;--:--;   -999.000;      0.711; 100
1972-11-01;--:--;   -999.000;      1.600; 100
1972-12-01;--:--;   -999.000;      1.736; 100
1973-01-01;--:--;   -999.000;      1.651; 100
1973-02-01;--:--;   -999.000;      3.967; 100
1973-03-01;--:--;   -999.000;      2.493; 100
1973-04-01;--:--;   -999.000;      1.751; 100
1973-05-01;--:--;   -999.000;      3.077; 100
1973-06-01;--:--;   -999.000;      1.382; 100
1973-07-01;--:--;   -999.000;      0.981; 100
1973-08-01;--:--;   -999.000;      0.813; 100
1973-09-01;--:--;   -999.000;      0.864; 100
1973-10-01;--:--;   -999.000;      1.058; 100
1973-11-01;--:--;   -999.000;      1.705; 100
1973-12-01;--:--;   -999.000;      2.752; 100
1974-01-01;--:--;   -999.000;      6.187; 100
1974-02-01;--:--;   -999.000;     11.001; 100
1974-03-01;--:--;   -999.000;      8.703; 100
1974-04-01;--:--;   -999.000;      3.426; 100
1974-05-01;--:--;   -999.000;      2.139; 100
1974-06-01;--:--;   -999.000;      1.298; 100
1974-07-01;--:--;   -999.000;      0.861; 100
1974-08-01;--:--;   -999.000;      0.564; 100
1974-09-01;--:--;   -999.000;      2.106; 100
1974-10-01;--:--;   -999.000;      3.872; 100
1974-11-01;--:--;   -999.000;     15.492; 100
1974-12-01;--:--;   -999.000;      9.876; 100
1975-01-01;--:--;   -999.000;      9.832; 100
1975-02-01;--:--;   -999.000;      8.338; 100
1975-03-01;--:--;   -999.000;      7.909; 100
1975-04-01;--:--;   -999.000;      7.282; 100
1975-05-01;--:--;   -999.000;      4.437; 100
1975-06-01;--:--;   -999.000;      2.002; 100
1975-07-01;--:--;   -999.000;      1.108; 100
1975-08-01;--:--;   -999.000;      0.670; 100
1975-09-01;--:--;   -999.000;      0.743; 100
1975-10-01;--:--;   -999.000;      0.624; 100
1975-11-01;--:--;   -999.000;      1.656; 100
1975-12-01;--:--;   -999.000;      1.288; 100
1976-01-01;--:--;   -999.000;      1.106; 100
1976-02-01;--:--;   -999.000;      4.002; 100
1976-03-01;--:--;   -999.000;      2.083; 100
1976-04-01;--:--;   -999.000;      1.136; 100
1976-05-01;--:--;   -999.000;      0.705; 100
1976-06-01;--:--;   -999.000;      0.334; 100
1976-07-01;--:--;   -999.000;      0.277; 100
1976-08-01;--:--;   -999.000;      0.143; 100
1976-09-01;--:--;   -999.000;      0.316; 100
1976-10-01;--:--;   -999.000;      0.564; 100
1976-11-01;--:--;   -999.000;      0.989; 100
1976-12-01;--:--;   -999.000;      4.442; 100
1977-01-01;--:--;   -999.000;      4.777; 100
1977-02-01;--:--;   -999.000;     13.302; 100
1977-03-01;--:--;   -999.000;      6.738; 100
1977-04-01;--:--;   -999.000;      5.307; 100
1977-05-01;--:--;   -999.000;      4.175; 100
1977-06-01;--:--;   -999.000;      2.011; 100
1977-07-01;--:--;   -999.000;      1.298; 100
1977-08-01;--:--;   -999.000;      0.817; 100
1977-09-01;--:--;   -999.000;      0.576; 100
1977-10-01;--:--;   -999.000;      0.841; 100
1977-11-01;--:--;   -999.000;      2.908; 100
1977-12-01;--:--;   -999.000;      3.948; 100
1978-01-01;--:--;   -999.000;      8.430; 100
1978-02-01;--:--;   -999.000;     14.379; 100
1978-03-01;--:--;   -999.000;     11.437; 100
1978-04-01;--:--;   -999.000;      7.678; 100
1978-05-01;--:--;   -999.000;      4.938; 100
1978-06-01;--:--;   -999.000;      2.247; 100
1978-07-01;--:--;   -999.000;      1.681; 100
1978-08-01;--:--;   -999.000;      1.311; 100
1978-09-01;--:--;   -999.000;      0.892; 100
1978-10-01;--:--;   -999.000;      0.734; 100
1978-11-01;--:--;   -999.000;      0.664; 100
1978-12-01;--:--;   -999.000;      2.521; 100
1979-01-01;--:--;   -999.000;      5.006; 100
1979-02-01;--:--;   -999.000;      9.973; 100
1979-03-01;--:--;   -999.000;     10.619; 100
1979-04-01;--:--;   -999.000;      6.862; 100
1979-05-01;--:--;   -999.000;      5.384; 100
1979-06-01;--:--;   -999.000;      3.055; 100
1979-07-01;--:--;   -999.000;      1.160; 100
1979-08-01;--:--;   -999.000;      1.055; 100
1979-09-01;--:--;   -999.000;      0.622; 100
1979-10-01;--:--;   -999.000;      0.864; 100
1979-11-01;--:--;   -999.000;      1.530; 100
1979-12-01;--:--;   -999.000;      7.317; 100
1980-01-01;--:--;   -999.000;      7.692; 100
1980-02-01;--:--;   -999.000;     11.161; 100
1980-03-01;--:--;   -999.000;     10.744; 100
1980-04-01;--:--;   -999.000;      5.975; 100
1980-05-01;--:--;   -999.000;      2.879; 100
1980-06-01;--:--;   -999.000;      2.264; 100
1980-07-01;--:--;   -999.000;      1.690; 100
1980-08-01;--:--;   -999.000;      1.029; 100
1980-09-01;--:--;   -999.000;      0.952; 100
1980-10-01;--:--;   -999.000;      1.590; 100
1980-11-01;--:--;   -999.000;      3.344; 100
1980-12-01;--:--;   -999.000;      8.535; 100
1981-01-01;--:--;   -999.000;     10.882; 100
1981-02-01;--:--;   -999.000;      7.413; 100
1981-03-01;--:--;   -999.000;     10.811; 100
1981-04-01;--:--;   -999.000;      6.182; 100
1981-05-01;--:--;   -999.000;      8.750; 100
1981-06-01;--:--;   -999.000;      5.399; 100
1981-07-01;--:--;   -999.000;      2.594; 100
1981-08-01;--:--;   -999.000;      1.593; 100
1981-09-01;--:--;   -999.000;      2.228; 100
1981-10-01;--:--;   -999.000;      5.412; 100
1981-11-01;--:--;   -999.000;      3.977; 100
1981-12-01;--:--;   -999.000;     10.695; 100
1982-01-01;--:--;   -999.000;     13.933; 100
1982-02-01;--:--;   -999.000;      6.400; 100
1982-03-01;--:--;   -999.000;      6.908; 100
1982-04-01;--:--;   -999.000;      3.545; 100
1982-05-01;--:--;   -999.000;      2.105; 100
1982-06-01;--:--;   -999.000;      1.860; 100
1982-07-01;--:--;   -999.000;      1.489; 100
1982-08-01;--:--;   -999.000;      1.203; 100
1982-09-01;--:--;   -999.000;      0.770; 100
1982-10-01;--:--;   -999.000;      5.794; 100
1982-11-01;--:--;   -999.000;      8.896; 100
1982-12-01;--:--;   -999.000;     16.137; 100
1983-01-01;--:--;   -999.000;      9.711; 100
1983-02-01;--:--;   -999.000;     10.071; 100
1983-03-01;--:--;   -999.000;      6.664; 100
1983-04-01;--:--;   -999.000;      9.331; 100
1983-05-01;--:--;   -999.000;     11.635; 100
1983-06-01;--:--;   -999.000;      4.182; 100
1983-07-01;--:--;   -999.000;      2.303; 100
1983-08-01;--:--;   -999.000;      1.479; 100
