# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123210
# River:                 ORNE SAOSNOISE
# Station:               MONTBIZOT (MOULIN NEUF CIDRERIE)
# Country:               --
# Latitude (DD):       48.158733
# Longitude (DD):      0.204429
# Catchment area (km²):      
# Altitude (m ASL):        101.96
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 536
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-11-01;--:--;   -999.000;      3.266;  77
1967-12-01;--:--;   -999.000;      9.094; 100
1968-01-01;--:--;   -999.000;     15.523; 100
1968-02-01;--:--;   -999.000;      9.498; 100
1968-03-01;--:--;   -999.000;      5.157; 100
1968-04-01;--:--;   -999.000;      2.103; 100
1968-05-01;--:--;   -999.000;      4.002; 100
1968-06-01;--:--;   -999.000;      1.611; 100
1968-07-01;--:--;   -999.000;      1.278; 100
1968-08-01;--:--;   -999.000;      1.290; 100
1968-09-01;--:--;   -999.000;      1.440; 100
1968-10-01;--:--;   -999.000;      1.346; 100
1968-11-01;--:--;   -999.000;      1.444; 100
1968-12-01;--:--;   -999.000;      2.817; 100
1969-01-01;--:--;   -999.000;      3.089; 100
1969-02-01;--:--;   -999.000;      4.033; 100
1969-03-01;--:--;   -999.000;      6.193; 100
1969-04-01;--:--;   -999.000;      1.829; 100
1969-05-01;--:--;   -999.000;      1.388; 100
1969-06-01;--:--;   -999.000;      0.925; 100
1969-07-01;--:--;   -999.000;      0.584; 100
1969-08-01;--:--;   -999.000;      0.443; 100
1969-09-01;--:--;   -999.000;      0.432; 100
1969-10-01;--:--;   -999.000;      0.392; 100
1969-11-01;--:--;   -999.000;      1.592; 100
1969-12-01;--:--;   -999.000;      3.325; 100
1970-01-01;--:--;   -999.000;      4.346; 100
1970-02-01;--:--;   -999.000;     12.945; 100
1970-03-01;--:--;   -999.000;      5.480; 100
1970-04-01;--:--;   -999.000;      2.694; 100
1970-05-01;--:--;   -999.000;      1.321; 100
1970-06-01;--:--;   -999.000;      0.868; 100
1970-07-01;--:--;   -999.000;      0.671; 100
1970-08-01;--:--;   -999.000;      0.689; 100
1970-09-01;--:--;   -999.000;      0.673; 100
1970-10-01;--:--;   -999.000;      0.675; 100
1970-11-01;--:--;   -999.000;      0.963; 100
1970-12-01;--:--;   -999.000;      1.111; 100
1971-01-01;--:--;   -999.000;      3.019; 100
1971-02-01;--:--;   -999.000;      3.415; 100
1971-03-01;--:--;   -999.000;      2.098; 100
1971-04-01;--:--;   -999.000;      1.441; 100
1971-05-01;--:--;   -999.000;      1.849; 100
1971-06-01;--:--;   -999.000;      1.329; 100
1971-07-01;--:--;   -999.000;      0.491; 100
1971-08-01;--:--;   -999.000;      0.449; 100
1971-09-01;--:--;   -999.000;      0.509; 100
1971-10-01;--:--;   -999.000;      0.538; 100
1971-11-01;--:--;   -999.000;      0.997; 100
1971-12-01;--:--;   -999.000;      1.082; 100
1972-01-01;--:--;   -999.000;      1.674; 100
1972-02-01;--:--;   -999.000;      4.681; 100
1972-03-01;--:--;   -999.000;      4.368; 100
1972-04-01;--:--;   -999.000;      1.821; 100
1972-05-01;--:--;   -999.000;      1.129; 100
1972-06-01;--:--;   -999.000;      0.973; 100
1972-07-01;--:--;   -999.000;      0.550; 100
1972-08-01;--:--;   -999.000;      0.643; 100
1972-09-01;--:--;   -999.000;      0.593; 100
1972-10-01;--:--;   -999.000;      0.450; 100
1972-11-01;--:--;   -999.000;      1.580; 100
1972-12-01;--:--;   -999.000;      1.445; 100
1973-01-01;--:--;   -999.000;      1.260; 100
1973-02-01;--:--;   -999.000;      2.536; 100
1973-03-01;--:--;   -999.000;      1.491; 100
1973-04-01;--:--;   -999.000;      1.377; 100
1973-05-01;--:--;   -999.000;      1.976; 100
1973-06-01;--:--;   -999.000;      1.386; 100
1973-07-01;--:--;   -999.000;      0.521; 100
1973-08-01;--:--;   -999.000;      0.388; 100
1973-09-01;--:--;   -999.000;      0.461; 100
1973-10-01;--:--;   -999.000;      0.580; 100
1973-11-01;--:--;   -999.000;      0.606; 100
1973-12-01;--:--;   -999.000;      1.224; 100
1974-01-01;--:--;   -999.000;      3.302; 100
1974-02-01;--:--;   -999.000;      6.484; 100
1974-03-01;--:--;   -999.000;      5.033; 100
1974-04-01;--:--;   -999.000;      1.622; 100
1974-05-01;--:--;   -999.000;      1.144; 100
1974-06-01;--:--;   -999.000;      0.811; 100
1974-07-01;--:--;   -999.000;      0.549; 100
1974-08-01;--:--;   -999.000;      0.373; 100
1974-09-01;--:--;   -999.000;      0.547; 100
1974-10-01;--:--;   -999.000;      0.850; 100
1974-11-01;--:--;   -999.000;      3.833; 100
1974-12-01;--:--;   -999.000;      3.190; 100
1975-01-01;--:--;   -999.000;      9.280; 100
1975-02-01;--:--;   -999.000;      4.483; 100
1975-03-01;--:--;   -999.000;      4.628; 100
1975-04-01;--:--;   -999.000;      5.552; 100
1975-05-01;--:--;   -999.000;      3.182; 100
1975-06-01;--:--;   -999.000;      1.147; 100
1975-07-01;--:--;   -999.000;      1.375; 100
1975-08-01;--:--;   -999.000;      0.590; 100
1975-09-01;--:--;   -999.000;      0.773; 100
1975-10-01;--:--;   -999.000;      0.992; 100
1975-11-01;--:--;   -999.000;      1.562; 100
1975-12-01;--:--;   -999.000;      1.734; 100
1976-01-01;--:--;   -999.000;      1.276; 100
1976-02-01;--:--;   -999.000;      3.247; 100
1976-03-01;--:--;   -999.000;      1.737; 100
1976-04-01;--:--;   -999.000;      0.967; 100
1976-05-01;--:--;   -999.000;      0.503; 100
1976-06-01;--:--;   -999.000;      0.129; 100
1976-07-01;--:--;   -999.000;      0.120; 100
1976-08-01;--:--;   -999.000;      0.059; 100
1976-09-01;--:--;   -999.000;      0.174; 100
1976-10-01;--:--;   -999.000;      0.341; 100
1976-11-01;--:--;   -999.000;      0.472; 100
1976-12-01;--:--;   -999.000;      0.997; 100
1977-01-01;--:--;   -999.000;      1.335; 100
1977-02-01;--:--;   -999.000;      6.125; 100
1977-03-01;--:--;   -999.000;      3.557; 100
