# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123220
# River:                 BRAYE
# Station:               VALENNES (LA CABOCHE)
# Country:               --
# Latitude (DD):       48.013394
# Longitude (DD):      0.81907
# Catchment area (km²):      
# Altitude (m ASL):        152.53
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2012
# No. of years:          45
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 527
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-08-01;--:--;   -999.000;      0.946;  65
1968-09-01;--:--;   -999.000;      1.252; 100
1968-10-01;--:--;   -999.000;      1.116; 100
1968-11-01;--:--;   -999.000;      1.116; 100
1968-12-01;--:--;   -999.000;      1.788; 100
1969-01-01;--:--;   -999.000;      2.226; 100
1969-02-01;--:--;   -999.000;      1.818; 100
1969-03-01;--:--;   -999.000;      2.808; 100
1969-04-01;--:--;   -999.000;      1.093; 100
1969-05-01;--:--;   -999.000;      0.869; 100
1969-06-01;--:--;   -999.000;      0.694; 100
1969-07-01;--:--;   -999.000;      0.539; 100
1969-08-01;--:--;   -999.000;      0.494; 100
1969-09-01;--:--;   -999.000;      0.494; 100
1969-10-01;--:--;   -999.000;      0.558; 100
1969-11-01;--:--;   -999.000;      1.547; 100
1969-12-01;--:--;   -999.000;      2.693; 100
1970-01-01;--:--;   -999.000;      3.400; 100
1970-02-01;--:--;   -999.000;      8.878; 100
1970-03-01;--:--;   -999.000;      3.822; 100
1970-04-01;--:--;   -999.000;      1.564; 100
1970-05-01;--:--;   -999.000;      1.083; 100
1970-06-01;--:--;   -999.000;      0.819; 100
1970-07-01;--:--;   -999.000;      0.711; 100
1970-08-01;--:--;   -999.000;      0.746; 100
1970-09-01;--:--;   -999.000;      0.702; 100
1970-10-01;--:--;   -999.000;      0.745; 100
1970-11-01;--:--;   -999.000;      0.995; 100
1970-12-01;--:--;   -999.000;      0.983; 100
1971-01-01;--:--;   -999.000;      2.165; 100
1971-02-01;--:--;   -999.000;      1.823; 100
1971-03-01;--:--;   -999.000;      1.184; 100
1971-04-01;--:--;   -999.000;      0.910; 100
1971-05-01;--:--;   -999.000;      1.554; 100
1971-06-01;--:--;   -999.000;      0.926; 100
1971-07-01;--:--;   -999.000;      0.658; 100
1971-08-01;--:--;   -999.000;      0.675; 100
1971-09-01;--:--;   -999.000;      0.633; 100
1971-10-01;--:--;   -999.000;      0.682; 100
1971-11-01;--:--;   -999.000;      0.847; 100
1971-12-01;--:--;   -999.000;      0.805; 100
1972-01-01;--:--;   -999.000;      1.327; 100
1972-02-01;--:--;   -999.000;      3.159; 100
1972-03-01;--:--;   -999.000;      2.472; 100
1972-04-01;--:--;   -999.000;      1.305; 100
1972-05-01;--:--;   -999.000;      0.795; 100
1972-06-01;--:--;   -999.000;      0.749; 100
1972-07-01;--:--;   -999.000;      0.673; 100
1972-08-01;--:--;   -999.000;      0.985; 100
1972-09-01;--:--;   -999.000;      0.655; 100
1972-10-01;--:--;   -999.000;      0.732; 100
1972-11-01;--:--;   -999.000;      1.081; 100
1972-12-01;--:--;   -999.000;      0.992; 100
1973-01-01;--:--;   -999.000;      0.877; 100
1973-02-01;--:--;   -999.000;      2.155; 100
1973-03-01;--:--;   -999.000;      0.865; 100
1973-04-01;--:--;   -999.000;      0.645; 100
1973-05-01;--:--;   -999.000;      0.897; 100
1973-06-01;--:--;   -999.000;      1.112; 100
1973-07-01;--:--;   -999.000;      0.496; 100
1973-08-01;--:--;   -999.000;      0.484; 100
1973-09-01;--:--;   -999.000;      0.653; 100
1973-10-01;--:--;   -999.000;      0.852; 100
1973-11-01;--:--;   -999.000;      0.812; 100
1973-12-01;--:--;   -999.000;      2.182; 100
1974-01-01;--:--;   -999.000;      3.469; 100
1974-02-01;--:--;   -999.000;      3.518; 100
1974-03-01;--:--;   -999.000;      2.357; 100
1974-04-01;--:--;   -999.000;      0.819; 100
1974-05-01;--:--;   -999.000;      0.652; 100
1974-06-01;--:--;   -999.000;      0.573; 100
1974-07-01;--:--;   -999.000;      0.514; 100
1974-08-01;--:--;   -999.000;      0.452; 100
1974-09-01;--:--;   -999.000;      0.648; 100
1974-10-01;--:--;   -999.000;      0.940; 100
1974-11-01;--:--;   -999.000;      2.542; 100
1974-12-01;--:--;   -999.000;      2.439; 100
1975-01-01;--:--;   -999.000;      4.321; 100
1975-02-01;--:--;   -999.000;      1.350; 100
1975-03-01;--:--;   -999.000;      1.942; 100
1975-04-01;--:--;   -999.000;      3.425; 100
1975-05-01;--:--;   -999.000;      2.194; 100
1975-06-01;--:--;   -999.000;      0.650; 100
1975-07-01;--:--;   -999.000;      0.881; 100
1975-08-01;--:--;   -999.000;      0.526; 100
1975-09-01;--:--;   -999.000;      0.725; 100
1975-10-01;--:--;   -999.000;      0.803; 100
1975-11-01;--:--;   -999.000;      1.541; 100
1975-12-01;--:--;   -999.000;      1.493; 100
1976-01-01;--:--;   -999.000;      0.870; 100
1976-02-01;--:--;   -999.000;      2.237; 100
1976-03-01;--:--;   -999.000;      0.936; 100
1976-04-01;--:--;   -999.000;      0.732; 100
1976-05-01;--:--;   -999.000;      0.512; 100
1976-06-01;--:--;   -999.000;      0.378; 100
1976-07-01;--:--;   -999.000;      0.323; 100
1976-08-01;--:--;   -999.000;      0.229; 100
1976-09-01;--:--;   -999.000;      0.395; 100
1976-10-01;--:--;   -999.000;      0.607; 100
1976-11-01;--:--;   -999.000;      0.871; 100
1976-12-01;--:--;   -999.000;      1.336; 100
1977-01-01;--:--;   -999.000;      1.869; 100
1977-02-01;--:--;   -999.000;      6.379; 100
1977-03-01;--:--;   -999.000;      2.276; 100
1977-04-01;--:--;   -999.000;      1.685; 100
1977-05-01;--:--;   -999.000;      0.812; 100
1977-06-01;--:--;   -999.000;      0.774; 100
1977-07-01;--:--;   -999.000;      0.532; 100
1977-08-01;--:--;   -999.000;      0.537; 100
1977-09-01;--:--;   -999.000;      0.485; 100
1977-10-01;--:--;   -999.000;      0.803; 100
1977-11-01;--:--;   -999.000;      1.149; 100
