# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123250
# River:                 INDRE
# Station:               SAINT-CYRAN-DU-JAMBOT
# Country:               --
# Latitude (DD):       47.015951
# Longitude (DD):      1.126552
# Catchment area (km²):      
# Altitude (m ASL):        138.05
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2012
# No. of years:          45
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 534
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;   -999.000;     30.429; 100
1968-02-01;--:--;   -999.000;     26.400; 100
1968-03-01;--:--;   -999.000;     16.555; 100
1968-04-01;--:--;   -999.000;     14.902; 100
1968-05-01;--:--;   -999.000;     13.053; 100
1968-06-01;--:--;   -999.000;      6.173; 100
1968-07-01;--:--;   -999.000;      4.535; 100
1968-08-01;--:--;   -999.000;      7.639; 100
1968-09-01;--:--;   -999.000;     21.273; 100
1968-10-01;--:--;   -999.000;     12.997; 100
1968-11-01;--:--;   -999.000;     12.178; 100
1968-12-01;--:--;   -999.000;     26.427; 100
1969-01-01;--:--;   -999.000;     23.552; 100
1969-02-01;--:--;   -999.000;     20.104; 100
1969-03-01;--:--;   -999.000;     24.829; 100
1969-04-01;--:--;   -999.000;     13.353; 100
1969-05-01;--:--;   -999.000;     10.513; 100
1969-06-01;--:--;   -999.000;      9.890; 100
1969-07-01;--:--;   -999.000;      4.286; 100
1969-08-01;--:--;   -999.000;      2.832; 100
1969-09-01;--:--;   -999.000;      4.786; 100
1969-10-01;--:--;   -999.000;      3.601; 100
1969-11-01;--:--;   -999.000;      9.809; 100
1969-12-01;--:--;   -999.000;     26.603; 100
1970-01-01;--:--;   -999.000;     27.052; 100
1970-02-01;--:--;   -999.000;     74.393; 100
1970-03-01;--:--;   -999.000;     45.958; 100
1970-04-01;--:--;   -999.000;     34.397; 100
1970-05-01;--:--;   -999.000;     16.265; 100
1970-06-01;--:--;   -999.000;      7.685; 100
1970-07-01;--:--;   -999.000;      4.933; 100
1970-08-01;--:--;   -999.000;      3.987; 100
1970-09-01;--:--;   -999.000;      4.227; 100
1970-10-01;--:--;   -999.000;      4.086; 100
1970-11-01;--:--;   -999.000;      5.071; 100
1970-12-01;--:--;   -999.000;      4.861; 100
1971-01-01;--:--;   -999.000;      6.265; 100
1971-02-01;--:--;   -999.000;     13.089; 100
1971-03-01;--:--;   -999.000;      8.411; 100
1971-04-01;--:--;   -999.000;      5.339; 100
1971-05-01;--:--;   -999.000;     15.311; 100
1971-06-01;--:--;   -999.000;     13.922; 100
1971-07-01;--:--;   -999.000;      4.040; 100
1971-08-01;--:--;   -999.000;      3.846; 100
1971-09-01;--:--;   -999.000;      3.435; 100
1971-10-01;--:--;   -999.000;      3.089; 100
1971-11-01;--:--;   -999.000;      4.009; 100
1971-12-01;--:--;   -999.000;      5.608; 100
1972-01-01;--:--;   -999.000;      6.487; 100
1972-02-01;--:--;   -999.000;     21.672; 100
1972-03-01;--:--;   -999.000;     14.048; 100
1972-04-01;--:--;   -999.000;      5.382; 100
1972-05-01;--:--;   -999.000;      3.855; 100
1972-06-01;--:--;   -999.000;      4.817; 100
1972-07-01;--:--;   -999.000;      2.083; 100
1972-08-01;--:--;   -999.000;      2.320; 100
1972-09-01;--:--;   -999.000;      2.187; 100
1972-10-01;--:--;   -999.000;      2.561; 100
1972-11-01;--:--;   -999.000;      5.939; 100
1972-12-01;--:--;   -999.000;      6.128; 100
1973-01-01;--:--;   -999.000;      5.857; 100
1973-02-01;--:--;   -999.000;     17.309; 100
1973-03-01;--:--;   -999.000;     11.142; 100
1973-04-01;--:--;   -999.000;      5.593; 100
1973-05-01;--:--;   -999.000;      5.337; 100
1973-06-01;--:--;   -999.000;      3.419; 100
1973-07-01;--:--;   -999.000;      3.030; 100
1973-08-01;--:--;   -999.000;      2.215; 100
1973-09-01;--:--;   -999.000;      1.411; 100
1973-10-01;--:--;   -999.000;      3.036; 100
1973-11-01;--:--;   -999.000;      2.733; 100
1973-12-01;--:--;   -999.000;     10.923; 100
1974-01-01;--:--;   -999.000;     11.105; 100
1974-02-01;--:--;   -999.000;     18.452; 100
1974-03-01;--:--;   -999.000;     25.361; 100
1974-04-01;--:--;   -999.000;     14.603; 100
1974-05-01;--:--;   -999.000;      7.076; 100
1974-06-01;--:--;   -999.000;      3.231; 100
1974-07-01;--:--;   -999.000;      2.730; 100
1974-08-01;--:--;   -999.000;      1.383; 100
1974-09-01;--:--;   -999.000;      1.938; 100
1974-10-01;--:--;   -999.000;      4.988; 100
1974-11-01;--:--;   -999.000;      8.157; 100
1974-12-01;--:--;   -999.000;     13.390; 100
1975-01-01;--:--;   -999.000;     11.882; 100
1975-02-01;--:--;   -999.000;     16.236; 100
1975-03-01;--:--;   -999.000;     15.373; 100
1975-04-01;--:--;   -999.000;     33.490; 100
1975-05-01;--:--;   -999.000;     13.716; 100
1975-06-01;--:--;   -999.000;      6.322; 100
1975-07-01;--:--;   -999.000;      3.060; 100
1975-08-01;--:--;   -999.000;      1.968; 100
1975-09-01;--:--;   -999.000;      4.782; 100
1975-10-01;--:--;   -999.000;      8.047; 100
1975-11-01;--:--;   -999.000;     12.681; 100
1975-12-01;--:--;   -999.000;     23.058; 100
1976-01-01;--:--;   -999.000;      7.466; 100
1976-02-01;--:--;   -999.000;     26.852; 100
1976-03-01;--:--;   -999.000;     10.432; 100
1976-04-01;--:--;   -999.000;      6.355; 100
1976-05-01;--:--;   -999.000;      4.302; 100
1976-06-01;--:--;   -999.000;      2.624; 100
1976-07-01;--:--;   -999.000;      1.937; 100
1976-08-01;--:--;   -999.000;      1.471; 100
1976-09-01;--:--;   -999.000;      2.176; 100
1976-10-01;--:--;   -999.000;      2.592; 100
1976-11-01;--:--;   -999.000;      7.185; 100
1976-12-01;--:--;   -999.000;     31.037; 100
1977-01-01;--:--;   -999.000;     19.797; 100
1977-02-01;--:--;   -999.000;   -999.000;  29
1977-03-01;--:--;   -999.000;     25.983;  77
1977-04-01;--:--;   -999.000;     21.503; 100
1977-05-01;--:--;   -999.000;     21.114;  68
1977-06-01;--:--;   -999.000;     39.430;  67
1977-07-01;--:--;   -999.000;     30.114;  90
1977-08-01;--:--;   -999.000;     25.394; 100
1977-09-01;--:--;   -999.000;      7.923; 100
1977-10-01;--:--;   -999.000;     10.921; 100
1977-11-01;--:--;   -999.000;     14.334; 100
1977-12-01;--:--;   -999.000;     18.007;  97
1978-01-01;--:--;   -999.000;     45.261; 100
1978-02-01;--:--;   -999.000;     48.186; 100
1978-03-01;--:--;   -999.000;     62.784; 100
1978-04-01;--:--;   -999.000;     40.630; 100
1978-05-01;--:--;   -999.000;     37.306; 100
1978-06-01;--:--;   -999.000;     12.423; 100
1978-07-01;--:--;   -999.000;      6.120; 100
1978-08-01;--:--;   -999.000;      5.127; 100
1978-09-01;--:--;   -999.000;      3.564; 100
1978-10-01;--:--;   -999.000;      3.258; 100
1978-11-01;--:--;   -999.000;      3.547; 100
1978-12-01;--:--;   -999.000;      5.080; 100
1979-01-01;--:--;   -999.000;     13.598; 100
1979-02-01;--:--;   -999.000;     57.018; 100
1979-03-01;--:--;   -999.000;     63.400; 100
1979-04-01;--:--;   -999.000;     49.373; 100
1979-05-01;--:--;   -999.000;     29.448; 100
1979-06-01;--:--;   -999.000;     13.423; 100
1979-07-01;--:--;   -999.000;      5.336; 100
1979-08-01;--:--;   -999.000;      3.346; 100
1979-09-01;--:--;   -999.000;      3.655; 100
1979-10-01;--:--;   -999.000;      4.836; 100
1979-11-01;--:--;   -999.000;      7.233; 100
1979-12-01;--:--;   -999.000;     35.345; 100
1980-01-01;--:--;   -999.000;     33.829; 100
1980-02-01;--:--;   -999.000;     39.203; 100
1980-03-01;--:--;   -999.000;     35.068; 100
1980-04-01;--:--;   -999.000;     17.443; 100
1980-05-01;--:--;   -999.000;      8.835; 100
1980-06-01;--:--;   -999.000;      6.953; 100
1980-07-01;--:--;   -999.000;      6.645; 100
1980-08-01;--:--;   -999.000;      5.205; 100
1980-09-01;--:--;   -999.000;      6.309; 100
1980-10-01;--:--;   -999.000;      7.484; 100
1980-11-01;--:--;   -999.000;      8.107; 100
1980-12-01;--:--;   -999.000;     10.095; 100
1981-01-01;--:--;   -999.000;     42.710; 100
1981-02-01;--:--;   -999.000;     21.743; 100
1981-03-01;--:--;   -999.000;     26.481; 100
