# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123260
# River:                 RUISSEAU LA TOURMENTE
# Station:               VILLELOIN-COULANGE (COULANGE)
# Country:               --
# Latitude (DD):       47.134958
# Longitude (DD):      1.239978
# Catchment area (km²):      
# Altitude (m ASL):        148.69
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 2008
# No. of years:          43
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 514
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-03-01;--:--;   -999.000;      0.716; 100
1966-04-01;--:--;   -999.000;      0.696; 100
1966-05-01;--:--;   -999.000;      0.428; 100
1966-06-01;--:--;   -999.000;      0.216; 100
1966-07-01;--:--;   -999.000;      0.223; 100
1966-08-01;--:--;   -999.000;      0.256; 100
1966-09-01;--:--;   -999.000;      0.155; 100
1966-10-01;--:--;   -999.000;      0.217; 100
1966-11-01;--:--;   -999.000;      0.404; 100
1966-12-01;--:--;   -999.000;      2.003; 100
1967-01-01;--:--;   -999.000;      1.729; 100
1967-02-01;--:--;   -999.000;      1.912; 100
1967-03-01;--:--;   -999.000;      1.291; 100
1967-04-01;--:--;   -999.000;      0.346; 100
1967-05-01;--:--;   -999.000;      0.367; 100
1967-06-01;--:--;   -999.000;      0.276; 100
1967-07-01;--:--;   -999.000;      0.251; 100
1967-08-01;--:--;   -999.000;      0.194; 100
1967-09-01;--:--;   -999.000;      0.198; 100
1967-10-01;--:--;   -999.000;      0.195; 100
1967-11-01;--:--;   -999.000;      0.325; 100
1967-12-01;--:--;   -999.000;      0.947; 100
1968-01-01;--:--;   -999.000;      2.011; 100
1968-02-01;--:--;   -999.000;      1.699; 100
1968-03-01;--:--;   -999.000;      0.375; 100
1968-04-01;--:--;   -999.000;      0.408; 100
1968-05-01;--:--;   -999.000;      0.929; 100
1968-06-01;--:--;   -999.000;      0.249; 100
1968-07-01;--:--;   -999.000;      0.251; 100
1968-08-01;--:--;   -999.000;      0.304; 100
1968-09-01;--:--;   -999.000;      0.713; 100
1968-10-01;--:--;   -999.000;      0.694; 100
1968-11-01;--:--;   -999.000;      0.436; 100
1968-12-01;--:--;   -999.000;      1.642; 100
1969-01-01;--:--;   -999.000;      1.357; 100
1969-02-01;--:--;   -999.000;      0.933; 100
1969-03-01;--:--;   -999.000;      1.567; 100
1969-04-01;--:--;   -999.000;      0.463; 100
1969-05-01;--:--;   -999.000;      0.446; 100
1969-06-01;--:--;   -999.000;      1.441; 100
1969-07-01;--:--;   -999.000;      0.341; 100
1969-08-01;--:--;   -999.000;      0.296; 100
1969-09-01;--:--;   -999.000;      0.290; 100
1969-10-01;--:--;   -999.000;      0.297; 100
1969-11-01;--:--;   -999.000;      0.820; 100
1969-12-01;--:--;   -999.000;      1.657; 100
1970-01-01;--:--;   -999.000;      1.887; 100
1970-02-01;--:--;   -999.000;      4.661; 100
1970-03-01;--:--;   -999.000;      1.687; 100
1970-04-01;--:--;   -999.000;      1.076; 100
1970-05-01;--:--;   -999.000;      0.600; 100
1970-06-01;--:--;   -999.000;      0.437; 100
1970-07-01;--:--;   -999.000;      0.258; 100
1970-08-01;--:--;   -999.000;      0.234; 100
1970-09-01;--:--;   -999.000;      0.178; 100
1970-10-01;--:--;   -999.000;      0.210; 100
1970-11-01;--:--;   -999.000;      0.347; 100
1970-12-01;--:--;   -999.000;      0.312; 100
1971-01-01;--:--;   -999.000;      0.449; 100
1971-02-01;--:--;   -999.000;      0.427; 100
1971-03-01;--:--;   -999.000;      0.345; 100
1971-04-01;--:--;   -999.000;      0.373; 100
1971-05-01;--:--;   -999.000;      1.781; 100
1971-06-01;--:--;   -999.000;      0.327; 100
1971-07-01;--:--;   -999.000;      0.389; 100
1971-08-01;--:--;   -999.000;      0.153; 100
1971-09-01;--:--;   -999.000;      0.128; 100
1971-10-01;--:--;   -999.000;      0.150; 100
1971-11-01;--:--;   -999.000;      0.194; 100
1971-12-01;--:--;   -999.000;      0.251; 100
1972-01-01;--:--;   -999.000;      0.468; 100
1972-02-01;--:--;   -999.000;      1.469; 100
1972-03-01;--:--;   -999.000;      0.629; 100
