# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123270
# River:                 ECHAUDON
# Station:               SAINT-BRANCHS
# Country:               --
# Latitude (DD):       47.246442
# Longitude (DD):      0.818396
# Catchment area (km²):      
# Altitude (m ASL):        115.96
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 535
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-12-01;--:--;   -999.000;   -999.000;  32
1968-01-01;--:--;   -999.000;      1.793; 100
1968-02-01;--:--;   -999.000;      1.031; 100
1968-03-01;--:--;   -999.000;      0.737; 100
1968-04-01;--:--;   -999.000;      0.614; 100
1968-05-01;--:--;   -999.000;      0.889; 100
1968-06-01;--:--;   -999.000;      0.517; 100
1968-07-01;--:--;   -999.000;      0.404; 100
1968-08-01;--:--;   -999.000;      0.678; 100
1968-09-01;--:--;   -999.000;      1.389; 100
1968-10-01;--:--;   -999.000;      1.078; 100
1968-11-01;--:--;   -999.000;      0.783; 100
1968-12-01;--:--;   -999.000;      0.704; 100
1969-01-01;--:--;   -999.000;      1.782; 100
1969-02-01;--:--;   -999.000;      0.982; 100
1969-03-01;--:--;   -999.000;      1.536; 100
1969-04-01;--:--;   -999.000;      0.656; 100
1969-05-01;--:--;   -999.000;      0.721; 100
1969-06-01;--:--;   -999.000;      0.700; 100
1969-07-01;--:--;   -999.000;      0.420; 100
1969-08-01;--:--;   -999.000;      0.213; 100
1969-09-01;--:--;   -999.000;      0.358; 100
1969-10-01;--:--;   -999.000;      0.263; 100
1969-11-01;--:--;   -999.000;      0.328; 100
1969-12-01;--:--;   -999.000;      0.663; 100
1970-01-01;--:--;   -999.000;      0.935; 100
1970-02-01;--:--;   -999.000;      4.046; 100
1970-03-01;--:--;   -999.000;      1.270; 100
1970-04-01;--:--;   -999.000;      0.546; 100
1970-05-01;--:--;   -999.000;      0.331; 100
1970-06-01;--:--;   -999.000;      0.300; 100
1970-07-01;--:--;   -999.000;      0.161; 100
1970-08-01;--:--;   -999.000;      0.158; 100
1970-09-01;--:--;   -999.000;      0.357; 100
1970-10-01;--:--;   -999.000;      0.428; 100
1970-11-01;--:--;   -999.000;      0.231; 100
1970-12-01;--:--;   -999.000;      0.157; 100
1971-01-01;--:--;   -999.000;      0.197; 100
1971-02-01;--:--;   -999.000;      0.267; 100
1971-03-01;--:--;   -999.000;      0.228; 100
1971-04-01;--:--;   -999.000;      0.191; 100
1971-05-01;--:--;   -999.000;      0.722; 100
1971-06-01;--:--;   -999.000;      0.440; 100
1971-07-01;--:--;   -999.000;      0.256; 100
1971-08-01;--:--;   -999.000;      0.209; 100
1971-09-01;--:--;   -999.000;      0.360; 100
1971-10-01;--:--;   -999.000;      0.340; 100
1971-11-01;--:--;   -999.000;      0.212; 100
1971-12-01;--:--;   -999.000;      0.195; 100
1972-01-01;--:--;   -999.000;      0.293; 100
1972-02-01;--:--;   -999.000;      0.837; 100
1972-03-01;--:--;   -999.000;      0.691; 100
1972-04-01;--:--;   -999.000;      0.481; 100
1972-05-01;--:--;   -999.000;      0.264; 100
1972-06-01;--:--;   -999.000;      0.164; 100
1972-07-01;--:--;   -999.000;      0.081; 100
1972-08-01;--:--;   -999.000;      0.069; 100
1972-09-01;--:--;   -999.000;      0.173; 100
1972-10-01;--:--;   -999.000;      0.245; 100
1972-11-01;--:--;   -999.000;      0.136; 100
1972-12-01;--:--;   -999.000;      0.150; 100
1973-01-01;--:--;   -999.000;      0.124; 100
1973-02-01;--:--;   -999.000;      0.337; 100
1973-03-01;--:--;   -999.000;      0.239; 100
1973-04-01;--:--;   -999.000;      0.161; 100
1973-05-01;--:--;   -999.000;      0.169; 100
1973-06-01;--:--;   -999.000;      0.190; 100
1973-07-01;--:--;   -999.000;      0.134; 100
1973-08-01;--:--;   -999.000;      0.083; 100
1973-09-01;--:--;   -999.000;      0.093; 100
1973-10-01;--:--;   -999.000;      0.406; 100
1973-11-01;--:--;   -999.000;      0.110; 100
