# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123300
# River:                 LOIRE
# Station:               BLOIS
# Country:               --
# Latitude (DD):       47.58
# Longitude (DD):      1.33
# Catchment area (km²):      
# Altitude (m ASL):        66.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1863 - 1979
# No. of years:          117
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1404
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1863-01-01;--:--;    820.000;   -999.000;   0
1863-02-01;--:--;    361.000;   -999.000;   0
1863-03-01;--:--;    262.000;   -999.000;   0
1863-04-01;--:--;    378.000;   -999.000;   0
1863-05-01;--:--;    217.000;   -999.000;   0
1863-06-01;--:--;    133.000;   -999.000;   0
1863-07-01;--:--;    116.000;   -999.000;   0
1863-08-01;--:--;     56.000;   -999.000;   0
1863-09-01;--:--;    151.000;   -999.000;   0
1863-10-01;--:--;    545.000;   -999.000;   0
1863-11-01;--:--;    417.000;   -999.000;   0
1863-12-01;--:--;    328.000;   -999.000;   0
1864-01-01;--:--;    308.000;   -999.000;   0
1864-02-01;--:--;    303.000;   -999.000;   0
1864-03-01;--:--;    590.000;   -999.000;   0
1864-04-01;--:--;    293.000;   -999.000;   0
1864-05-01;--:--;    135.000;   -999.000;   0
1864-06-01;--:--;    168.000;   -999.000;   0
1864-07-01;--:--;     98.000;   -999.000;   0
1864-08-01;--:--;     63.000;   -999.000;   0
1864-09-01;--:--;     69.000;   -999.000;   0
1864-10-01;--:--;    136.000;   -999.000;   0
1864-11-01;--:--;    575.000;   -999.000;   0
1864-12-01;--:--;    480.000;   -999.000;   0
1865-01-01;--:--;    555.000;   -999.000;   0
1865-02-01;--:--;    850.000;   -999.000;   0
1865-03-01;--:--;    680.000;   -999.000;   0
1865-04-01;--:--;    525.000;   -999.000;   0
1865-05-01;--:--;    199.000;   -999.000;   0
1865-06-01;--:--;    102.000;   -999.000;   0
1865-07-01;--:--;     80.000;   -999.000;   0
1865-08-01;--:--;     79.000;   -999.000;   0
1865-09-01;--:--;     55.000;   -999.000;   0
1865-10-01;--:--;     65.000;   -999.000;   0
1865-11-01;--:--;    268.000;   -999.000;   0
1865-12-01;--:--;    446.000;   -999.000;   0
1866-01-01;--:--;    335.000;   -999.000;   0
1866-02-01;--:--;    600.000;   -999.000;   0
1866-03-01;--:--;    865.000;   -999.000;   0
1866-04-01;--:--;    875.000;   -999.000;   0
1866-05-01;--:--;    317.000;   -999.000;   0
1866-06-01;--:--;    342.000;   -999.000;   0
1866-07-01;--:--;    192.000;   -999.000;   0
1866-08-01;--:--;    156.000;   -999.000;   0
1866-09-01;--:--;    910.000;   -999.000;   0
1866-10-01;--:--;    600.000;   -999.000;   0
1866-11-01;--:--;    335.000;   -999.000;   0
1866-12-01;--:--;    760.000;   -999.000;   0
1867-01-01;--:--;    960.000;   -999.000;   0
1867-02-01;--:--;    865.000;   -999.000;   0
1867-03-01;--:--;    900.000;   -999.000;   0
1867-04-01;--:--;    705.000;   -999.000;   0
1867-05-01;--:--;    438.000;   -999.000;   0
1867-06-01;--:--;    181.000;   -999.000;   0
1867-07-01;--:--;    199.000;   -999.000;   0
1867-08-01;--:--;    167.000;   -999.000;   0
1867-09-01;--:--;     94.000;   -999.000;   0
1867-10-01;--:--;    371.000;   -999.000;   0
1867-11-01;--:--;    262.000;   -999.000;   0
1867-12-01;--:--;    314.000;   -999.000;   0
1868-01-01;--:--;    449.000;   -999.000;   0
1868-02-01;--:--;    520.000;   -999.000;   0
1868-03-01;--:--;    525.000;   -999.000;   0
1868-04-01;--:--;    388.000;   -999.000;   0
1868-05-01;--:--;    458.000;   -999.000;   0
1868-06-01;--:--;    162.000;   -999.000;   0
1868-07-01;--:--;     87.000;   -999.000;   0
1868-08-01;--:--;    147.000;   -999.000;   0
1868-09-01;--:--;    137.000;   -999.000;   0
1868-10-01;--:--;    715.000;   -999.000;   0
1868-11-01;--:--;    620.000;   -999.000;   0
1868-12-01;--:--;    740.000;   -999.000;   0
1869-01-01;--:--;    494.000;   -999.000;   0
1869-02-01;--:--;    343.000;   -999.000;   0
1869-03-01;--:--;    775.000;   -999.000;   0
1869-04-01;--:--;    660.000;   -999.000;   0
1869-05-01;--:--;    338.000;   -999.000;   0
1869-06-01;--:--;    308.000;   -999.000;   0
1869-07-01;--:--;    141.000;   -999.000;   0
1869-08-01;--:--;     74.000;   -999.000;   0
1869-09-01;--:--;     56.000;   -999.000;   0
1869-10-01;--:--;     61.000;   -999.000;   0
1869-11-01;--:--;    112.000;   -999.000;   0
1869-12-01;--:--;    365.000;   -999.000;   0
1870-01-01;--:--;    339.000;   -999.000;   0
1870-02-01;--:--;    268.000;   -999.000;   0
1870-03-01;--:--;    510.000;   -999.000;   0
1870-04-01;--:--;    192.000;   -999.000;   0
1870-05-01;--:--;    102.000;   -999.000;   0
1870-06-01;--:--;     54.000;   -999.000;   0
1870-07-01;--:--;     36.000;   -999.000;   0
1870-08-01;--:--;     38.000;   -999.000;   0
1870-09-01;--:--;     36.000;   -999.000;   0
1870-10-01;--:--;     41.000;   -999.000;   0
1870-11-01;--:--;    293.000;   -999.000;   0
1870-12-01;--:--;    455.000;   -999.000;   0
1871-01-01;--:--;    363.000;   -999.000;   0
1871-02-01;--:--;    605.000;   -999.000;   0
1871-03-01;--:--;    330.000;   -999.000;   0
1871-04-01;--:--;    231.000;   -999.000;   0
1871-05-01;--:--;    116.000;   -999.000;   0
1871-06-01;--:--;    119.000;   -999.000;   0
1871-07-01;--:--;    169.000;   -999.000;   0
1871-08-01;--:--;     78.000;   -999.000;   0
1871-09-01;--:--;     64.000;   -999.000;   0
1871-10-01;--:--;    105.000;   -999.000;   0
1871-11-01;--:--;    218.000;   -999.000;   0
1871-12-01;--:--;    138.000;   -999.000;   0
1872-01-01;--:--;    378.000;   -999.000;   0
1872-02-01;--:--;    454.000;   -999.000;   0
1872-03-01;--:--;    469.000;   -999.000;   0
1872-04-01;--:--;    298.000;   -999.000;   0
1872-05-01;--:--;    685.000;   -999.000;   0
1872-06-01;--:--;    439.000;   -999.000;   0
1872-07-01;--:--;    163.000;   -999.000;   0
1872-08-01;--:--;    163.000;   -999.000;   0
1872-09-01;--:--;    104.000;   -999.000;   0
1872-10-01;--:--;    810.000;   -999.000;   0
1872-11-01;--:--;    910.000;   -999.000;   0
1872-12-01;--:--;   1270.000;   -999.000;   0
1873-01-01;--:--;    680.000;   -999.000;   0
1873-02-01;--:--;    448.000;   -999.000;   0
1873-03-01;--:--;   1100.000;   -999.000;   0
1873-04-01;--:--;    620.000;   -999.000;   0
1873-05-01;--:--;    334.000;   -999.000;   0
1873-06-01;--:--;    221.000;   -999.000;   0
1873-07-01;--:--;    148.000;   -999.000;   0
1873-08-01;--:--;     81.000;   -999.000;   0
1873-09-01;--:--;     82.000;   -999.000;   0
1873-10-01;--:--;     99.000;   -999.000;   0
1873-11-01;--:--;    312.000;   -999.000;   0
1873-12-01;--:--;    251.000;   -999.000;   0
1874-01-01;--:--;    208.000;   -999.000;   0
1874-02-01;--:--;    181.000;   -999.000;   0
1874-03-01;--:--;    291.000;   -999.000;   0
1874-04-01;--:--;    234.000;   -999.000;   0
1874-05-01;--:--;    117.000;   -999.000;   0
1874-06-01;--:--;     77.000;   -999.000;   0
1874-07-01;--:--;    106.000;   -999.000;   0
1874-08-01;--:--;    165.000;   -999.000;   0
1874-09-01;--:--;     57.000;   -999.000;   0
1874-10-01;--:--;    155.000;   -999.000;   0
1874-11-01;--:--;    207.000;   -999.000;   0
1874-12-01;--:--;    500.000;   -999.000;   0
1875-01-01;--:--;    905.000;   -999.000;   0
1875-02-01;--:--;    600.000;   -999.000;   0
1875-03-01;--:--;    380.000;   -999.000;   0
1875-04-01;--:--;    178.000;   -999.000;   0
1875-05-01;--:--;    101.000;   -999.000;   0
1875-06-01;--:--;    205.000;   -999.000;   0
1875-07-01;--:--;    278.000;   -999.000;   0
1875-08-01;--:--;    231.000;   -999.000;   0
1875-09-01;--:--;    367.000;   -999.000;   0
1875-10-01;--:--;    426.000;   -999.000;   0
1875-11-01;--:--;    945.000;   -999.000;   0
1875-12-01;--:--;    372.000;   -999.000;   0
1876-01-01;--:--;    324.000;   -999.000;   0
1876-02-01;--:--;    530.000;   -999.000;   0
1876-03-01;--:--;   1250.000;   -999.000;   0
1876-04-01;--:--;    810.000;   -999.000;   0
1876-05-01;--:--;    447.000;   -999.000;   0
1876-06-01;--:--;    481.000;   -999.000;   0
1876-07-01;--:--;    238.000;   -999.000;   0
1876-08-01;--:--;     71.000;   -999.000;   0
1876-09-01;--:--;    104.000;   -999.000;   0
1876-10-01;--:--;     96.000;   -999.000;   0
1876-11-01;--:--;    134.000;   -999.000;   0
1876-12-01;--:--;    426.000;   -999.000;   0
1877-01-01;--:--;    373.000;   -999.000;   0
1877-02-01;--:--;    520.000;   -999.000;   0
1877-03-01;--:--;    830.000;   -999.000;   0
1877-04-01;--:--;    735.000;   -999.000;   0
1877-05-01;--:--;    595.000;   -999.000;   0
1877-06-01;--:--;    640.000;   -999.000;   0
1877-07-01;--:--;    148.000;   -999.000;   0
1877-08-01;--:--;    122.000;   -999.000;   0
1877-09-01;--:--;     93.000;   -999.000;   0
1877-10-01;--:--;     73.000;   -999.000;   0
1877-11-01;--:--;    123.000;   -999.000;   0
1877-12-01;--:--;    336.000;   -999.000;   0
1878-01-01;--:--;    525.000;   -999.000;   0
1878-02-01;--:--;    423.000;   -999.000;   0
1878-03-01;--:--;    304.000;   -999.000;   0
1878-04-01;--:--;    765.000;   -999.000;   0
1878-05-01;--:--;    570.000;   -999.000;   0
1878-06-01;--:--;    305.000;   -999.000;   0
1878-07-01;--:--;    162.000;   -999.000;   0
1878-08-01;--:--;    149.000;   -999.000;   0
1878-09-01;--:--;    153.000;   -999.000;   0
1878-10-01;--:--;    192.000;   -999.000;   0
1878-11-01;--:--;    430.000;   -999.000;   0
1878-12-01;--:--;    685.000;   -999.000;   0
1879-01-01;--:--;   1360.000;   -999.000;   0
1879-02-01;--:--;   1040.000;   -999.000;   0
1879-03-01;--:--;    535.000;   -999.000;   0
1879-04-01;--:--;   1260.000;   -999.000;   0
1879-05-01;--:--;    880.000;   -999.000;   0
1879-06-01;--:--;    540.000;   -999.000;   0
1879-07-01;--:--;    229.000;   -999.000;   0
1879-08-01;--:--;    147.000;   -999.000;   0
1879-09-01;--:--;    117.000;   -999.000;   0
1879-10-01;--:--;    136.000;   -999.000;   0
1879-11-01;--:--;    261.000;   -999.000;   0
1879-12-01;--:--;    226.000;   -999.000;   0
1880-01-01;--:--;    321.000;   -999.000;   0
1880-02-01;--:--;    393.000;   -999.000;   0
1880-03-01;--:--;    270.000;   -999.000;   0
1880-04-01;--:--;    260.000;   -999.000;   0
1880-05-01;--:--;    545.000;   -999.000;   0
1880-06-01;--:--;    456.000;   -999.000;   0
1880-07-01;--:--;    414.000;   -999.000;   0
1880-08-01;--:--;    135.000;   -999.000;   0
1880-09-01;--:--;    150.000;   -999.000;   0
1880-10-01;--:--;    265.000;   -999.000;   0
1880-11-01;--:--;    482.000;   -999.000;   0
1880-12-01;--:--;    374.000;   -999.000;   0
1881-01-01;--:--;    381.000;   -999.000;   0
1881-02-01;--:--;    890.000;   -999.000;   0
1881-03-01;--:--;    457.000;   -999.000;   0
1881-04-01;--:--;    560.000;   -999.000;   0
1881-05-01;--:--;    447.000;   -999.000;   0
1881-06-01;--:--;    205.000;   -999.000;   0
1881-07-01;--:--;    105.000;   -999.000;   0
1881-08-01;--:--;     64.000;   -999.000;   0
1881-09-01;--:--;     77.000;   -999.000;   0
1881-10-01;--:--;    119.000;   -999.000;   0
1881-11-01;--:--;    159.000;   -999.000;   0
1881-12-01;--:--;    177.000;   -999.000;   0
1882-01-01;--:--;    195.000;   -999.000;   0
1882-02-01;--:--;    116.000;   -999.000;   0
1882-03-01;--:--;    195.000;   -999.000;   0
1882-04-01;--:--;    177.000;   -999.000;   0
1882-05-01;--:--;    258.000;   -999.000;   0
1882-06-01;--:--;    190.000;   -999.000;   0
1882-07-01;--:--;    535.000;   -999.000;   0
1882-08-01;--:--;    127.000;   -999.000;   0
1882-09-01;--:--;    228.000;   -999.000;   0
1882-10-01;--:--;    500.000;   -999.000;   0
1882-11-01;--:--;    880.000;   -999.000;   0
1882-12-01;--:--;   1220.000;   -999.000;   0
1883-01-01;--:--;    805.000;   -999.000;   0
1883-02-01;--:--;    690.000;   -999.000;   0
1883-03-01;--:--;    379.000;   -999.000;   0
1883-04-01;--:--;    341.000;   -999.000;   0
1883-05-01;--:--;    321.000;   -999.000;   0
1883-06-01;--:--;    174.000;   -999.000;   0
1883-07-01;--:--;    167.000;   -999.000;   0
