# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123350
# River:                 SAULDRE
# Station:               SELLES-SUR-CHER
# Country:               --
# Latitude (DD):       47.28557
# Longitude (DD):      1.534436
# Catchment area (km²):      
# Altitude (m ASL):        125.08
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965 - 2012
# No. of years:          48
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 570
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1965-01-01;--:--;   -999.000;     12.008; 100
1965-02-01;--:--;   -999.000;      8.746; 100
1965-03-01;--:--;   -999.000;     17.710; 100
1965-04-01;--:--;   -999.000;     12.657; 100
1965-05-01;--:--;   -999.000;     13.377; 100
1965-06-01;--:--;   -999.000;      9.993; 100
1965-07-01;--:--;   -999.000;      3.123; 100
1965-08-01;--:--;   -999.000;      3.175; 100
1965-09-01;--:--;   -999.000;     18.720; 100
1965-10-01;--:--;   -999.000;     11.561; 100
1965-11-01;--:--;   -999.000;     20.453; 100
1965-12-01;--:--;   -999.000;     49.045; 100
1966-01-01;--:--;   -999.000;     69.106; 100
1966-02-01;--:--;   -999.000;     64.211; 100
1966-03-01;--:--;   -999.000;     31.655; 100
1966-04-01;--:--;   -999.000;     25.363; 100
1966-05-01;--:--;   -999.000;     14.100; 100
1966-06-01;--:--;   -999.000;      5.906; 100
1966-07-01;--:--;   -999.000;      4.538; 100
1966-08-01;--:--;   -999.000;      5.604; 100
1966-09-01;--:--;   -999.000;      3.465; 100
1966-10-01;--:--;   -999.000;      4.917; 100
1966-11-01;--:--;   -999.000;     10.732; 100
1966-12-01;--:--;   -999.000;     40.845; 100
1967-01-01;--:--;   -999.000;     35.900; 100
1967-02-01;--:--;   -999.000;     26.686; 100
1967-03-01;--:--;   -999.000;     26.706; 100
1967-04-01;--:--;   -999.000;     12.328; 100
1967-05-01;--:--;   -999.000;     12.310; 100
1967-06-01;--:--;   -999.000;      5.965; 100
1967-07-01;--:--;   -999.000;      2.706; 100
1967-08-01;--:--;   -999.000;      2.522; 100
1967-09-01;--:--;   -999.000;      3.389; 100
1967-10-01;--:--;   -999.000;      5.119; 100
1967-11-01;--:--;   -999.000;     15.540; 100
1967-12-01;--:--;   -999.000;     24.245; 100
1968-01-01;--:--;   -999.000;     76.503; 100
1968-02-01;--:--;   -999.000;     45.845; 100
1968-03-01;--:--;   -999.000;     19.029; 100
1968-04-01;--:--;   -999.000;     12.482; 100
1968-05-01;--:--;   -999.000;     22.058; 100
1968-06-01;--:--;   -999.000;      7.518; 100
1968-07-01;--:--;   -999.000;      4.487; 100
1968-08-01;--:--;   -999.000;      4.292; 100
1968-09-01;--:--;   -999.000;      8.916; 100
1968-10-01;--:--;   -999.000;      9.497; 100
1968-11-01;--:--;   -999.000;     11.947; 100
1968-12-01;--:--;   -999.000;     26.115; 100
1969-01-01;--:--;   -999.000;     25.032; 100
1969-02-01;--:--;   -999.000;     22.836; 100
1969-03-01;--:--;   -999.000;     30.087; 100
1969-04-01;--:--;   -999.000;     13.410; 100
1969-05-01;--:--;   -999.000;     11.248; 100
1969-06-01;--:--;   -999.000;      8.767; 100
1969-07-01;--:--;   -999.000;      3.993; 100
1969-08-01;--:--;   -999.000;      3.500; 100
1969-09-01;--:--;   -999.000;      3.909; 100
1969-10-01;--:--;   -999.000;      3.497; 100
1969-11-01;--:--;   -999.000;      8.911; 100
1969-12-01;--:--;   -999.000;     15.615; 100
1970-01-01;--:--;   -999.000;     21.998; 100
1970-02-01;--:--;   -999.000;     67.332; 100
1970-03-01;--:--;   -999.000;     47.129; 100
1970-04-01;--:--;   -999.000;     32.887; 100
1970-05-01;--:--;   -999.000;     18.010; 100
1970-06-01;--:--;   -999.000;      9.792; 100
1970-07-01;--:--;   -999.000;      7.106; 100
1970-08-01;--:--;   -999.000;      4.150; 100
1970-09-01;--:--;   -999.000;      3.537; 100
1970-10-01;--:--;   -999.000;      3.525; 100
1970-11-01;--:--;   -999.000;      5.682; 100
1970-12-01;--:--;   -999.000;      6.413; 100
1971-01-01;--:--;   -999.000;      8.962; 100
1971-02-01;--:--;   -999.000;     12.711; 100
1971-03-01;--:--;   -999.000;      7.869; 100
1971-04-01;--:--;   -999.000;      5.698; 100
1971-05-01;--:--;   -999.000;     16.014; 100
1971-06-01;--:--;   -999.000;     10.092; 100
1971-07-01;--:--;   -999.000;      4.755; 100
1971-08-01;--:--;   -999.000;      4.364; 100
1971-09-01;--:--;   -999.000;      3.474; 100
1971-10-01;--:--;   -999.000;      3.264; 100
1971-11-01;--:--;   -999.000;      4.923; 100
1971-12-01;--:--;   -999.000;      6.254; 100
1972-01-01;--:--;   -999.000;     10.788; 100
1972-02-01;--:--;   -999.000;     20.938; 100
1972-03-01;--:--;   -999.000;     14.795; 100
1972-04-01;--:--;   -999.000;     10.297; 100
1972-05-01;--:--;   -999.000;      7.752; 100
1972-06-01;--:--;   -999.000;      8.398; 100
1972-07-01;--:--;   -999.000;      3.369; 100
1972-08-01;--:--;   -999.000;      3.166; 100
1972-09-01;--:--;   -999.000;      2.808; 100
1972-10-01;--:--;   -999.000;      3.151; 100
1972-11-01;--:--;   -999.000;      7.787; 100
1972-12-01;--:--;   -999.000;      7.085; 100
1973-01-01;--:--;   -999.000;      8.008; 100
1973-02-01;--:--;   -999.000;     23.521; 100
1973-03-01;--:--;   -999.000;     11.271; 100
1973-04-01;--:--;   -999.000;      7.315; 100
1973-05-01;--:--;   -999.000;      9.819; 100
1973-06-01;--:--;   -999.000;     10.101; 100
1973-07-01;--:--;   -999.000;      3.173; 100
1973-08-01;--:--;   -999.000;      1.864; 100
1973-09-01;--:--;   -999.000;      1.469; 100
1973-10-01;--:--;   -999.000;      2.765; 100
1973-11-01;--:--;   -999.000;      3.153; 100
1973-12-01;--:--;   -999.000;      7.020; 100
1974-01-01;--:--;   -999.000;     10.444; 100
1974-02-01;--:--;   -999.000;     17.361; 100
1974-03-01;--:--;   -999.000;     22.105; 100
1974-04-01;--:--;   -999.000;      8.515; 100
1974-05-01;--:--;   -999.000;      5.872; 100
1974-06-01;--:--;   -999.000;      4.153; 100
1974-07-01;--:--;   -999.000;      2.858; 100
1974-08-01;--:--;   -999.000;      1.696; 100
1974-09-01;--:--;   -999.000;      2.326; 100
1974-10-01;--:--;   -999.000;      7.972; 100
1974-11-01;--:--;   -999.000;     11.908; 100
1974-12-01;--:--;   -999.000;     20.597; 100
1975-01-01;--:--;   -999.000;     23.713; 100
1975-02-01;--:--;   -999.000;     19.946; 100
1975-03-01;--:--;   -999.000;     21.044; 100
1975-04-01;--:--;   -999.000;     35.070; 100
1975-05-01;--:--;   -999.000;     17.039; 100
1975-06-01;--:--;   -999.000;      6.308; 100
1975-07-01;--:--;   -999.000;      4.343; 100
1975-08-01;--:--;   -999.000;      2.784; 100
1975-09-01;--:--;   -999.000;      3.744; 100
1975-10-01;--:--;   -999.000;      7.844; 100
1975-11-01;--:--;   -999.000;     14.297; 100
1975-12-01;--:--;   -999.000;     22.273; 100
1976-01-01;--:--;   -999.000;     10.961; 100
1976-02-01;--:--;   -999.000;     30.286; 100
1976-03-01;--:--;   -999.000;     10.982; 100
1976-04-01;--:--;   -999.000;      7.430; 100
1976-05-01;--:--;   -999.000;      5.414; 100
1976-06-01;--:--;   -999.000;      2.568; 100
1976-07-01;--:--;   -999.000;      1.062; 100
1976-08-01;--:--;   -999.000;      0.900; 100
1976-09-01;--:--;   -999.000;      1.677; 100
1976-10-01;--:--;   -999.000;      2.558; 100
1976-11-01;--:--;   -999.000;      5.579; 100
1976-12-01;--:--;   -999.000;     24.155; 100
1977-01-01;--:--;   -999.000;     15.829; 100
1977-02-01;--:--;   -999.000;     93.107; 100
1977-03-01;--:--;   -999.000;     27.116; 100
1977-04-01;--:--;   -999.000;     16.247; 100
1977-05-01;--:--;   -999.000;     35.058; 100
1977-06-01;--:--;   -999.000;     26.693; 100
1977-07-01;--:--;   -999.000;     12.239; 100
1977-08-01;--:--;   -999.000;     11.803; 100
1977-09-01;--:--;   -999.000;      6.788; 100
1977-10-01;--:--;   -999.000;      9.558; 100
1977-11-01;--:--;   -999.000;     17.663; 100
1977-12-01;--:--;   -999.000;     24.403; 100
1978-01-01;--:--;   -999.000;     39.103; 100
1978-02-01;--:--;   -999.000;     62.396; 100
1978-03-01;--:--;   -999.000;     53.510; 100
1978-04-01;--:--;   -999.000;     47.507; 100
1978-05-01;--:--;   -999.000;     25.548; 100
1978-06-01;--:--;   -999.000;      8.288; 100
1978-07-01;--:--;   -999.000;      6.287; 100
1978-08-01;--:--;   -999.000;      5.800; 100
1978-09-01;--:--;   -999.000;      4.222; 100
1978-10-01;--:--;   -999.000;      4.589; 100
1978-11-01;--:--;   -999.000;      4.565; 100
1978-12-01;--:--;   -999.000;      6.829; 100
1979-01-01;--:--;   -999.000;     19.739; 100
1979-02-01;--:--;   -999.000;     57.789; 100
1979-03-01;--:--;   -999.000;     60.939; 100
1979-04-01;--:--;   -999.000;     46.257; 100
1979-05-01;--:--;   -999.000;     25.845; 100
1979-06-01;--:--;   -999.000;     20.807; 100
1979-07-01;--:--;   -999.000;      5.155; 100
1979-08-01;--:--;   -999.000;      4.697; 100
1979-09-01;--:--;   -999.000;      3.772; 100
1979-10-01;--:--;   -999.000;      7.692; 100
1979-11-01;--:--;   -999.000;     14.575; 100
1979-12-01;--:--;   -999.000;     34.271; 100
1980-01-01;--:--;   -999.000;     38.103; 100
1980-02-01;--:--;   -999.000;     49.607; 100
1980-03-01;--:--;   -999.000;     40.006; 100
1980-04-01;--:--;   -999.000;     19.097; 100
1980-05-01;--:--;   -999.000;      9.429; 100
1980-06-01;--:--;   -999.000;      6.957; 100
1980-07-01;--:--;   -999.000;     10.835; 100
1980-08-01;--:--;   -999.000;      5.538; 100
1980-09-01;--:--;   -999.000;      2.716; 100
1980-10-01;--:--;   -999.000;      4.080; 100
1980-11-01;--:--;   -999.000;      4.404; 100
1980-12-01;--:--;   -999.000;     10.207; 100
1981-01-01;--:--;   -999.000;     52.656; 100
1981-02-01;--:--;   -999.000;     22.714; 100
1981-03-01;--:--;   -999.000;     36.623; 100
1981-04-01;--:--;   -999.000;     17.653; 100
1981-05-01;--:--;   -999.000;     31.139; 100
1981-06-01;--:--;   -999.000;     24.347; 100
1981-07-01;--:--;   -999.000;     12.477; 100
1981-08-01;--:--;   -999.000;      9.267; 100
1981-09-01;--:--;   -999.000;      6.331; 100
1981-10-01;--:--;   -999.000;     18.946; 100
1981-11-01;--:--;   -999.000;     21.510; 100
1981-12-01;--:--;   -999.000;     50.310; 100
1982-01-01;--:--;   -999.000;     53.474; 100
1982-02-01;--:--;   -999.000;     21.768; 100
1982-03-01;--:--;   -999.000;     25.000; 100
1982-04-01;--:--;   -999.000;     20.100; 100
1982-05-01;--:--;   -999.000;      9.144; 100
1982-06-01;--:--;   -999.000;      6.408; 100
1982-07-01;--:--;   -999.000;      3.745; 100
1982-08-01;--:--;   -999.000;      2.951; 100
1982-09-01;--:--;   -999.000;      2.635; 100
1982-10-01;--:--;   -999.000;      8.928; 100
1982-11-01;--:--;   -999.000;     10.475; 100
1982-12-01;--:--;   -999.000;     45.848; 100
1983-01-01;--:--;   -999.000;     27.858; 100
1983-02-01;--:--;   -999.000;     34.554; 100
1983-03-01;--:--;   -999.000;     38.061; 100
1983-04-01;--:--;   -999.000;     89.517; 100
1983-05-01;--:--;   -999.000;     54.906; 100
1983-06-01;--:--;   -999.000;     10.460; 100
1983-07-01;--:--;   -999.000;      6.244; 100
1983-08-01;--:--;   -999.000;      4.645; 100
1983-09-01;--:--;   -999.000;      4.761; 100
1983-10-01;--:--;   -999.000;      4.005; 100
1983-11-01;--:--;   -999.000;      4.826; 100
1983-12-01;--:--;   -999.000;      6.743; 100
1984-01-01;--:--;   -999.000;     21.778; 100
1984-02-01;--:--;   -999.000;     29.607; 100
1984-03-01;--:--;   -999.000;      8.327; 100
1984-04-01;--:--;   -999.000;     11.015; 100
1984-05-01;--:--;   -999.000;     11.733; 100
1984-06-01;--:--;   -999.000;     21.966; 100
1984-07-01;--:--;   -999.000;      3.782; 100
1984-08-01;--:--;   -999.000;      3.321; 100
1984-09-01;--:--;   -999.000;      4.106; 100
1984-10-01;--:--;   -999.000;     14.408; 100
1984-11-01;--:--;   -999.000;     32.768; 100
1984-12-01;--:--;   -999.000;     32.958; 100
1985-01-01;--:--;   -999.000;     23.948; 100
1985-02-01;--:--;   -999.000;     40.114; 100
1985-03-01;--:--;   -999.000;     31.161; 100
1985-04-01;--:--;   -999.000;     34.760; 100
1985-05-01;--:--;   -999.000;     44.806; 100
1985-06-01;--:--;   -999.000;     12.153; 100
1985-07-01;--:--;   -999.000;      5.272; 100
1985-08-01;--:--;   -999.000;      4.487; 100
1985-09-01;--:--;   -999.000;      3.085; 100
1985-10-01;--:--;   -999.000;      2.730; 100
