# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123370
# River:                 CHER
# Station:               TEILLET-ARGENTY
# Country:               --
# Latitude (DD):       46.2426
# Longitude (DD):      2.535712
# Catchment area (km²):      
# Altitude (m ASL):        294.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1948 - 2009
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1948-01-01;--:--;   -999.000;     25.506; 100
1948-02-01;--:--;   -999.000;     13.631; 100
1948-03-01;--:--;   -999.000;      3.258; 100
1948-04-01;--:--;   -999.000;      4.457; 100
1948-05-01;--:--;   -999.000;      6.532; 100
1948-06-01;--:--;   -999.000;      2.550; 100
1948-07-01;--:--;   -999.000;      0.265; 100
1948-08-01;--:--;   -999.000;      2.171; 100
1948-09-01;--:--;   -999.000;      4.073; 100
1948-10-01;--:--;   -999.000;      0.803; 100
1948-11-01;--:--;   -999.000;      2.960; 100
1948-12-01;--:--;   -999.000;      2.765; 100
1949-01-01;--:--;   -999.000;      8.806; 100
1949-02-01;--:--;   -999.000;      4.168; 100
1949-03-01;--:--;   -999.000;     10.074; 100
1949-04-01;--:--;   -999.000;      2.083; 100
1949-05-01;--:--;   -999.000;      1.845; 100
1949-06-01;--:--;   -999.000;      1.773; 100
1949-07-01;--:--;   -999.000;      0.100; 100
1949-08-01;--:--;   -999.000;      0.103; 100
1949-09-01;--:--;   -999.000;      0.100; 100
1949-10-01;--:--;   -999.000;      0.113; 100
1949-11-01;--:--;   -999.000;      6.093; 100
1949-12-01;--:--;   -999.000;     13.326; 100
1950-01-01;--:--;   -999.000;      8.286; 100
1950-02-01;--:--;   -999.000;     25.379; 100
1950-03-01;--:--;   -999.000;      6.837; 100
1950-04-01;--:--;   -999.000;     11.663; 100
1950-05-01;--:--;   -999.000;      6.663; 100
1950-06-01;--:--;   -999.000;      3.702; 100
1950-07-01;--:--;   -999.000;      1.420; 100
1950-08-01;--:--;   -999.000;      0.283; 100
1950-09-01;--:--;   -999.000;      0.731; 100
1950-10-01;--:--;   -999.000;      0.609; 100
1950-11-01;--:--;   -999.000;     22.516; 100
1950-12-01;--:--;   -999.000;     25.203; 100
