# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123380
# River:                 TARDES
# Station:               EVAUX-LES-BAINS
# Country:               --
# Latitude (DD):       46.183498
# Longitude (DD):      2.444423
# Catchment area (km²):      
# Altitude (m ASL):        387.13
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1921 - 2008
# No. of years:          88
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 1048
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1921-01-01;--:--;   -999.000;      8.965; 100
1921-02-01;--:--;   -999.000;      7.089; 100
1921-03-01;--:--;   -999.000;      3.336; 100
1921-04-01;--:--;   -999.000;      2.257; 100
1921-05-01;--:--;   -999.000;      4.749; 100
1921-06-01;--:--;   -999.000;      3.749; 100
1921-07-01;--:--;   -999.000;      0.943; 100
1921-08-01;--:--;   -999.000;      0.573; 100
1921-09-01;--:--;   -999.000;      1.437; 100
1921-10-01;--:--;   -999.000;      0.367; 100
1921-11-01;--:--;   -999.000;      0.388; 100
1921-12-01;--:--;   -999.000;      0.968; 100
1922-01-01;--:--;   -999.000;      8.668; 100
1922-02-01;--:--;   -999.000;     17.263; 100
1922-03-01;--:--;   -999.000;      9.374; 100
1922-04-01;--:--;   -999.000;     48.647; 100
1922-05-01;--:--;   -999.000;     13.877; 100
1922-06-01;--:--;   -999.000;      3.209; 100
1922-07-01;--:--;   -999.000;      0.846; 100
1922-08-01;--:--;   -999.000;      0.690; 100
1922-09-01;--:--;   -999.000;      1.675; 100
1922-10-01;--:--;   -999.000;      5.367; 100
1922-11-01;--:--;   -999.000;     15.195; 100
1922-12-01;--:--;   -999.000;     12.193; 100
1923-01-01;--:--;   -999.000;     19.239; 100
1923-02-01;--:--;   -999.000;     17.448; 100
1923-03-01;--:--;   -999.000;     27.787; 100
1923-04-01;--:--;   -999.000;     13.536; 100
1923-05-01;--:--;   -999.000;      9.653; 100
1923-06-01;--:--;   -999.000;      1.954; 100
1923-07-01;--:--;   -999.000;      0.889; 100
1923-08-01;--:--;   -999.000;      0.164; 100
1923-09-01;--:--;   -999.000;      0.173; 100
1923-10-01;--:--;   -999.000;      0.678; 100
1923-11-01;--:--;   -999.000;     13.176; 100
1923-12-01;--:--;   -999.000;     29.658; 100
1924-01-01;--:--;   -999.000;     20.454; 100
1924-02-01;--:--;   -999.000;      7.784; 100
1924-03-01;--:--;   -999.000;      9.255; 100
1924-04-01;--:--;   -999.000;      6.832; 100
1924-05-01;--:--;   -999.000;      2.408; 100
1924-06-01;--:--;   -999.000;      0.927; 100
1924-07-01;--:--;   -999.000;      0.516; 100
1924-08-01;--:--;   -999.000;      0.791; 100
1924-09-01;--:--;   -999.000;      0.332; 100
1924-10-01;--:--;   -999.000;      0.364; 100
1924-11-01;--:--;   -999.000;      2.724; 100
1924-12-01;--:--;   -999.000;      2.907; 100
1925-01-01;--:--;   -999.000;      1.426; 100
1925-02-01;--:--;   -999.000;      9.399; 100
1925-03-01;--:--;   -999.000;      6.426; 100
1925-04-01;--:--;   -999.000;     20.385; 100
1925-05-01;--:--;   -999.000;     15.171; 100
1925-06-01;--:--;   -999.000;      4.908; 100
1925-07-01;--:--;   -999.000;      2.482; 100
1925-08-01;--:--;   -999.000;      1.487; 100
1925-09-01;--:--;   -999.000;      2.733; 100
1925-10-01;--:--;   -999.000;      2.208; 100
1925-11-01;--:--;   -999.000;      8.350; 100
1925-12-01;--:--;   -999.000;     17.292; 100
1926-01-01;--:--;   -999.000;     16.448; 100
1926-02-01;--:--;   -999.000;     24.079; 100
1926-03-01;--:--;   -999.000;     13.534; 100
1926-04-01;--:--;   -999.000;     19.315; 100
1926-05-01;--:--;   -999.000;     37.265; 100
1926-06-01;--:--;   -999.000;     17.967; 100
1926-07-01;--:--;   -999.000;      4.023; 100
1926-08-01;--:--;   -999.000;      0.432; 100
1926-09-01;--:--;   -999.000;      0.216; 100
1926-10-01;--:--;   -999.000;      0.405; 100
1926-11-01;--:--;   -999.000;      6.274; 100
1926-12-01;--:--;   -999.000;      6.862; 100
1927-01-01;--:--;   -999.000;     12.664; 100
1927-02-01;--:--;   -999.000;     13.207; 100
1927-03-01;--:--;   -999.000;     31.348; 100
1927-04-01;--:--;   -999.000;      9.895; 100
1927-05-01;--:--;   -999.000;      3.286; 100
1927-06-01;--:--;   -999.000;      0.701; 100
1927-07-01;--:--;   -999.000;     12.951; 100
1927-08-01;--:--;   -999.000;     10.348; 100
1927-09-01;--:--;   -999.000;      4.712; 100
1927-10-01;--:--;   -999.000;      3.406; 100
1927-11-01;--:--;   -999.000;     14.358; 100
1927-12-01;--:--;   -999.000;     12.123; 100
1928-01-01;--:--;   -999.000;     13.000; 100
1928-02-01;--:--;   -999.000;     24.283; 100
1928-03-01;--:--;   -999.000;     16.604; 100
1928-04-01;--:--;   -999.000;     36.213; 100
1928-05-01;--:--;   -999.000;     19.236; 100
1928-06-01;--:--;   -999.000;      7.754; 100
1928-07-01;--:--;   -999.000;      0.459; 100
1928-08-01;--:--;   -999.000;      0.723; 100
1928-09-01;--:--;   -999.000;      0.512; 100
1928-10-01;--:--;   -999.000;      2.731; 100
1928-11-01;--:--;   -999.000;     19.435; 100
1928-12-01;--:--;   -999.000;     14.755; 100
1929-01-01;--:--;   -999.000;     12.755; 100
1929-02-01;--:--;   -999.000;     28.946; 100
1929-03-01;--:--;   -999.000;      8.025; 100
1929-04-01;--:--;   -999.000;      6.244; 100
1929-05-01;--:--;   -999.000;     21.229; 100
1929-06-01;--:--;   -999.000;     19.901; 100
1929-07-01;--:--;   -999.000;      6.696; 100
1929-08-01;--:--;   -999.000;      4.259; 100
1929-09-01;--:--;   -999.000;      0.778; 100
1929-10-01;--:--;   -999.000;      2.406; 100
1929-11-01;--:--;   -999.000;     15.240; 100
1929-12-01;--:--;   -999.000;     21.703; 100
1930-01-01;--:--;   -999.000;     30.561; 100
1930-02-01;--:--;   -999.000;      9.221; 100
1930-03-01;--:--;   -999.000;     46.803; 100
1930-04-01;--:--;   -999.000;     13.817; 100
1930-05-01;--:--;   -999.000;     14.555; 100
1930-06-01;--:--;   -999.000;     29.383; 100
1930-07-01;--:--;   -999.000;     17.013; 100
1930-08-01;--:--;   -999.000;      3.314; 100
1930-09-01;--:--;   -999.000;      1.545; 100
1930-10-01;--:--;   -999.000;     30.281; 100
1930-11-01;--:--;   -999.000;     36.443; 100
1930-12-01;--:--;   -999.000;     17.255; 100
1931-01-01;--:--;   -999.000;   -999.000;   0
1931-02-01;--:--;   -999.000;   -999.000;   0
1931-03-01;--:--;   -999.000;   -999.000;   0
1931-04-01;--:--;   -999.000;   -999.000;   0
1931-05-01;--:--;   -999.000;   -999.000;   0
1931-06-01;--:--;   -999.000;   -999.000;   0
1931-07-01;--:--;   -999.000;   -999.000;   0
1931-08-01;--:--;   -999.000;   -999.000;   0
1931-09-01;--:--;   -999.000;   -999.000;   0
1931-10-01;--:--;   -999.000;   -999.000;   0
1931-11-01;--:--;   -999.000;   -999.000;   0
1931-12-01;--:--;   -999.000;   -999.000;   0
1932-01-01;--:--;   -999.000;     15.003; 100
1932-02-01;--:--;   -999.000;      4.252; 100
1932-03-01;--:--;   -999.000;     14.319; 100
1932-04-01;--:--;   -999.000;     72.550; 100
1932-05-01;--:--;   -999.000;     20.342; 100
1932-06-01;--:--;   -999.000;     25.945; 100
1932-07-01;--:--;   -999.000;      6.804; 100
1932-08-01;--:--;   -999.000;      9.104; 100
1932-09-01;--:--;   -999.000;     10.864; 100
1932-10-01;--:--;   -999.000;     17.161; 100
1932-11-01;--:--;   -999.000;      9.970; 100
1932-12-01;--:--;   -999.000;      8.264; 100
1933-01-01;--:--;   -999.000;      5.031; 100
1933-02-01;--:--;   -999.000;     10.172; 100
1933-03-01;--:--;   -999.000;     12.354; 100
1933-04-01;--:--;   -999.000;      6.625; 100
1933-05-01;--:--;   -999.000;      4.771; 100
1933-06-01;--:--;   -999.000;      7.753; 100
1933-07-01;--:--;   -999.000;      5.394; 100
1933-08-01;--:--;   -999.000;      1.444; 100
1933-09-01;--:--;   -999.000;      0.860; 100
1933-10-01;--:--;   -999.000;     12.337; 100
1933-11-01;--:--;   -999.000;     19.230; 100
1933-12-01;--:--;   -999.000;     16.210; 100
1934-01-01;--:--;   -999.000;     15.532; 100
1934-02-01;--:--;   -999.000;     13.739; 100
1934-03-01;--:--;   -999.000;     32.655; 100
1934-04-01;--:--;   -999.000;     28.137; 100
1934-05-01;--:--;   -999.000;     16.184; 100
1934-06-01;--:--;   -999.000;      6.479; 100
1934-07-01;--:--;   -999.000;      0.724; 100
1934-08-01;--:--;   -999.000;      1.006; 100
1934-09-01;--:--;   -999.000;      3.732; 100
1934-10-01;--:--;   -999.000;      5.216;  97
1934-11-01;--:--;   -999.000;     10.115; 100
1934-12-01;--:--;   -999.000;     23.390; 100
1935-01-01;--:--;   -999.000;     25.858; 100
1935-02-01;--:--;   -999.000;     23.436; 100
1935-03-01;--:--;   -999.000;     16.285; 100
1935-04-01;--:--;   -999.000;     26.057; 100
1935-05-01;--:--;   -999.000;     16.823; 100
1935-06-01;--:--;   -999.000;     13.079; 100
1935-07-01;--:--;   -999.000;      0.794; 100
1935-08-01;--:--;   -999.000;      2.420; 100
1935-09-01;--:--;   -999.000;      5.295; 100
1935-10-01;--:--;   -999.000;      5.996; 100
1935-11-01;--:--;   -999.000;      8.647; 100
1935-12-01;--:--;   -999.000;     41.016; 100
1936-01-01;--:--;   -999.000;     28.210; 100
1936-02-01;--:--;   -999.000;     25.914; 100
1936-03-01;--:--;   -999.000;      8.409; 100
1936-04-01;--:--;   -999.000;      8.585; 100
1936-05-01;--:--;   -999.000;     11.570; 100
1936-06-01;--:--;   -999.000;     10.835; 100
1936-07-01;--:--;   -999.000;     15.331; 100
1936-08-01;--:--;   -999.000;     12.108; 100
1936-09-01;--:--;   -999.000;      1.653; 100
1936-10-01;--:--;   -999.000;      1.299; 100
1936-11-01;--:--;   -999.000;      6.103; 100
1936-12-01;--:--;   -999.000;      4.831; 100
1937-01-01;--:--;   -999.000;      6.207; 100
1937-02-01;--:--;   -999.000;     27.901; 100
1937-03-01;--:--;   -999.000;     30.726; 100
1937-04-01;--:--;   -999.000;     15.464; 100
1937-05-01;--:--;   -999.000;     12.528; 100
1937-06-01;--:--;   -999.000;      9.062; 100
1937-07-01;--:--;   -999.000;      0.478; 100
1937-08-01;--:--;   -999.000;      0.554; 100
1937-09-01;--:--;   -999.000;      0.587; 100
1937-10-01;--:--;   -999.000;      1.910; 100
1937-11-01;--:--;   -999.000;      6.385; 100
1937-12-01;--:--;   -999.000;     17.677; 100
1938-01-01;--:--;   -999.000;     15.935; 100
1938-02-01;--:--;   -999.000;     14.332; 100
1938-03-01;--:--;   -999.000;      3.560; 100
1938-04-01;--:--;   -999.000;      0.813; 100
1938-05-01;--:--;   -999.000;      1.912; 100
1938-06-01;--:--;   -999.000;      1.735; 100
1938-07-01;--:--;   -999.000;      3.329; 100
1938-08-01;--:--;   -999.000;      1.610; 100
1938-09-01;--:--;   -999.000;      1.961; 100
1938-10-01;--:--;   -999.000;      5.894; 100
