# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123400
# River:                 VIENNE
# Station:               NOUATRE
# Country:               --
# Latitude (DD):       47.048799
# Longitude (DD):      0.544384
# Catchment area (km²):      
# Altitude (m ASL):        93.66
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958 - 2012
# No. of years:          55
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 654
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1958-01-01;--:--;   -999.000;    302.194; 100
1958-02-01;--:--;   -999.000;    276.964; 100
1958-03-01;--:--;   -999.000;    354.355; 100
1958-04-01;--:--;   -999.000;    295.667; 100
1958-05-01;--:--;   -999.000;    244.226; 100
1958-06-01;--:--;   -999.000;    177.633; 100
1958-07-01;--:--;   -999.000;    367.419; 100
1958-08-01;--:--;   -999.000;    110.000; 100
1958-09-01;--:--;   -999.000;     97.700; 100
1958-10-01;--:--;   -999.000;    104.516; 100
1958-11-01;--:--;   -999.000;    306.133; 100
1958-12-01;--:--;   -999.000;    618.194; 100
1959-01-01;--:--;   -999.000;    575.484; 100
1959-02-01;--:--;   -999.000;    210.000; 100
1959-03-01;--:--;   -999.000;    133.387; 100
1959-04-01;--:--;   -999.000;    172.267; 100
1959-05-01;--:--;   -999.000;    301.129; 100
1959-06-01;--:--;   -999.000;     79.233; 100
1959-07-01;--:--;   -999.000;     53.032; 100
1959-08-01;--:--;   -999.000;     33.806; 100
1959-09-01;--:--;   -999.000;     35.367; 100
1959-10-01;--:--;   -999.000;     36.935; 100
1959-11-01;--:--;   -999.000;     51.900; 100
1959-12-01;--:--;   -999.000;    274.065; 100
1960-01-01;--:--;   -999.000;    384.839; 100
1960-02-01;--:--;   -999.000;    285.345; 100
1960-03-01;--:--;   -999.000;    267.097; 100
1960-04-01;--:--;   -999.000;    110.867; 100
1960-05-01;--:--;   -999.000;     86.903; 100
1960-06-01;--:--;   -999.000;     63.833; 100
1960-07-01;--:--;   -999.000;     54.452; 100
1960-08-01;--:--;   -999.000;     69.871; 100
1960-09-01;--:--;   -999.000;     89.100; 100
1960-10-01;--:--;   -999.000;    432.419; 100
1960-11-01;--:--;   -999.000;    427.667; 100
1960-12-01;--:--;   -999.000;    461.935; 100
1961-01-01;--:--;   -999.000;    720.000; 100
1961-02-01;--:--;   -999.000;    392.679; 100
1961-03-01;--:--;   -999.000;    137.484; 100
1961-04-01;--:--;   -999.000;    110.833; 100
1961-05-01;--:--;   -999.000;    109.839; 100
1961-06-01;--:--;   -999.000;     90.967; 100
1961-07-01;--:--;   -999.000;     54.871; 100
1961-08-01;--:--;   -999.000;     43.806; 100
1961-09-01;--:--;   -999.000;     33.600; 100
1961-10-01;--:--;   -999.000;     51.645; 100
1961-11-01;--:--;   -999.000;    124.900; 100
1961-12-01;--:--;   -999.000;    363.387; 100
1962-01-01;--:--;   -999.000;    544.516; 100
1962-02-01;--:--;   -999.000;    275.714; 100
1962-03-01;--:--;   -999.000;    327.097; 100
1962-04-01;--:--;   -999.000;    532.333; 100
1962-05-01;--:--;   -999.000;    230.000; 100
1962-06-01;--:--;   -999.000;     95.900; 100
1962-07-01;--:--;   -999.000;     47.581; 100
1962-08-01;--:--;   -999.000;     38.516; 100
1962-09-01;--:--;   -999.000;     34.533; 100
1962-10-01;--:--;   -999.000;     32.000; 100
1962-11-01;--:--;   -999.000;    114.500; 100
1962-12-01;--:--;   -999.000;    209.516; 100
1963-01-01;--:--;   -999.000;    186.903; 100
1963-02-01;--:--;   -999.000;    271.036; 100
1963-03-01;--:--;   -999.000;    384.806; 100
1963-04-01;--:--;   -999.000;    322.267; 100
1963-05-01;--:--;   -999.000;    138.790; 100
1963-06-01;--:--;   -999.000;    183.900; 100
1963-07-01;--:--;   -999.000;     92.242; 100
1963-08-01;--:--;   -999.000;    173.484; 100
1963-09-01;--:--;   -999.000;    107.150; 100
1963-10-01;--:--;   -999.000;     88.661; 100
1963-11-01;--:--;   -999.000;    192.633; 100
1963-12-01;--:--;   -999.000;    183.129; 100
1964-01-01;--:--;   -999.000;    102.161; 100
1964-02-01;--:--;   -999.000;    185.000; 100
1964-03-01;--:--;   -999.000;    302.677; 100
1964-04-01;--:--;   -999.000;    369.667; 100
1964-05-01;--:--;   -999.000;    178.452; 100
1964-06-01;--:--;   -999.000;    105.817; 100
1964-07-01;--:--;   -999.000;     40.226; 100
1964-08-01;--:--;   -999.000;     33.548; 100
1964-09-01;--:--;   -999.000;     32.200; 100
1964-10-01;--:--;   -999.000;     52.323; 100
1964-11-01;--:--;   -999.000;     54.750; 100
1964-12-01;--:--;   -999.000;     71.694; 100
1965-01-01;--:--;   -999.000;    244.806; 100
1965-02-01;--:--;   -999.000;    133.482; 100
1965-03-01;--:--;   -999.000;    213.500; 100
1965-04-01;--:--;   -999.000;    174.567; 100
1965-05-01;--:--;   -999.000;    168.984; 100
1965-06-01;--:--;   -999.000;    105.217; 100
1965-07-01;--:--;   -999.000;     41.065; 100
1965-08-01;--:--;   -999.000;     39.903; 100
1965-09-01;--:--;   -999.000;    316.600; 100
1965-10-01;--:--;   -999.000;    192.403; 100
1965-11-01;--:--;   -999.000;    294.350; 100
1965-12-01;--:--;   -999.000;    724.871; 100
1966-01-01;--:--;   -999.000;    707.839; 100
1966-02-01;--:--;   -999.000;    627.750; 100
1966-03-01;--:--;   -999.000;    392.419; 100
1966-04-01;--:--;   -999.000;    311.400; 100
1966-05-01;--:--;   -999.000;    239.548; 100
1966-06-01;--:--;   -999.000;    120.567; 100
1966-07-01;--:--;   -999.000;     78.952; 100
1966-08-01;--:--;   -999.000;     69.242; 100
1966-09-01;--:--;   -999.000;     50.183; 100
1966-10-01;--:--;   -999.000;    112.129; 100
1966-11-01;--:--;   -999.000;    167.867; 100
1966-12-01;--:--;   -999.000;    506.161; 100
1967-01-01;--:--;   -999.000;    336.258; 100
1967-02-01;--:--;   -999.000;    308.321; 100
1967-03-01;--:--;   -999.000;    287.323; 100
1967-04-01;--:--;   -999.000;    140.453; 100
1967-05-01;--:--;   -999.000;    143.984; 100
1967-06-01;--:--;   -999.000;     85.063; 100
1967-07-01;--:--;   -999.000;     38.658; 100
1967-08-01;--:--;   -999.000;     49.290; 100
1967-09-01;--:--;   -999.000;     32.513; 100
1967-10-01;--:--;   -999.000;     38.684; 100
1967-11-01;--:--;   -999.000;     98.653; 100
1967-12-01;--:--;   -999.000;    164.265; 100
1968-01-01;--:--;   -999.000;    492.290; 100
1968-02-01;--:--;   -999.000;    331.276; 100
1968-03-01;--:--;   -999.000;    159.903; 100
1968-04-01;--:--;   -999.000;    214.967; 100
1968-05-01;--:--;   -999.000;    199.490; 100
1968-06-01;--:--;   -999.000;     83.823; 100
1968-07-01;--:--;   -999.000;     62.913; 100
1968-08-01;--:--;   -999.000;     88.606; 100
1968-09-01;--:--;   -999.000;    176.270; 100
1968-10-01;--:--;   -999.000;    171.161; 100
1968-11-01;--:--;   -999.000;    131.110; 100
1968-12-01;--:--;   -999.000;    361.219; 100
1969-01-01;--:--;   -999.000;    342.097; 100
1969-02-01;--:--;   -999.000;    270.036; 100
1969-03-01;--:--;   -999.000;    295.161; 100
1969-04-01;--:--;   -999.000;    205.300; 100
1969-05-01;--:--;   -999.000;    214.161; 100
1969-06-01;--:--;   -999.000;    198.100; 100
1969-07-01;--:--;   -999.000;     66.158; 100
1969-08-01;--:--;   -999.000;     40.726; 100
1969-09-01;--:--;   -999.000;    101.370; 100
1969-10-01;--:--;   -999.000;     63.377; 100
1969-11-01;--:--;   -999.000;    198.370; 100
1969-12-01;--:--;   -999.000;    342.419; 100
1970-01-01;--:--;   -999.000;    319.871; 100
1970-02-01;--:--;   -999.000;    805.250; 100
1970-03-01;--:--;   -999.000;    426.710; 100
1970-04-01;--:--;   -999.000;    357.433; 100
1970-05-01;--:--;   -999.000;    177.061; 100
1970-06-01;--:--;   -999.000;    109.870; 100
1970-07-01;--:--;   -999.000;     62.145; 100
1970-08-01;--:--;   -999.000;     45.735; 100
1970-09-01;--:--;   -999.000;     40.517; 100
1970-10-01;--:--;   -999.000;     44.129; 100
1970-11-01;--:--;   -999.000;     64.337; 100
1970-12-01;--:--;   -999.000;     73.287; 100
1971-01-01;--:--;   -999.000;    168.790; 100
1971-02-01;--:--;   -999.000;    268.786; 100
1971-03-01;--:--;   -999.000;    169.803; 100
1971-04-01;--:--;   -999.000;    109.900; 100
1971-05-01;--:--;   -999.000;    266.068; 100
1971-06-01;--:--;   -999.000;    203.800; 100
1971-07-01;--:--;   -999.000;     69.571; 100
1971-08-01;--:--;   -999.000;     71.400; 100
1971-09-01;--:--;   -999.000;     75.957; 100
1971-10-01;--:--;   -999.000;     44.061; 100
1971-11-01;--:--;   -999.000;     66.733; 100
1971-12-01;--:--;   -999.000;     86.206; 100
1972-01-01;--:--;   -999.000;    104.306; 100
1972-02-01;--:--;   -999.000;    277.655; 100
1972-03-01;--:--;   -999.000;    187.945; 100
1972-04-01;--:--;   -999.000;    135.273; 100
1972-05-01;--:--;   -999.000;     83.819; 100
1972-06-01;--:--;   -999.000;     59.927; 100
1972-07-01;--:--;   -999.000;     36.732; 100
1972-08-01;--:--;   -999.000;     41.206; 100
1972-09-01;--:--;   -999.000;     41.720; 100
1972-10-01;--:--;   -999.000;     30.045; 100
1972-11-01;--:--;   -999.000;    112.303; 100
1972-12-01;--:--;   -999.000;    135.845; 100
1973-01-01;--:--;   -999.000;    146.619; 100
1973-02-01;--:--;   -999.000;    264.786; 100
1973-03-01;--:--;   -999.000;    155.697; 100
1973-04-01;--:--;   -999.000;     84.847; 100
1973-05-01;--:--;   -999.000;     98.219; 100
1973-06-01;--:--;   -999.000;    104.323; 100
1973-07-01;--:--;   -999.000;     67.261; 100
1973-08-01;--:--;   -999.000;     57.923; 100
1973-09-01;--:--;   -999.000;     48.810; 100
1973-10-01;--:--;   -999.000;     78.026; 100
1973-11-01;--:--;   -999.000;     70.973; 100
1973-12-01;--:--;   -999.000;    243.161; 100
1974-01-01;--:--;   -999.000;    224.161; 100
1974-02-01;--:--;   -999.000;    341.786; 100
1974-03-01;--:--;   -999.000;    384.548; 100
1974-04-01;--:--;   -999.000;    189.367; 100
1974-05-01;--:--;   -999.000;    104.258; 100
1974-06-01;--:--;   -999.000;     60.227; 100
1974-07-01;--:--;   -999.000;     49.487; 100
1974-08-01;--:--;   -999.000;     32.084; 100
