# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123401
# River:                 VIENNE
# Station:               PEYREVELADE (SERVIERES)
# Country:               --
# Latitude (DD):       45.701228
# Longitude (DD):      2.006849
# Catchment area (km²):      
# Altitude (m ASL):        672.56
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1957 - 2012
# No. of years:          56
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 666
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1957-01-01;--:--;   -999.000;      1.217; 100
1957-02-01;--:--;   -999.000;      4.543; 100
1957-03-01;--:--;   -999.000;      1.893; 100
1957-04-01;--:--;   -999.000;      0.679; 100
1957-05-01;--:--;   -999.000;      0.533; 100
1957-06-01;--:--;   -999.000;      1.372; 100
1957-07-01;--:--;   -999.000;      1.142; 100
1957-08-01;--:--;   -999.000;      0.352; 100
1957-09-01;--:--;   -999.000;      0.509; 100
1957-10-01;--:--;   -999.000;      0.319; 100
1957-11-01;--:--;   -999.000;      0.638; 100
1957-12-01;--:--;   -999.000;      1.048; 100
1958-01-01;--:--;   -999.000;      3.188; 100
1958-02-01;--:--;   -999.000;      2.632; 100
1958-03-01;--:--;   -999.000;      3.218; 100
1958-04-01;--:--;   -999.000;      2.530; 100
1958-05-01;--:--;   -999.000;      3.001; 100
1958-06-01;--:--;   -999.000;      2.002; 100
1958-07-01;--:--;   -999.000;      2.150; 100
1958-08-01;--:--;   -999.000;      1.162; 100
1958-09-01;--:--;   -999.000;      0.667; 100
1958-10-01;--:--;   -999.000;      1.043; 100
1958-11-01;--:--;   -999.000;      1.985; 100
1958-12-01;--:--;   -999.000;      3.337; 100
1959-01-01;--:--;   -999.000;      3.655; 100
1959-02-01;--:--;   -999.000;      1.285; 100
1959-03-01;--:--;   -999.000;      1.079; 100
1959-04-01;--:--;   -999.000;      2.320; 100
1959-05-01;--:--;   -999.000;      2.219; 100
1959-06-01;--:--;   -999.000;      1.016; 100
1959-07-01;--:--;   -999.000;      0.391; 100
1959-08-01;--:--;   -999.000;      0.375; 100
1959-09-01;--:--;   -999.000;      0.609; 100
1959-10-01;--:--;   -999.000;      0.738; 100
1959-11-01;--:--;   -999.000;      1.230; 100
1959-12-01;--:--;   -999.000;      4.239; 100
1960-01-01;--:--;   -999.000;      3.144; 100
1960-02-01;--:--;   -999.000;      2.321; 100
1960-03-01;--:--;   -999.000;      2.466; 100
1960-04-01;--:--;   -999.000;      0.960; 100
1960-05-01;--:--;   -999.000;      0.638; 100
1960-06-01;--:--;   -999.000;      0.682; 100
1960-07-01;--:--;   -999.000;      0.511; 100
1960-08-01;--:--;   -999.000;      1.681; 100
1960-09-01;--:--;   -999.000;      1.820; 100
1960-10-01;--:--;   -999.000;      7.213; 100
1960-11-01;--:--;   -999.000;      3.370; 100
1960-12-01;--:--;   -999.000;      2.476; 100
1961-01-01;--:--;   -999.000;      3.858; 100
1961-02-01;--:--;   -999.000;      4.000; 100
1961-03-01;--:--;   -999.000;      0.725; 100
1961-04-01;--:--;   -999.000;      0.842; 100
1961-05-01;--:--;   -999.000;      0.917; 100
1961-06-01;--:--;   -999.000;      0.783; 100
1961-07-01;--:--;   -999.000;      0.632; 100
1961-08-01;--:--;   -999.000;      0.392; 100
1961-09-01;--:--;   -999.000;      0.286; 100
1961-10-01;--:--;   -999.000;      0.753; 100
1961-11-01;--:--;   -999.000;      1.631; 100
1961-12-01;--:--;   -999.000;      3.140; 100
1962-01-01;--:--;   -999.000;      4.339; 100
1962-02-01;--:--;   -999.000;      1.961; 100
1962-03-01;--:--;   -999.000;      2.004; 100
1962-04-01;--:--;   -999.000;      3.263; 100
1962-05-01;--:--;   -999.000;      2.605; 100
1962-06-01;--:--;   -999.000;      1.021; 100
1962-07-01;--:--;   -999.000;      0.592; 100
1962-08-01;--:--;   -999.000;      0.253; 100
1962-09-01;--:--;   -999.000;      0.230; 100
1962-10-01;--:--;   -999.000;      0.221; 100
1962-11-01;--:--;   -999.000;      0.999; 100
1962-12-01;--:--;   -999.000;      3.327; 100
1963-01-01;--:--;   -999.000;      1.817; 100
1963-02-01;--:--;   -999.000;      1.389; 100
1963-03-01;--:--;   -999.000;      3.970; 100
1963-04-01;--:--;   -999.000;      3.262; 100
1963-05-01;--:--;   -999.000;      1.372; 100
1963-06-01;--:--;   -999.000;      1.834; 100
1963-07-01;--:--;   -999.000;      0.693; 100
1963-08-01;--:--;   -999.000;      1.007; 100
1963-09-01;--:--;   -999.000;      0.898; 100
1963-10-01;--:--;   -999.000;      0.908; 100
1963-11-01;--:--;   -999.000;      2.137; 100
1963-12-01;--:--;   -999.000;      1.663; 100
1964-01-01;--:--;   -999.000;      0.718; 100
1964-02-01;--:--;   -999.000;      0.795; 100
