# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123410
# River:                 AUXANCE
# Station:               QUINCAY (ROCHECOURBE)
# Country:               --
# Latitude (DD):       46.622533
# Longitude (DD):      0.256926
# Catchment area (km²):      
# Altitude (m ASL):        83.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2008
# No. of years:          41
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 492
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;   -999.000;      1.730; 100
1968-02-01;--:--;   -999.000;      2.347;  93
1968-03-01;--:--;   -999.000;   -999.000;  55
1968-04-01;--:--;   -999.000;      1.657; 100
1968-05-01;--:--;   -999.000;      2.220; 100
1968-06-01;--:--;   -999.000;      1.164; 100
1968-07-01;--:--;   -999.000;      0.800; 100
1968-08-01;--:--;   -999.000;      0.775; 100
1968-09-01;--:--;   -999.000;      0.793; 100
1968-10-01;--:--;   -999.000;      1.401; 100
1968-11-01;--:--;   -999.000;      0.908; 100
1968-12-01;--:--;   -999.000;      1.705; 100
1969-01-01;--:--;   -999.000;      3.043; 100
1969-02-01;--:--;   -999.000;      1.993; 100
1969-03-01;--:--;   -999.000;      2.961; 100
1969-04-01;--:--;   -999.000;      1.645; 100
1969-05-01;--:--;   -999.000;      1.329; 100
1969-06-01;--:--;   -999.000;      1.555; 100
1969-07-01;--:--;   -999.000;      0.735; 100
1969-08-01;--:--;   -999.000;      0.635; 100
1969-09-01;--:--;   -999.000;      0.768; 100
1969-10-01;--:--;   -999.000;      0.609; 100
1969-11-01;--:--;   -999.000;      2.361; 100
1969-12-01;--:--;   -999.000;      2.324; 100
1970-01-01;--:--;   -999.000;      2.777; 100
1970-02-01;--:--;   -999.000;      4.897; 100
1970-03-01;--:--;   -999.000;      2.967; 100
1970-04-01;--:--;   -999.000;      1.993; 100
1970-05-01;--:--;   -999.000;      1.274; 100
1970-06-01;--:--;   -999.000;      1.038; 100
1970-07-01;--:--;   -999.000;      0.701; 100
1970-08-01;--:--;   -999.000;      0.646; 100
1970-09-01;--:--;   -999.000;      0.592; 100
