# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123430
# River:                 BRIANCE
# Station:               CONDAT-SUR-VIENNE (CHAMBON VEYRINAS)
# Country:               --
# Latitude (DD):       45.755844
# Longitude (DD):      1.239604
# Catchment area (km²):      
# Altitude (m ASL):        269.34
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 2012
# No. of years:          47
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 558
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-01-01;--:--;   -999.000;     24.319; 100
1966-02-01;--:--;   -999.000;     20.936; 100
1966-03-01;--:--;   -999.000;     12.147; 100
1966-04-01;--:--;   -999.000;     13.753; 100
1966-05-01;--:--;   -999.000;     12.760; 100
1966-06-01;--:--;   -999.000;      4.637; 100
1966-07-01;--:--;   -999.000;      3.311; 100
1966-08-01;--:--;   -999.000;      2.384; 100
1966-09-01;--:--;   -999.000;      1.615; 100
1966-10-01;--:--;   -999.000;      8.121; 100
1966-11-01;--:--;   -999.000;      8.843; 100
1966-12-01;--:--;   -999.000;     26.761; 100
1967-01-01;--:--;   -999.000;     12.403; 100
1967-02-01;--:--;   -999.000;     17.023; 100
1967-03-01;--:--;   -999.000;     10.531; 100
1967-04-01;--:--;   -999.000;      5.917; 100
1967-05-01;--:--;   -999.000;      6.410; 100
1967-06-01;--:--;   -999.000;      6.200; 100
1967-07-01;--:--;   -999.000;      1.620; 100
1967-08-01;--:--;   -999.000;      1.092; 100
1967-09-01;--:--;   -999.000;      1.243; 100
1967-10-01;--:--;   -999.000;      1.846; 100
1967-11-01;--:--;   -999.000;      5.421; 100
1967-12-01;--:--;   -999.000;      8.687; 100
1968-01-01;--:--;   -999.000;     21.435; 100
1968-02-01;--:--;   -999.000;     12.490; 100
1968-03-01;--:--;   -999.000;      6.458; 100
1968-04-01;--:--;   -999.000;      8.629; 100
1968-05-01;--:--;   -999.000;      6.932; 100
1968-06-01;--:--;   -999.000;      3.327; 100
1968-07-01;--:--;   -999.000;      2.660; 100
1968-08-01;--:--;   -999.000;      3.625; 100
1968-09-01;--:--;   -999.000;      9.150; 100
1968-10-01;--:--;   -999.000;      7.889; 100
1968-11-01;--:--;   -999.000;      5.781; 100
1968-12-01;--:--;   -999.000;     16.126; 100
1969-01-01;--:--;   -999.000;     15.794; 100
1969-02-01;--:--;   -999.000;     11.905; 100
1969-03-01;--:--;   -999.000;     15.016; 100
1969-04-01;--:--;   -999.000;     14.348; 100
1969-05-01;--:--;   -999.000;     12.982; 100
1969-06-01;--:--;   -999.000;     11.893; 100
1969-07-01;--:--;   -999.000;      3.323; 100
1969-08-01;--:--;   -999.000;      2.595; 100
1969-09-01;--:--;   -999.000;      6.749; 100
1969-10-01;--:--;   -999.000;      2.029; 100
1969-11-01;--:--;   -999.000;     11.195; 100
1969-12-01;--:--;   -999.000;     15.110; 100
1970-01-01;--:--;   -999.000;     17.660; 100
1970-02-01;--:--;   -999.000;     37.261; 100
1970-03-01;--:--;   -999.000;     14.787; 100
1970-04-01;--:--;   -999.000;     13.652; 100
1970-05-01;--:--;   -999.000;      7.566; 100
1970-06-01;--:--;   -999.000;      4.646; 100
1970-07-01;--:--;   -999.000;      2.941; 100
1970-08-01;--:--;   -999.000;      2.252; 100
1970-09-01;--:--;   -999.000;      1.732; 100
1970-10-01;--:--;   -999.000;      1.924; 100
1970-11-01;--:--;   -999.000;      2.655; 100
1970-12-01;--:--;   -999.000;      2.834; 100
1971-01-01;--:--;   -999.000;      9.419; 100
1971-02-01;--:--;   -999.000;     10.218; 100
1971-03-01;--:--;   -999.000;      7.445; 100
1971-04-01;--:--;   -999.000;      5.111; 100
1971-05-01;--:--;   -999.000;      9.037; 100
