# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123440
# River:                 VIGE
# Station:               SAINT-MARTIN-SAINTE CATHERINE
# Country:               --
# Latitude (DD):       45.955249
# Longitude (DD):      1.57786
# Catchment area (km²):      
# Altitude (m ASL):        356.56
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958 - 2012
# No. of years:          55
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 653
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1958-01-01;--:--;   -999.000;      4.176; 100
1958-02-01;--:--;   -999.000;      3.936; 100
1958-03-01;--:--;   -999.000;      4.681; 100
1958-04-01;--:--;   -999.000;      4.377; 100
1958-05-01;--:--;   -999.000;      3.537; 100
1958-06-01;--:--;   -999.000;      2.642; 100
1958-07-01;--:--;   -999.000;      4.839; 100
1958-08-01;--:--;   -999.000;      2.653; 100
1958-09-01;--:--;   -999.000;      1.550; 100
1958-10-01;--:--;   -999.000;      1.761; 100
1958-11-01;--:--;   -999.000;      2.963; 100
1958-12-01;--:--;   -999.000;      5.735; 100
1959-01-01;--:--;   -999.000;      6.135; 100
1959-02-01;--:--;   -999.000;      2.746; 100
1959-03-01;--:--;   -999.000;      2.303; 100
1959-04-01;--:--;   -999.000;      3.240; 100
1959-05-01;--:--;   -999.000;      2.823; 100
1959-06-01;--:--;   -999.000;      1.233; 100
1959-07-01;--:--;   -999.000;      0.641; 100
1959-08-01;--:--;   -999.000;      0.683; 100
