# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123450
# River:                 CREUSE
# Station:               FRESSELINES
# Country:               --
# Latitude (DD):       46.377503
# Longitude (DD):      1.67855
# Catchment area (km²):      
# Altitude (m ASL):        265.63
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956 - 2012
# No. of years:          57
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 678
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1956-01-01;--:--;   -999.000;     14.871; 100
1956-02-01;--:--;   -999.000;     22.655; 100
1956-03-01;--:--;   -999.000;     16.558; 100
1956-04-01;--:--;   -999.000;     14.167; 100
1956-05-01;--:--;   -999.000;      8.397; 100
1956-06-01;--:--;   -999.000;     14.600; 100
1956-07-01;--:--;   -999.000;      5.071; 100
1956-08-01;--:--;   -999.000;      3.165; 100
1956-09-01;--:--;   -999.000;     11.028; 100
1956-10-01;--:--;   -999.000;      7.881; 100
1956-11-01;--:--;   -999.000;      9.813; 100
1956-12-01;--:--;   -999.000;      9.835; 100
1957-01-01;--:--;   -999.000;     13.132; 100
1957-02-01;--:--;   -999.000;     49.886; 100
1957-03-01;--:--;   -999.000;     21.290; 100
1957-04-01;--:--;   -999.000;      7.070; 100
1957-05-01;--:--;   -999.000;      4.490; 100
1957-06-01;--:--;   -999.000;     13.997; 100
1957-07-01;--:--;   -999.000;      6.226; 100
1957-08-01;--:--;   -999.000;      2.145; 100
1957-09-01;--:--;   -999.000;      2.320; 100
1957-10-01;--:--;   -999.000;      2.495; 100
1957-11-01;--:--;   -999.000;      4.258; 100
1957-12-01;--:--;   -999.000;      9.081; 100
1958-01-01;--:--;   -999.000;     28.816; 100
1958-02-01;--:--;   -999.000;     25.304; 100
1958-03-01;--:--;   -999.000;     32.581; 100
1958-04-01;--:--;   -999.000;     24.517; 100
1958-05-01;--:--;   -999.000;     30.584; 100
1958-06-01;--:--;   -999.000;     16.007; 100
1958-07-01;--:--;   -999.000;     23.081; 100
1958-08-01;--:--;   -999.000;      7.865; 100
1958-09-01;--:--;   -999.000;      4.607; 100
