# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123451
# River:                 CREUSE
# Station:               FELLETIN
# Country:               --
# Latitude (DD):       45.887457
# Longitude (DD):      2.166691
# Catchment area (km²):      
# Altitude (m ASL):        564.01
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958 - 2012
# No. of years:          55
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 654
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1958-01-01;--:--;   -999.000;      6.998; 100
1958-02-01;--:--;   -999.000;      5.500; 100
1958-03-01;--:--;   -999.000;      7.361; 100
1958-04-01;--:--;   -999.000;      6.957; 100
1958-05-01;--:--;   -999.000;      8.803; 100
1958-06-01;--:--;   -999.000;      5.050; 100
1958-07-01;--:--;   -999.000;      5.729; 100
1958-08-01;--:--;   -999.000;      2.581; 100
1958-09-01;--:--;   -999.000;      1.494; 100
1958-10-01;--:--;   -999.000;      2.168; 100
1958-11-01;--:--;   -999.000;      5.238; 100
1958-12-01;--:--;   -999.000;      9.306; 100
1959-01-01;--:--;   -999.000;      7.439; 100
1959-02-01;--:--;   -999.000;      2.886; 100
1959-03-01;--:--;   -999.000;      2.237; 100
1959-04-01;--:--;   -999.000;      4.102; 100
1959-05-01;--:--;   -999.000;      4.152; 100
1959-06-01;--:--;   -999.000;      1.900; 100
1959-07-01;--:--;   -999.000;      0.842; 100
1959-08-01;--:--;   -999.000;      0.735; 100
1959-09-01;--:--;   -999.000;      0.986; 100
1959-10-01;--:--;   -999.000;      1.001; 100
1959-11-01;--:--;   -999.000;      1.370; 100
1959-12-01;--:--;   -999.000;      7.277; 100
1960-01-01;--:--;   -999.000;      8.897; 100
1960-02-01;--:--;   -999.000;      7.066; 100
1960-03-01;--:--;   -999.000;      7.539; 100
1960-04-01;--:--;   -999.000;      3.025; 100
1960-05-01;--:--;   -999.000;      1.835; 100
1960-06-01;--:--;   -999.000;      1.778; 100
1960-07-01;--:--;   -999.000;      1.144; 100
1960-08-01;--:--;   -999.000;      3.634; 100
1960-09-01;--:--;   -999.000;      3.293; 100
1960-10-01;--:--;   -999.000;     21.006; 100
1960-11-01;--:--;   -999.000;      9.790; 100
1960-12-01;--:--;   -999.000;      7.768; 100
1961-01-01;--:--;   -999.000;     15.613; 100
1961-02-01;--:--;   -999.000;     11.596; 100
1961-03-01;--:--;   -999.000;      2.373; 100
1961-04-01;--:--;   -999.000;      2.143; 100
1961-05-01;--:--;   -999.000;      2.389; 100
1961-06-01;--:--;   -999.000;      3.083; 100
1961-07-01;--:--;   -999.000;      1.927; 100
1961-08-01;--:--;   -999.000;      1.354; 100
1961-09-01;--:--;   -999.000;      0.627; 100
1961-10-01;--:--;   -999.000;      1.615; 100
1961-11-01;--:--;   -999.000;      3.120; 100
1961-12-01;--:--;   -999.000;      8.665; 100
1962-01-01;--:--;   -999.000;     13.961; 100
1962-02-01;--:--;   -999.000;      5.829; 100
1962-03-01;--:--;   -999.000;      5.548; 100
1962-04-01;--:--;   -999.000;     11.777; 100
1962-05-01;--:--;   -999.000;      6.826; 100
1962-06-01;--:--;   -999.000;      2.550; 100
1962-07-01;--:--;   -999.000;      1.036; 100
1962-08-01;--:--;   -999.000;      0.485; 100
1962-09-01;--:--;   -999.000;      0.465; 100
1962-10-01;--:--;   -999.000;      0.440; 100
1962-11-01;--:--;   -999.000;      1.646; 100
1962-12-01;--:--;   -999.000;      5.154; 100
1963-01-01;--:--;   -999.000;      3.821; 100
1963-02-01;--:--;   -999.000;      4.556; 100
1963-03-01;--:--;   -999.000;      8.506; 100
1963-04-01;--:--;   -999.000;      8.067; 100
1963-05-01;--:--;   -999.000;      4.166; 100
1963-06-01;--:--;   -999.000;      5.409; 100
1963-07-01;--:--;   -999.000;      1.965; 100
1963-08-01;--:--;   -999.000;      2.515; 100
1963-09-01;--:--;   -999.000;      2.331; 100
1963-10-01;--:--;   -999.000;      1.959; 100
1963-11-01;--:--;   -999.000;      4.484; 100
1963-12-01;--:--;   -999.000;      3.909; 100
1964-01-01;--:--;   -999.000;      1.918; 100
1964-02-01;--:--;   -999.000;      2.221; 100
1964-03-01;--:--;   -999.000;      3.822; 100
1964-04-01;--:--;   -999.000;      6.263; 100
1964-05-01;--:--;   -999.000;      3.650; 100
1964-06-01;--:--;   -999.000;      2.614; 100
1964-07-01;--:--;   -999.000;      0.762; 100
1964-08-01;--:--;   -999.000;      0.475; 100
1964-09-01;--:--;   -999.000;      0.304; 100
1964-10-01;--:--;   -999.000;      1.084; 100
1964-11-01;--:--;   -999.000;      0.996; 100
1964-12-01;--:--;   -999.000;      1.274; 100
1965-01-01;--:--;   -999.000;      5.021; 100
1965-02-01;--:--;   -999.000;      3.919; 100
1965-03-01;--:--;   -999.000;      6.224; 100
1965-04-01;--:--;   -999.000;      5.403; 100
1965-05-01;--:--;   -999.000;      4.825; 100
1965-06-01;--:--;   -999.000;      3.444; 100
1965-07-01;--:--;   -999.000;      1.299; 100
1965-08-01;--:--;   -999.000;      0.940; 100
1965-09-01;--:--;   -999.000;      5.239; 100
1965-10-01;--:--;   -999.000;      2.312; 100
1965-11-01;--:--;   -999.000;      6.327; 100
1965-12-01;--:--;   -999.000;     16.363; 100
1966-01-01;--:--;   -999.000;     14.339; 100
1966-02-01;--:--;   -999.000;      8.443; 100
1966-03-01;--:--;   -999.000;      5.684; 100
1966-04-01;--:--;   -999.000;      5.850; 100
1966-05-01;--:--;   -999.000;      5.419; 100
1966-06-01;--:--;   -999.000;      2.455; 100
1966-07-01;--:--;   -999.000;      1.299; 100
1966-08-01;--:--;   -999.000;      1.026; 100
1966-09-01;--:--;   -999.000;      0.625; 100
1966-10-01;--:--;   -999.000;      1.791; 100
1966-11-01;--:--;   -999.000;      2.896; 100
1966-12-01;--:--;   -999.000;     15.826; 100
1967-01-01;--:--;   -999.000;      6.465; 100
1967-02-01;--:--;   -999.000;      6.307; 100
1967-03-01;--:--;   -999.000;      5.533; 100
1967-04-01;--:--;   -999.000;      2.359; 100
1967-05-01;--:--;   -999.000;      2.659; 100
1967-06-01;--:--;   -999.000;      1.929; 100
1967-07-01;--:--;   -999.000;      0.781; 100
1967-08-01;--:--;   -999.000;      0.639; 100
1967-09-01;--:--;   -999.000;      0.737; 100
1967-10-01;--:--;   -999.000;      1.451; 100
1967-11-01;--:--;   -999.000;      4.356; 100
1967-12-01;--:--;   -999.000;      5.202; 100
1968-01-01;--:--;   -999.000;     13.221; 100
1968-02-01;--:--;   -999.000;      6.633; 100
1968-03-01;--:--;   -999.000;      3.849; 100
1968-04-01;--:--;   -999.000;      3.072; 100
1968-05-01;--:--;   -999.000;      5.610; 100
1968-06-01;--:--;   -999.000;      2.422; 100
1968-07-01;--:--;   -999.000;      1.842; 100
1968-08-01;--:--;   -999.000;      3.108; 100
1968-09-01;--:--;   -999.000;      7.777; 100
1968-10-01;--:--;   -999.000;      5.616; 100
1968-11-01;--:--;   -999.000;      2.914; 100
1968-12-01;--:--;   -999.000;      6.326; 100
1969-01-01;--:--;   -999.000;      6.471; 100
1969-02-01;--:--;   -999.000;      4.589; 100
1969-03-01;--:--;   -999.000;      5.595; 100
1969-04-01;--:--;   -999.000;      5.368; 100
1969-05-01;--:--;   -999.000;      5.959; 100
1969-06-01;--:--;   -999.000;      4.583; 100
1969-07-01;--:--;   -999.000;      2.095; 100
1969-08-01;--:--;   -999.000;      1.246; 100
1969-09-01;--:--;   -999.000;      3.707; 100
1969-10-01;--:--;   -999.000;      1.505; 100
1969-11-01;--:--;   -999.000;      3.969; 100
1969-12-01;--:--;   -999.000;      6.754; 100
1970-01-01;--:--;   -999.000;      6.146; 100
1970-02-01;--:--;   -999.000;     17.296; 100
1970-03-01;--:--;   -999.000;      7.006; 100
1970-04-01;--:--;   -999.000;      7.352; 100
1970-05-01;--:--;   -999.000;      3.274; 100
1970-06-01;--:--;   -999.000;      2.393; 100
1970-07-01;--:--;   -999.000;      1.165; 100
1970-08-01;--:--;   -999.000;      0.768; 100
1970-09-01;--:--;   -999.000;      0.657; 100
1970-10-01;--:--;   -999.000;      0.805; 100
1970-11-01;--:--;   -999.000;      1.181; 100
1970-12-01;--:--;   -999.000;      1.578; 100
1971-01-01;--:--;   -999.000;      4.488; 100
1971-02-01;--:--;   -999.000;      7.341; 100
1971-03-01;--:--;   -999.000;      5.537; 100
1971-04-01;--:--;   -999.000;      4.608; 100
1971-05-01;--:--;   -999.000;      3.808; 100
1971-06-01;--:--;   -999.000;      2.328; 100
1971-07-01;--:--;   -999.000;      1.411; 100
1971-08-01;--:--;   -999.000;      1.945; 100
1971-09-01;--:--;   -999.000;      1.263; 100
1971-10-01;--:--;   -999.000;      0.941; 100
1971-11-01;--:--;   -999.000;      2.006; 100
1971-12-01;--:--;   -999.000;      2.486; 100
1972-01-01;--:--;   -999.000;      2.801; 100
1972-02-01;--:--;   -999.000;      7.455; 100
1972-03-01;--:--;   -999.000;      4.663; 100
1972-04-01;--:--;   -999.000;      3.879; 100
1972-05-01;--:--;   -999.000;      2.542; 100
1972-06-01;--:--;   -999.000;      1.666; 100
1972-07-01;--:--;   -999.000;      0.790; 100
1972-08-01;--:--;   -999.000;      1.001; 100
1972-09-01;--:--;   -999.000;      0.998; 100
1972-10-01;--:--;   -999.000;      0.707; 100
1972-11-01;--:--;   -999.000;      3.817; 100
1972-12-01;--:--;   -999.000;      4.128; 100
1973-01-01;--:--;   -999.000;      3.184; 100
1973-02-01;--:--;   -999.000;      4.886; 100
1973-03-01;--:--;   -999.000;      3.574; 100
1973-04-01;--:--;   -999.000;      2.166; 100
1973-05-01;--:--;   -999.000;      2.155; 100
1973-06-01;--:--;   -999.000;      3.706; 100
1973-07-01;--:--;   -999.000;      1.660; 100
1973-08-01;--:--;   -999.000;      1.044; 100
1973-09-01;--:--;   -999.000;      0.919; 100
1973-10-01;--:--;   -999.000;      2.230; 100
1973-11-01;--:--;   -999.000;      1.616; 100
1973-12-01;--:--;   -999.000;      4.592; 100
1974-01-01;--:--;   -999.000;      4.177; 100
1974-02-01;--:--;   -999.000;      6.950; 100
1974-03-01;--:--;   -999.000;      5.256; 100
1974-04-01;--:--;   -999.000;      3.668; 100
1974-05-01;--:--;   -999.000;      2.310; 100
1974-06-01;--:--;   -999.000;      1.506; 100
1974-07-01;--:--;   -999.000;      0.760; 100
1974-08-01;--:--;   -999.000;      0.546; 100
1974-09-01;--:--;   -999.000;      1.392; 100
1974-10-01;--:--;   -999.000;      5.306; 100
1974-11-01;--:--;   -999.000;      6.204; 100
1974-12-01;--:--;   -999.000;      4.788; 100
1975-01-01;--:--;   -999.000;      5.883; 100
1975-02-01;--:--;   -999.000;      5.529; 100
1975-03-01;--:--;   -999.000;      4.224; 100
1975-04-01;--:--;   -999.000;      6.060; 100
1975-05-01;--:--;   -999.000;      3.242; 100
1975-06-01;--:--;   -999.000;      2.217; 100
1975-07-01;--:--;   -999.000;      0.894; 100
1975-08-01;--:--;   -999.000;      0.812; 100
1975-09-01;--:--;   -999.000;      1.568; 100
1975-10-01;--:--;   -999.000;      1.281; 100
1975-11-01;--:--;   -999.000;      3.058; 100
1975-12-01;--:--;   -999.000;      4.087; 100
1976-01-01;--:--;   -999.000;      1.621; 100
1976-02-01;--:--;   -999.000;      3.431; 100
1976-03-01;--:--;   -999.000;      2.038; 100
1976-04-01;--:--;   -999.000;      1.886; 100
1976-05-01;--:--;   -999.000;      1.912; 100
1976-06-01;--:--;   -999.000;      0.797; 100
1976-07-01;--:--;   -999.000;      0.667; 100
1976-08-01;--:--;   -999.000;      0.409; 100
1976-09-01;--:--;   -999.000;      0.911; 100
1976-10-01;--:--;   -999.000;      2.961; 100
1976-11-01;--:--;   -999.000;      9.954; 100
1976-12-01;--:--;   -999.000;     14.589; 100
1977-01-01;--:--;   -999.000;      5.031; 100
1977-02-01;--:--;   -999.000;     14.376; 100
1977-03-01;--:--;   -999.000;      5.383; 100
1977-04-01;--:--;   -999.000;      5.448; 100
1977-05-01;--:--;   -999.000;      6.406; 100
