# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123460
# River:                 PETITE CREUSE
# Station:               FRESSELINES (PUY RAGEAUD)
# Country:               --
# Latitude (DD):       46.385018
# Longitude (DD):      1.68847
# Catchment area (km²):      
# Altitude (m ASL):        271.61
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958 - 2012
# No. of years:          55
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 654
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1958-01-01;--:--;   -999.000;     17.726; 100
1958-02-01;--:--;   -999.000;     14.796; 100
1958-03-01;--:--;   -999.000;     18.177; 100
1958-04-01;--:--;   -999.000;     11.403; 100
1958-05-01;--:--;   -999.000;     18.658; 100
1958-06-01;--:--;   -999.000;      6.597; 100
1958-07-01;--:--;   -999.000;     19.013; 100
1958-08-01;--:--;   -999.000;      5.806; 100
1958-09-01;--:--;   -999.000;      4.570; 100
1958-10-01;--:--;   -999.000;      5.894; 100
1958-11-01;--:--;   -999.000;     23.057; 100
1958-12-01;--:--;   -999.000;     20.323; 100
1959-01-01;--:--;   -999.000;     22.226; 100
1959-02-01;--:--;   -999.000;      8.079; 100
1959-03-01;--:--;   -999.000;      5.229; 100
1959-04-01;--:--;   -999.000;      7.737; 100
1959-05-01;--:--;   -999.000;      9.752; 100
1959-06-01;--:--;   -999.000;      2.805; 100
1959-07-01;--:--;   -999.000;      0.799; 100
1959-08-01;--:--;   -999.000;      0.291; 100
1959-09-01;--:--;   -999.000;      0.187; 100
1959-10-01;--:--;   -999.000;      0.182; 100
1959-11-01;--:--;   -999.000;      0.484; 100
1959-12-01;--:--;   -999.000;      5.713; 100
1960-01-01;--:--;   -999.000;     15.677; 100
1960-02-01;--:--;   -999.000;     12.262; 100
1960-03-01;--:--;   -999.000;     13.394; 100
1960-04-01;--:--;   -999.000;      6.257; 100
1960-05-01;--:--;   -999.000;      3.440; 100
1960-06-01;--:--;   -999.000;      1.807; 100
1960-07-01;--:--;   -999.000;      0.922; 100
