# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123461
# River:                 PETITE CREUSE
# Station:               GENOUILLAC
# Country:               --
# Latitude (DD):       46.366212
# Longitude (DD):      1.992245
# Catchment area (km²):      
# Altitude (m ASL):        326.29
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2009
# No. of years:          43
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 516
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-01-01;--:--;   -999.000;     12.095; 100
1967-02-01;--:--;   -999.000;      7.507; 100
1967-03-01;--:--;   -999.000;      8.047; 100
1967-04-01;--:--;   -999.000;      2.383; 100
1967-05-01;--:--;   -999.000;      2.073; 100
1967-06-01;--:--;   -999.000;      1.124; 100
1967-07-01;--:--;   -999.000;      0.288; 100
1967-08-01;--:--;   -999.000;      0.113; 100
1967-09-01;--:--;   -999.000;      0.191; 100
1967-10-01;--:--;   -999.000;      0.522; 100
1967-11-01;--:--;   -999.000;      3.945; 100
1967-12-01;--:--;   -999.000;     10.368; 100
1968-01-01;--:--;   -999.000;     22.310; 100
1968-02-01;--:--;   -999.000;      9.002; 100
1968-03-01;--:--;   -999.000;      4.211; 100
1968-04-01;--:--;   -999.000;      6.487; 100
1968-05-01;--:--;   -999.000;      4.834; 100
1968-06-01;--:--;   -999.000;      1.344; 100
1968-07-01;--:--;   -999.000;      0.949; 100
1968-08-01;--:--;   -999.000;      2.655; 100
1968-09-01;--:--;   -999.000;      4.875; 100
1968-10-01;--:--;   -999.000;      4.015; 100
1968-11-01;--:--;   -999.000;      4.485; 100
1968-12-01;--:--;   -999.000;     14.135; 100
1969-01-01;--:--;   -999.000;     10.231; 100
1969-02-01;--:--;   -999.000;     10.132; 100
1969-03-01;--:--;   -999.000;     10.337; 100
1969-04-01;--:--;   -999.000;      4.501; 100
1969-05-01;--:--;   -999.000;      5.287; 100
1969-06-01;--:--;   -999.000;      5.207; 100
1969-07-01;--:--;   -999.000;      1.120; 100
1969-08-01;--:--;   -999.000;      0.754; 100
1969-09-01;--:--;   -999.000;      6.304; 100
1969-10-01;--:--;   -999.000;      1.011; 100
1969-11-01;--:--;   -999.000;      5.239; 100
1969-12-01;--:--;   -999.000;     14.679; 100
1970-01-01;--:--;   -999.000;     12.048; 100
1970-02-01;--:--;   -999.000;     31.154; 100
1970-03-01;--:--;   -999.000;     12.295; 100
1970-04-01;--:--;   -999.000;     11.393; 100
1970-05-01;--:--;   -999.000;      3.818; 100
1970-06-01;--:--;   -999.000;      2.055; 100
1970-07-01;--:--;   -999.000;      0.789; 100
1970-08-01;--:--;   -999.000;      0.737; 100
1970-09-01;--:--;   -999.000;      0.472; 100
1970-10-01;--:--;   -999.000;      0.630; 100
1970-11-01;--:--;   -999.000;      0.937; 100
1970-12-01;--:--;   -999.000;      1.168; 100
1971-01-01;--:--;   -999.000;      5.624; 100
1971-02-01;--:--;   -999.000;      9.696; 100
1971-03-01;--:--;   -999.000;      5.842; 100
1971-04-01;--:--;   -999.000;      3.103; 100
1971-05-01;--:--;   -999.000;      5.318; 100
1971-06-01;--:--;   -999.000;      3.361; 100
1971-07-01;--:--;   -999.000;      0.943; 100
1971-08-01;--:--;   -999.000;      1.215; 100
1971-09-01;--:--;   -999.000;      0.716; 100
1971-10-01;--:--;   -999.000;      0.497; 100
1971-11-01;--:--;   -999.000;      1.202; 100
1971-12-01;--:--;   -999.000;      1.925; 100
1972-01-01;--:--;   -999.000;      3.710; 100
1972-02-01;--:--;   -999.000;     10.853; 100
1972-03-01;--:--;   -999.000;      4.130; 100
1972-04-01;--:--;   -999.000;      3.172; 100
1972-05-01;--:--;   -999.000;      1.777; 100
1972-06-01;--:--;   -999.000;      1.228; 100
1972-07-01;--:--;   -999.000;      0.621; 100
1972-08-01;--:--;   -999.000;      1.432; 100
1972-09-01;--:--;   -999.000;      0.626; 100
1972-10-01;--:--;   -999.000;      0.510; 100
1972-11-01;--:--;   -999.000;      7.952; 100
1972-12-01;--:--;   -999.000;      5.694; 100
1973-01-01;--:--;   -999.000;      6.027; 100
1973-02-01;--:--;   -999.000;     11.934; 100
1973-03-01;--:--;   -999.000;      4.365; 100
1973-04-01;--:--;   -999.000;      1.574; 100
1973-05-01;--:--;   -999.000;      1.517; 100
1973-06-01;--:--;   -999.000;      3.265; 100
1973-07-01;--:--;   -999.000;      2.441; 100
1973-08-01;--:--;   -999.000;      1.174; 100
1973-09-01;--:--;   -999.000;      0.352; 100
1973-10-01;--:--;   -999.000;      1.554; 100
1973-11-01;--:--;   -999.000;      1.732; 100
1973-12-01;--:--;   -999.000;      9.717; 100
1974-01-01;--:--;   -999.000;      4.663; 100
1974-02-01;--:--;   -999.000;      9.787; 100
1974-03-01;--:--;   -999.000;     14.914; 100
1974-04-01;--:--;   -999.000;      4.119; 100
1974-05-01;--:--;   -999.000;      2.668; 100
1974-06-01;--:--;   -999.000;      1.059; 100
1974-07-01;--:--;   -999.000;      0.403; 100
1974-08-01;--:--;   -999.000;      0.207; 100
1974-09-01;--:--;   -999.000;      0.834; 100
1974-10-01;--:--;   -999.000;     10.671; 100
1974-11-01;--:--;   -999.000;     13.129; 100
1974-12-01;--:--;   -999.000;      9.795; 100
1975-01-01;--:--;   -999.000;      7.660; 100
1975-02-01;--:--;   -999.000;      6.862; 100
1975-03-01;--:--;   -999.000;      9.069; 100
1975-04-01;--:--;   -999.000;     12.040; 100
1975-05-01;--:--;   -999.000;      4.991; 100
1975-06-01;--:--;   -999.000;      1.474; 100
1975-07-01;--:--;   -999.000;      0.562; 100
1975-08-01;--:--;   -999.000;      0.239; 100
1975-09-01;--:--;   -999.000;      0.535; 100
1975-10-01;--:--;   -999.000;      0.596; 100
1975-11-01;--:--;   -999.000;      4.057; 100
1975-12-01;--:--;   -999.000;      6.935; 100
1976-01-01;--:--;   -999.000;      3.939; 100
1976-02-01;--:--;   -999.000;     13.892; 100
1976-03-01;--:--;   -999.000;      2.278; 100
1976-04-01;--:--;   -999.000;      1.536; 100
1976-05-01;--:--;   -999.000;      1.319; 100
1976-06-01;--:--;   -999.000;      0.220; 100
1976-07-01;--:--;   -999.000;      0.130; 100
1976-08-01;--:--;   -999.000;      0.110; 100
1976-09-01;--:--;   -999.000;      0.256; 100
1976-10-01;--:--;   -999.000;      1.925; 100
1976-11-01;--:--;   -999.000;     10.256; 100
1976-12-01;--:--;   -999.000;     18.615; 100
1977-01-01;--:--;   -999.000;      9.211; 100
1977-02-01;--:--;   -999.000;     30.464; 100
1977-03-01;--:--;   -999.000;      6.876; 100
1977-04-01;--:--;   -999.000;      7.080; 100
1977-05-01;--:--;   -999.000;     16.515; 100
1977-06-01;--:--;   -999.000;     12.908; 100
1977-07-01;--:--;   -999.000;      7.778; 100
1977-08-01;--:--;   -999.000;     14.641; 100
1977-09-01;--:--;   -999.000;      2.260; 100
1977-10-01;--:--;   -999.000;      2.029; 100
1977-11-01;--:--;   -999.000;      3.920; 100
1977-12-01;--:--;   -999.000;      6.616; 100
1978-01-01;--:--;   -999.000;     17.300; 100
1978-02-01;--:--;   -999.000;     16.822; 100
1978-03-01;--:--;   -999.000;     18.940; 100
1978-04-01;--:--;   -999.000;     13.629; 100
1978-05-01;--:--;   -999.000;     10.731; 100
1978-06-01;--:--;   -999.000;      2.203; 100
1978-07-01;--:--;   -999.000;      1.284; 100
1978-08-01;--:--;   -999.000;      1.404; 100
1978-09-01;--:--;   -999.000;      0.435; 100
1978-10-01;--:--;   -999.000;      0.324; 100
1978-11-01;--:--;   -999.000;      0.419; 100
1978-12-01;--:--;   -999.000;      1.842; 100
1979-01-01;--:--;   -999.000;      6.325; 100
1979-02-01;--:--;   -999.000;     15.773; 100
1979-03-01;--:--;   -999.000;     20.005; 100
1979-04-01;--:--;   -999.000;     13.024; 100
1979-05-01;--:--;   -999.000;      8.162; 100
1979-06-01;--:--;   -999.000;      4.839; 100
1979-07-01;--:--;   -999.000;      0.650; 100
1979-08-01;--:--;   -999.000;      0.454; 100
1979-09-01;--:--;   -999.000;      0.314; 100
1979-10-01;--:--;   -999.000;      0.769; 100
1979-11-01;--:--;   -999.000;      2.067; 100
1979-12-01;--:--;   -999.000;     13.100; 100
1980-01-01;--:--;   -999.000;     14.733; 100
1980-02-01;--:--;   -999.000;     16.393; 100
1980-03-01;--:--;   -999.000;     13.766; 100
1980-04-01;--:--;   -999.000;      3.751; 100
1980-05-01;--:--;   -999.000;      3.299; 100
1980-06-01;--:--;   -999.000;      2.474; 100
1980-07-01;--:--;   -999.000;      1.836; 100
1980-08-01;--:--;   -999.000;      0.465; 100
1980-09-01;--:--;   -999.000;      0.468; 100
1980-10-01;--:--;   -999.000;      2.098; 100
1980-11-01;--:--;   -999.000;      4.393; 100
1980-12-01;--:--;   -999.000;     11.422; 100
1981-01-01;--:--;   -999.000;     25.566; 100
1981-02-01;--:--;   -999.000;      6.580; 100
1981-03-01;--:--;   -999.000;     14.572; 100
1981-04-01;--:--;   -999.000;      5.233; 100
1981-05-01;--:--;   -999.000;     10.496; 100
1981-06-01;--:--;   -999.000;      7.785; 100
1981-07-01;--:--;   -999.000;      4.912; 100
1981-08-01;--:--;   -999.000;      4.601; 100
1981-09-01;--:--;   -999.000;      1.466; 100
1981-10-01;--:--;   -999.000;      4.715; 100
1981-11-01;--:--;   -999.000;      3.644; 100
1981-12-01;--:--;   -999.000;     24.384; 100
1982-01-01;--:--;   -999.000;     16.286; 100
1982-02-01;--:--;   -999.000;      6.678; 100
1982-03-01;--:--;   -999.000;     10.890; 100
1982-04-01;--:--;   -999.000;      8.059; 100
1982-05-01;--:--;   -999.000;      1.748; 100
1982-06-01;--:--;   -999.000;      1.060; 100
1982-07-01;--:--;   -999.000;      0.563; 100
1982-08-01;--:--;   -999.000;      0.472; 100
1982-09-01;--:--;   -999.000;      0.493; 100
1982-10-01;--:--;   -999.000;      1.646; 100
1982-11-01;--:--;   -999.000;      2.624; 100
1982-12-01;--:--;   -999.000;     22.553; 100
1983-01-01;--:--;   -999.000;      7.141; 100
1983-02-01;--:--;   -999.000;     11.032; 100
1983-03-01;--:--;   -999.000;      8.180; 100
1983-04-01;--:--;   -999.000;     20.480; 100
1983-05-01;--:--;   -999.000;     16.411; 100
1983-06-01;--:--;   -999.000;      4.002; 100
1983-07-01;--:--;   -999.000;      0.964; 100
1983-08-01;--:--;   -999.000;      1.138; 100
1983-09-01;--:--;   -999.000;      2.326; 100
1983-10-01;--:--;   -999.000;      1.436; 100
1983-11-01;--:--;   -999.000;      3.065; 100
1983-12-01;--:--;   -999.000;      8.078; 100
1984-01-01;--:--;   -999.000;     15.687; 100
1984-02-01;--:--;   -999.000;     13.882; 100
1984-03-01;--:--;   -999.000;      3.706; 100
1984-04-01;--:--;   -999.000;      2.780; 100
1984-05-01;--:--;   -999.000;      3.423; 100
1984-06-01;--:--;   -999.000;      5.500; 100
1984-07-01;--:--;   -999.000;      0.500; 100
1984-08-01;--:--;   -999.000;      0.829; 100
1984-09-01;--:--;   -999.000;      3.940; 100
1984-10-01;--:--;   -999.000;      7.519; 100
1984-11-01;--:--;   -999.000;      8.383; 100
1984-12-01;--:--;   -999.000;      7.030; 100
1985-01-01;--:--;   -999.000;      7.391; 100
1985-02-01;--:--;   -999.000;     16.669; 100
1985-03-01;--:--;   -999.000;      5.925; 100
1985-04-01;--:--;   -999.000;      5.433; 100
1985-05-01;--:--;   -999.000;     14.918; 100
1985-06-01;--:--;   -999.000;      4.358; 100
1985-07-01;--:--;   -999.000;      0.988; 100
1985-08-01;--:--;   -999.000;      0.441; 100
1985-09-01;--:--;   -999.000;      0.159; 100
1985-10-01;--:--;   -999.000;      0.102; 100
1985-11-01;--:--;   -999.000;      0.356; 100
1985-12-01;--:--;   -999.000;      0.540; 100
1986-01-01;--:--;   -999.000;      3.978; 100
1986-02-01;--:--;   -999.000;      7.530; 100
1986-03-01;--:--;   -999.000;      6.966; 100
1986-04-01;--:--;   -999.000;     20.415; 100
1986-05-01;--:--;   -999.000;      9.361; 100
1986-06-01;--:--;   -999.000;      2.182; 100
