# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123470
# River:                 ROZEILLE
# Station:               MOUTIER-ROZEILLE (AUBUSSON)
# Country:               FR
# Latitude (DD):       45.93099
# Longitude (DD):      2.176702
# Catchment area (km²):      186.0
# Altitude (m ASL):        493.92
# Next downstream station:      6123450
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959-01 - 2012-06
# No. of years:          54
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 19523
# DATA
YYYY-MM-DD;hh:mm; Value
1959-01-01;--:--;      5.600
1959-01-02;--:--;      5.400
1959-01-03;--:--;      5.100
1959-01-04;--:--;      5.600
1959-01-05;--:--;      5.300
1959-01-06;--:--;      5.600
1959-01-07;--:--;      9.500
1959-01-08;--:--;      9.300
1959-01-09;--:--;      9.100
1959-01-10;--:--;      8.200
1959-01-11;--:--;      7.300
1959-01-12;--:--;      6.900
1959-01-13;--:--;      6.000
1959-01-14;--:--;      7.100
1959-01-15;--:--;     11.500
1959-01-16;--:--;      9.300
1959-01-17;--:--;      8.400
1959-01-18;--:--;      6.700
1959-01-19;--:--;      6.000
1959-01-20;--:--;      5.600
1959-01-21;--:--;      8.400
1959-01-22;--:--;      6.700
1959-01-23;--:--;      7.100
1959-01-24;--:--;      7.400
1959-01-25;--:--;      5.600
1959-01-26;--:--;      5.300
1959-01-27;--:--;      4.700
1959-01-28;--:--;      4.600
1959-01-29;--:--;      4.300
1959-01-30;--:--;      4.100
1959-01-31;--:--;      3.900
1959-02-01;--:--;      3.900
1959-02-02;--:--;      3.900
1959-02-03;--:--;      3.800
1959-02-04;--:--;      4.300
1959-02-05;--:--;      4.600
1959-02-06;--:--;      3.900
1959-02-07;--:--;      3.600
1959-02-08;--:--;      3.500
1959-02-09;--:--;      3.200
1959-02-10;--:--;      3.100
1959-02-11;--:--;      3.100
1959-02-12;--:--;      3.200
1959-02-13;--:--;      2.900
1959-02-14;--:--;      2.800
1959-02-15;--:--;      2.500
1959-02-16;--:--;      2.500
1959-02-17;--:--;      2.400
1959-02-18;--:--;      2.200
1959-02-19;--:--;      2.200
1959-02-20;--:--;      2.100
1959-02-21;--:--;      2.000
1959-02-22;--:--;      2.000
1959-02-23;--:--;      2.000
1959-02-24;--:--;      2.000
1959-02-25;--:--;      2.000
1959-02-26;--:--;      2.000
1959-02-27;--:--;      2.000
1959-02-28;--:--;      1.850
1959-03-01;--:--;      1.850
1959-03-02;--:--;      1.850
1959-03-03;--:--;      1.750
1959-03-04;--:--;      6.900
1959-03-05;--:--;      2.500
1959-03-06;--:--;      1.850
1959-03-07;--:--;      1.750
1959-03-08;--:--;      1.850
1959-03-09;--:--;      1.750
1959-03-10;--:--;      1.500
1959-03-11;--:--;      1.400
1959-03-12;--:--;      1.500
1959-03-13;--:--;      1.400
1959-03-14;--:--;      1.400
1959-03-15;--:--;      1.400
1959-03-16;--:--;      1.300
1959-03-17;--:--;      1.300
1959-03-18;--:--;      1.300
1959-03-19;--:--;      1.300
1959-03-20;--:--;      1.300
1959-03-21;--:--;      1.300
1959-03-22;--:--;      1.300
1959-03-23;--:--;      1.300
1959-03-24;--:--;      1.300
1959-03-25;--:--;      4.100
1959-03-26;--:--;      2.100
1959-03-27;--:--;      1.850
1959-03-28;--:--;      1.850
1959-03-29;--:--;      1.600
1959-03-30;--:--;      1.750
1959-03-31;--:--;      1.600
1959-04-01;--:--;      1.500
1959-04-02;--:--;      1.400
1959-04-03;--:--;      1.300
1959-04-04;--:--;      1.300
1959-04-05;--:--;      1.300
1959-04-06;--:--;      1.500
1959-04-07;--:--;      1.600
1959-04-08;--:--;      1.500
1959-04-09;--:--;      2.900
1959-04-10;--:--;      3.900
1959-04-11;--:--;      4.300
1959-04-12;--:--;      2.800
1959-04-13;--:--;      2.500
1959-04-14;--:--;      2.000
1959-04-15;--:--;      1.850
1959-04-16;--:--;      2.500
1959-04-17;--:--;      3.800
1959-04-18;--:--;      4.900
1959-04-19;--:--;      6.000
1959-04-20;--:--;      4.400
1959-04-21;--:--;      3.800
1959-04-22;--:--;      3.100
1959-04-23;--:--;      2.900
1959-04-24;--:--;      2.800
1959-04-25;--:--;      2.600
1959-04-26;--:--;      2.500
1959-04-27;--:--;      3.600
1959-04-28;--:--;      3.900
1959-04-29;--:--;      4.600
1959-04-30;--:--;      8.200
1959-05-01;--:--;      8.900
1959-05-02;--:--;      7.100
1959-05-03;--:--;      6.500
1959-05-04;--:--;      5.600
1959-05-05;--:--;      5.300
1959-05-06;--:--;      4.700
1959-05-07;--:--;      4.300
1959-05-08;--:--;      3.900
1959-05-09;--:--;      3.800
1959-05-10;--:--;      3.600
1959-05-11;--:--;      3.500
1959-05-12;--:--;      3.900
1959-05-13;--:--;     11.000
1959-05-14;--:--;      5.300
1959-05-15;--:--;      3.900
1959-05-16;--:--;      3.500
1959-05-17;--:--;      3.200
1959-05-18;--:--;      4.300
1959-05-19;--:--;      3.900
1959-05-20;--:--;      3.800
1959-05-21;--:--;      3.100
1959-05-22;--:--;      2.900
1959-05-23;--:--;      6.100
1959-05-24;--:--;      3.900
1959-05-25;--:--;      3.100
1959-05-26;--:--;      2.500
1959-05-27;--:--;      2.600
1959-05-28;--:--;      2.400
1959-05-29;--:--;      2.200
1959-05-30;--:--;      2.000
1959-05-31;--:--;      1.850
1959-06-01;--:--;      1.850
1959-06-02;--:--;      1.850
1959-06-03;--:--;      1.750
1959-06-04;--:--;      1.750
1959-06-05;--:--;      1.600
1959-06-06;--:--;      3.800
1959-06-07;--:--;      2.900
1959-06-08;--:--;      3.300
1959-06-09;--:--;      3.100
1959-06-10;--:--;      2.600
1959-06-11;--:--;      2.200
1959-06-12;--:--;      2.000
1959-06-13;--:--;      1.750
1959-06-14;--:--;      1.600
1959-06-15;--:--;      1.400
1959-06-16;--:--;      1.300
1959-06-17;--:--;      1.200
1959-06-18;--:--;      1.200
1959-06-19;--:--;      1.100
