# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123470
# River:                 ROZEILLE
# Station:               MOUTIER-ROZEILLE (AUBUSSON)
# Country:               --
# Latitude (DD):       45.93099
# Longitude (DD):      2.176702
# Catchment area (km²):      
# Altitude (m ASL):        493.92
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1959 - 2012
# No. of years:          54
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 642
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1959-01-01;--:--;   -999.000;      6.632; 100
1959-02-01;--:--;   -999.000;      2.841; 100
1959-03-01;--:--;   -999.000;      1.845; 100
1959-04-01;--:--;   -999.000;      3.042; 100
1959-05-01;--:--;   -999.000;      4.279; 100
1959-06-01;--:--;   -999.000;      1.902; 100
1959-07-01;--:--;   -999.000;      0.728; 100
1959-08-01;--:--;   -999.000;      0.633; 100
1959-09-01;--:--;   -999.000;      0.872; 100
1959-10-01;--:--;   -999.000;      0.858; 100
1959-11-01;--:--;   -999.000;      1.203; 100
1959-12-01;--:--;   -999.000;      4.574; 100
1960-01-01;--:--;   -999.000;      6.032; 100
1960-02-01;--:--;   -999.000;      5.486; 100
1960-03-01;--:--;   -999.000;      5.413; 100
1960-04-01;--:--;   -999.000;      2.665; 100
1960-05-01;--:--;   -999.000;      1.745; 100
1960-06-01;--:--;   -999.000;      1.231; 100
1960-07-01;--:--;   -999.000;      0.724; 100
1960-08-01;--:--;   -999.000;      2.976; 100
1960-09-01;--:--;   -999.000;      2.345; 100
1960-10-01;--:--;   -999.000;     13.671; 100
1960-11-01;--:--;   -999.000;      6.127; 100
1960-12-01;--:--;   -999.000;      4.300; 100
1961-01-01;--:--;   -999.000;      8.884; 100
1961-02-01;--:--;   -999.000;      4.339; 100
1961-03-01;--:--;   -999.000;      1.561; 100
1961-04-01;--:--;   -999.000;      1.392; 100
1961-05-01;--:--;   -999.000;      1.321; 100
1961-06-01;--:--;   -999.000;      1.983; 100
1961-07-01;--:--;   -999.000;      0.486; 100
1961-08-01;--:--;   -999.000;      0.599; 100
1961-09-01;--:--;   -999.000;      0.160; 100
1961-10-01;--:--;   -999.000;      0.668; 100
1961-11-01;--:--;   -999.000;      1.015; 100
1961-12-01;--:--;   -999.000;      2.960; 100
1962-01-01;--:--;   -999.000;      8.548; 100
1962-02-01;--:--;   -999.000;      3.432; 100
1962-03-01;--:--;   -999.000;      2.956; 100
1962-04-01;--:--;   -999.000;      6.047; 100
1962-05-01;--:--;   -999.000;      4.810; 100
1962-06-01;--:--;   -999.000;      1.275; 100
1962-07-01;--:--;   -999.000;      0.550; 100
1962-08-01;--:--;   -999.000;      0.177; 100
1962-09-01;--:--;   -999.000;      0.105; 100
1962-10-01;--:--;   -999.000;      0.154; 100
1962-11-01;--:--;   -999.000;      1.114; 100
1962-12-01;--:--;   -999.000;      2.987; 100
1963-01-01;--:--;   -999.000;      1.742; 100
1963-02-01;--:--;   -999.000;      2.589; 100
1963-03-01;--:--;   -999.000;      5.065; 100
1963-04-01;--:--;   -999.000;      4.816; 100
1963-05-01;--:--;   -999.000;      2.344; 100
1963-06-01;--:--;   -999.000;      2.517; 100
1963-07-01;--:--;   -999.000;      0.705; 100
1963-08-01;--:--;   -999.000;      1.215; 100
1963-09-01;--:--;   -999.000;      1.260; 100
1963-10-01;--:--;   -999.000;      0.709; 100
1963-11-01;--:--;   -999.000;      2.719; 100
1963-12-01;--:--;   -999.000;      2.148; 100
1964-01-01;--:--;   -999.000;      1.221; 100
1964-02-01;--:--;   -999.000;      1.627; 100
1964-03-01;--:--;   -999.000;      3.115; 100
1964-04-01;--:--;   -999.000;      5.470; 100
1964-05-01;--:--;   -999.000;      2.429; 100
1964-06-01;--:--;   -999.000;      1.870; 100
1964-07-01;--:--;   -999.000;      0.342; 100
1964-08-01;--:--;   -999.000;      0.267; 100
1964-09-01;--:--;   -999.000;      0.179; 100
1964-10-01;--:--;   -999.000;      0.666; 100
1964-11-01;--:--;   -999.000;      0.683; 100
1964-12-01;--:--;   -999.000;      0.864; 100
1965-01-01;--:--;   -999.000;      2.655; 100
1965-02-01;--:--;   -999.000;      1.841; 100
1965-03-01;--:--;   -999.000;      3.414; 100
1965-04-01;--:--;   -999.000;      2.756; 100
1965-05-01;--:--;   -999.000;      3.006; 100
