# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123501
# River:                 LOIRE
# Station:               USCLADES-ET-RIEUTORD (RIEUTORD)
# Country:               --
# Latitude (DD):       44.771578
# Longitude (DD):      4.156343
# Catchment area (km²):      
# Altitude (m ASL):        2065.9
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969 - 2009
# No. of years:          41
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 492
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1969-01-01;--:--;   -999.000;      2.547; 100
1969-02-01;--:--;   -999.000;      2.973; 100
1969-03-01;--:--;   -999.000;      5.840; 100
1969-04-01;--:--;   -999.000;      3.282; 100
1969-05-01;--:--;   -999.000;      4.641; 100
1969-06-01;--:--;   -999.000;      2.051; 100
1969-07-01;--:--;   -999.000;      0.934; 100
1969-08-01;--:--;   -999.000;      0.424; 100
1969-09-01;--:--;   -999.000;      1.489; 100
1969-10-01;--:--;   -999.000;      1.402; 100
1969-11-01;--:--;   -999.000;      4.029; 100
1969-12-01;--:--;   -999.000;      1.361; 100
1970-01-01;--:--;   -999.000;      6.659; 100
1970-02-01;--:--;   -999.000;      2.130; 100
1970-03-01;--:--;   -999.000;      2.111; 100
1970-04-01;--:--;   -999.000;      3.011; 100
1970-05-01;--:--;   -999.000;      3.229; 100
1970-06-01;--:--;   -999.000;      0.689; 100
1970-07-01;--:--;   -999.000;      0.402; 100
1970-08-01;--:--;   -999.000;      0.347; 100
1970-09-01;--:--;   -999.000;      0.285; 100
1970-10-01;--:--;   -999.000;      4.529; 100
1970-11-01;--:--;   -999.000;      1.949; 100
1970-12-01;--:--;   -999.000;      1.629; 100
1971-01-01;--:--;   -999.000;      1.818; 100
1971-02-01;--:--;   -999.000;      2.520; 100
1971-03-01;--:--;   -999.000;      1.693; 100
1971-04-01;--:--;   -999.000;     11.793; 100
1971-05-01;--:--;   -999.000;      5.121; 100
1971-06-01;--:--;   -999.000;      3.119; 100
1971-07-01;--:--;   -999.000;      0.737; 100
1971-08-01;--:--;   -999.000;      0.466; 100
1971-09-01;--:--;   -999.000;      0.305; 100
1971-10-01;--:--;   -999.000;      0.228; 100
1971-11-01;--:--;   -999.000;      0.321; 100
1971-12-01;--:--;   -999.000;      0.907; 100
1972-01-01;--:--;   -999.000;      5.467; 100
1972-02-01;--:--;   -999.000;      5.897; 100
1972-03-01;--:--;   -999.000;      6.076; 100
1972-04-01;--:--;   -999.000;      6.847; 100
1972-05-01;--:--;   -999.000;      2.374; 100
1972-06-01;--:--;   -999.000;      2.042; 100
1972-07-01;--:--;   -999.000;      0.816; 100
1972-08-01;--:--;   -999.000;      0.398; 100
1972-09-01;--:--;   -999.000;      0.357; 100
1972-10-01;--:--;   -999.000;      2.782; 100
1972-11-01;--:--;   -999.000;      1.587; 100
1972-12-01;--:--;   -999.000;      5.446; 100
1973-01-01;--:--;   -999.000;      2.568; 100
1973-02-01;--:--;   -999.000;      1.109; 100
1973-03-01;--:--;   -999.000;      0.925; 100
1973-04-01;--:--;   -999.000;      3.133; 100
1973-05-01;--:--;   -999.000;      4.337; 100
1973-06-01;--:--;   -999.000;      1.324; 100
1973-07-01;--:--;   -999.000;      0.540; 100
1973-08-01;--:--;   -999.000;      0.302; 100
1973-09-01;--:--;   -999.000;      0.459; 100
1973-10-01;--:--;   -999.000;      1.787; 100
1973-11-01;--:--;   -999.000;      2.527; 100
