# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123620
# River:                 DORE
# Station:               TOURS-SUR-MEYMONT (GIROUX)
# Country:               --
# Latitude (DD):       45.688438
# Longitude (DD):      3.609896
# Catchment area (km²):      
# Altitude (m ASL):        447.75
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936 - 2008
# No. of years:          73
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 876
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1936-01-01;--:--;   -999.000;     20.574; 100
1936-02-01;--:--;   -999.000;     22.417; 100
1936-03-01;--:--;   -999.000;     12.981; 100
1936-04-01;--:--;   -999.000;     20.940; 100
1936-05-01;--:--;   -999.000;     14.532; 100
1936-06-01;--:--;   -999.000;     21.497; 100
1936-07-01;--:--;   -999.000;     11.281; 100
1936-08-01;--:--;   -999.000;     11.294; 100
1936-09-01;--:--;   -999.000;      4.297; 100
1936-10-01;--:--;   -999.000;      4.190; 100
1936-11-01;--:--;   -999.000;      6.027; 100
1936-12-01;--:--;   -999.000;      7.745; 100
1937-01-01;--:--;   -999.000;      6.355; 100
1937-02-01;--:--;   -999.000;     26.500; 100
1937-03-01;--:--;   -999.000;     27.558; 100
1937-04-01;--:--;   -999.000;     17.317; 100
1937-05-01;--:--;   -999.000;     10.506; 100
1937-06-01;--:--;   -999.000;     21.227; 100
1937-07-01;--:--;   -999.000;      2.684; 100
1937-08-01;--:--;   -999.000;      1.610; 100
1937-09-01;--:--;   -999.000;      2.090; 100
1937-10-01;--:--;   -999.000;      2.665; 100
1937-11-01;--:--;   -999.000;      7.523; 100
1937-12-01;--:--;   -999.000;     14.984; 100
1938-01-01;--:--;   -999.000;     12.084; 100
1938-02-01;--:--;   -999.000;     19.904; 100
1938-03-01;--:--;   -999.000;     11.661; 100
1938-04-01;--:--;   -999.000;      4.170; 100
1938-05-01;--:--;   -999.000;      4.923; 100
1938-06-01;--:--;   -999.000;      5.277; 100
1938-07-01;--:--;   -999.000;      4.890; 100
1938-08-01;--:--;   -999.000;      5.110; 100
1938-09-01;--:--;   -999.000;      9.797; 100
1938-10-01;--:--;   -999.000;      8.574; 100
1938-11-01;--:--;   -999.000;      6.840; 100
1938-12-01;--:--;   -999.000;      6.797; 100
1939-01-01;--:--;   -999.000;     21.694; 100
1939-02-01;--:--;   -999.000;     11.725; 100
1939-03-01;--:--;   -999.000;     13.981; 100
1939-04-01;--:--;   -999.000;     23.140; 100
1939-05-01;--:--;   -999.000;     11.458; 100
1939-06-01;--:--;   -999.000;      6.297; 100
1939-07-01;--:--;   -999.000;      6.135; 100
