# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123630
# River:                 RUISSEAU AILLOUX
# Station:               MANGLIEU (MOULIN DE LAVAUR)
# Country:               --
# Latitude (DD):       45.62191
# Longitude (DD):      3.357515
# Catchment area (km²):      
# Altitude (m ASL):        490.16
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2008
# No. of years:          42
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 504
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-01-01;--:--;   -999.000;      1.557;  87
1967-02-01;--:--;   -999.000;      0.569; 100
1967-03-01;--:--;   -999.000;      0.501; 100
1967-04-01;--:--;   -999.000;      0.489; 100
1967-05-01;--:--;   -999.000;      0.518; 100
1967-06-01;--:--;   -999.000;      0.827;  70
1967-07-01;--:--;   -999.000;      0.178; 100
1967-08-01;--:--;   -999.000;      0.078;  90
1967-09-01;--:--;   -999.000;      0.095;  67
1967-10-01;--:--;   -999.000;   -999.000;  26
1967-11-01;--:--;   -999.000;   -999.000;   0
1967-12-01;--:--;   -999.000;   -999.000;   0
1968-01-01;--:--;   -999.000;   -999.000;   0
1968-02-01;--:--;   -999.000;   -999.000;   0
1968-03-01;--:--;   -999.000;      0.580;  84
1968-04-01;--:--;   -999.000;      0.381; 100
1968-05-01;--:--;   -999.000;      1.835; 100
1968-06-01;--:--;   -999.000;      0.875; 100
1968-07-01;--:--;   -999.000;      0.248; 100
1968-08-01;--:--;   -999.000;      0.557; 100
1968-09-01;--:--;   -999.000;      0.418; 100
1968-10-01;--:--;   -999.000;      0.458; 100
1968-11-01;--:--;   -999.000;      0.802; 100
1968-12-01;--:--;   -999.000;      1.100; 100
1969-01-01;--:--;   -999.000;      1.080; 100
1969-02-01;--:--;   -999.000;      1.472; 100
1969-03-01;--:--;   -999.000;      1.845; 100
1969-04-01;--:--;   -999.000;      1.194; 100
1969-05-01;--:--;   -999.000;      1.496; 100
1969-06-01;--:--;   -999.000;      1.590; 100
1969-07-01;--:--;   -999.000;      0.331; 100
1969-08-01;--:--;   -999.000;      0.216; 100
1969-09-01;--:--;   -999.000;      0.624; 100
1969-10-01;--:--;   -999.000;      0.213; 100
1969-11-01;--:--;   -999.000;      0.303; 100
1969-12-01;--:--;   -999.000;      0.921; 100
1970-01-01;--:--;   -999.000;      0.738; 100
1970-02-01;--:--;   -999.000;      1.159; 100
1970-03-01;--:--;   -999.000;      1.598; 100
1970-04-01;--:--;   -999.000;      0.913; 100
1970-05-01;--:--;   -999.000;      1.129; 100
1970-06-01;--:--;   -999.000;      0.530; 100
1970-07-01;--:--;   -999.000;      0.168; 100
1970-08-01;--:--;   -999.000;      0.055; 100
1970-09-01;--:--;   -999.000;      0.025; 100
1970-10-01;--:--;   -999.000;      0.204; 100
1970-11-01;--:--;   -999.000;      0.118; 100
1970-12-01;--:--;   -999.000;      0.263; 100
1971-01-01;--:--;   -999.000;      0.959; 100
1971-02-01;--:--;   -999.000;      1.965; 100
1971-03-01;--:--;   -999.000;      1.589; 100
1971-04-01;--:--;   -999.000;      0.584; 100
1971-05-01;--:--;   -999.000;      0.679; 100
1971-06-01;--:--;   -999.000;      0.591; 100
1971-07-01;--:--;   -999.000;      0.388; 100
1971-08-01;--:--;   -999.000;      0.313; 100
1971-09-01;--:--;   -999.000;      0.155; 100
1971-10-01;--:--;   -999.000;      0.105; 100
1971-11-01;--:--;   -999.000;      0.703; 100
1971-12-01;--:--;   -999.000;      0.561; 100
1972-01-01;--:--;   -999.000;      0.600; 100
1972-02-01;--:--;   -999.000;      1.244; 100
1972-03-01;--:--;   -999.000;      0.568; 100
1972-04-01;--:--;   -999.000;      0.524; 100
1972-05-01;--:--;   -999.000;      0.911; 100
1972-06-01;--:--;   -999.000;      0.280; 100
1972-07-01;--:--;   -999.000;      0.118; 100
1972-08-01;--:--;   -999.000;      0.139; 100
1972-09-01;--:--;   -999.000;      0.174; 100
1972-10-01;--:--;   -999.000;      0.293; 100
1972-11-01;--:--;   -999.000;      0.353; 100
1972-12-01;--:--;   -999.000;      0.919; 100
1973-01-01;--:--;   -999.000;      1.062; 100
1973-02-01;--:--;   -999.000;      0.827; 100
1973-03-01;--:--;   -999.000;      0.640; 100
1973-04-01;--:--;   -999.000;      0.475; 100
1973-05-01;--:--;   -999.000;      0.346; 100
1973-06-01;--:--;   -999.000;      0.647; 100
1973-07-01;--:--;   -999.000;      0.266; 100
1973-08-01;--:--;   -999.000;      0.256; 100
1973-09-01;--:--;   -999.000;      0.176; 100
1973-10-01;--:--;   -999.000;      0.586; 100
1973-11-01;--:--;   -999.000;      0.274; 100
1973-12-01;--:--;   -999.000;      1.323; 100
1974-01-01;--:--;   -999.000;      0.406; 100
1974-02-01;--:--;   -999.000;      1.102; 100
1974-03-01;--:--;   -999.000;      0.780; 100
1974-04-01;--:--;   -999.000;      0.567; 100
1974-05-01;--:--;   -999.000;      1.936; 100
1974-06-01;--:--;   -999.000;      0.186; 100
1974-07-01;--:--;   -999.000;      0.081; 100
1974-08-01;--:--;   -999.000;      0.089; 100
1974-09-01;--:--;   -999.000;      0.165; 100
1974-10-01;--:--;   -999.000;      0.849; 100
1974-11-01;--:--;   -999.000;      2.021; 100
1974-12-01;--:--;   -999.000;      1.048; 100
1975-01-01;--:--;   -999.000;      0.876; 100
1975-02-01;--:--;   -999.000;      0.940; 100
1975-03-01;--:--;   -999.000;      1.630; 100
1975-04-01;--:--;   -999.000;      0.664; 100
1975-05-01;--:--;   -999.000;      0.403; 100
1975-06-01;--:--;   -999.000;      0.667; 100
1975-07-01;--:--;   -999.000;      0.415; 100
1975-08-01;--:--;   -999.000;      0.273; 100
1975-09-01;--:--;   -999.000;      1.410; 100
1975-10-01;--:--;   -999.000;      0.361; 100
1975-11-01;--:--;   -999.000;      1.990; 100
1975-12-01;--:--;   -999.000;      0.492; 100
1976-01-01;--:--;   -999.000;      0.400; 100
1976-02-01;--:--;   -999.000;      1.088; 100
1976-03-01;--:--;   -999.000;      0.365; 100
1976-04-01;--:--;   -999.000;      0.359; 100
1976-05-01;--:--;   -999.000;      0.356; 100
1976-06-01;--:--;   -999.000;      0.055; 100
1976-07-01;--:--;   -999.000;      0.057; 100
1976-08-01;--:--;   -999.000;      0.061; 100
1976-09-01;--:--;   -999.000;      0.483; 100
1976-10-01;--:--;   -999.000;      1.290; 100
1976-11-01;--:--;   -999.000;      2.681; 100
1976-12-01;--:--;   -999.000;      1.046; 100
1977-01-01;--:--;   -999.000;      0.758; 100
1977-02-01;--:--;   -999.000;      0.952; 100
1977-03-01;--:--;   -999.000;      1.040; 100
1977-04-01;--:--;   -999.000;      0.922; 100
1977-05-01;--:--;   -999.000;      1.595; 100
1977-06-01;--:--;   -999.000;      0.291; 100
1977-07-01;--:--;   -999.000;      0.308; 100
1977-08-01;--:--;   -999.000;      1.140; 100
1977-09-01;--:--;   -999.000;      0.327; 100
1977-10-01;--:--;   -999.000;      0.248; 100
1977-11-01;--:--;   -999.000;      0.227; 100
1977-12-01;--:--;   -999.000;      0.673; 100
1978-01-01;--:--;   -999.000;      1.117; 100
1978-02-01;--:--;   -999.000;      2.176; 100
1978-03-01;--:--;   -999.000;      0.680; 100
1978-04-01;--:--;   -999.000;      1.097; 100
1978-05-01;--:--;   -999.000;      0.753; 100
1978-06-01;--:--;   -999.000;      0.131; 100
1978-07-01;--:--;   -999.000;      0.043; 100
1978-08-01;--:--;   -999.000;      0.036; 100
1978-09-01;--:--;   -999.000;      0.021; 100
1978-10-01;--:--;   -999.000;      0.023; 100
1978-11-01;--:--;   -999.000;      0.021; 100
1978-12-01;--:--;   -999.000;      0.208; 100
1979-01-01;--:--;   -999.000;      0.266; 100
1979-02-01;--:--;   -999.000;      0.697; 100
1979-03-01;--:--;   -999.000;      0.441; 100
1979-04-01;--:--;   -999.000;      0.470; 100
1979-05-01;--:--;   -999.000;      2.005; 100
1979-06-01;--:--;   -999.000;      1.888; 100
1979-07-01;--:--;   -999.000;      0.188; 100
1979-08-01;--:--;   -999.000;      0.433; 100
1979-09-01;--:--;   -999.000;      0.235; 100
1979-10-01;--:--;   -999.000;      0.931; 100
1979-11-01;--:--;   -999.000;      0.517; 100
1979-12-01;--:--;   -999.000;      0.792; 100
1980-01-01;--:--;   -999.000;      1.000; 100
1980-02-01;--:--;   -999.000;      0.902; 100
1980-03-01;--:--;   -999.000;      1.761; 100
1980-04-01;--:--;   -999.000;      1.074; 100
1980-05-01;--:--;   -999.000;      1.006; 100
1980-06-01;--:--;   -999.000;      0.387; 100
1980-07-01;--:--;   -999.000;      0.140; 100
1980-08-01;--:--;   -999.000;      0.152; 100
1980-09-01;--:--;   -999.000;      0.136; 100
1980-10-01;--:--;   -999.000;      0.412; 100
1980-11-01;--:--;   -999.000;      1.404; 100
1980-12-01;--:--;   -999.000;      3.002; 100
1981-01-01;--:--;   -999.000;      1.574; 100
1981-02-01;--:--;   -999.000;      0.881; 100
1981-03-01;--:--;   -999.000;      1.465; 100
1981-04-01;--:--;   -999.000;      1.106; 100
