# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123640
# River:                 ALAGNON
# Station:               LEMPDES
# Country:               --
# Latitude (DD):       45.381425
# Longitude (DD):      3.264117
# Catchment area (km²):      
# Altitude (m ASL):        503.73
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 543
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-03-01;--:--;   -999.000;     19.568; 100
1967-04-01;--:--;   -999.000;      8.604; 100
1967-05-01;--:--;   -999.000;     11.078; 100
1967-06-01;--:--;   -999.000;      5.730; 100
1967-07-01;--:--;   -999.000;      2.771; 100
1967-08-01;--:--;   -999.000;      1.870; 100
1967-09-01;--:--;   -999.000;      1.963; 100
1967-10-01;--:--;   -999.000;      1.686; 100
1967-11-01;--:--;   -999.000;     10.092; 100
1967-12-01;--:--;   -999.000;      8.486; 100
1968-01-01;--:--;   -999.000;     26.852; 100
1968-02-01;--:--;   -999.000;     18.762; 100
1968-03-01;--:--;   -999.000;     15.855; 100
1968-04-01;--:--;   -999.000;     18.333; 100
1968-05-01;--:--;   -999.000;     28.213; 100
1968-06-01;--:--;   -999.000;      7.468; 100
1968-07-01;--:--;   -999.000;      2.682; 100
1968-08-01;--:--;   -999.000;      3.937; 100
1968-09-01;--:--;   -999.000;      7.612; 100
1968-10-01;--:--;   -999.000;      5.232; 100
1968-11-01;--:--;   -999.000;      5.328; 100
1968-12-01;--:--;   -999.000;     15.368; 100
1969-01-01;--:--;   -999.000;     20.519; 100
1969-02-01;--:--;   -999.000;     13.711; 100
1969-03-01;--:--;   -999.000;     28.239; 100
1969-04-01;--:--;   -999.000;     22.077; 100
1969-05-01;--:--;   -999.000;     23.190; 100
1969-06-01;--:--;   -999.000;     13.782; 100
1969-07-01;--:--;   -999.000;      5.432; 100
1969-08-01;--:--;   -999.000;      3.834; 100
1969-09-01;--:--;   -999.000;      8.705; 100
1969-10-01;--:--;   -999.000;      3.830; 100
1969-11-01;--:--;   -999.000;      8.646; 100
1969-12-01;--:--;   -999.000;     11.750; 100
