# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123641
# River:                 ALAGNON
# Station:               JOURSAC (JOURSAC-LE-VIALARD)
# Country:               --
# Latitude (DD):       45.161595
# Longitude (DD):      3.028799
# Catchment area (km²):      
# Altitude (m ASL):        924.43
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1948 - 2012
# No. of years:          65
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 773
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1948-01-01;--:--;   -999.000;     12.792; 100
1948-02-01;--:--;   -999.000;      6.548; 100
1948-03-01;--:--;   -999.000;      2.519; 100
1948-04-01;--:--;   -999.000;      4.518; 100
1948-05-01;--:--;   -999.000;      7.015; 100
1948-06-01;--:--;   -999.000;      5.174; 100
1948-07-01;--:--;   -999.000;      1.924; 100
1948-08-01;--:--;   -999.000;      2.822; 100
1948-09-01;--:--;   -999.000;      2.423; 100
1948-10-01;--:--;   -999.000;      1.509; 100
1948-11-01;--:--;   -999.000;      2.065; 100
1948-12-01;--:--;   -999.000;      2.373; 100
1949-01-01;--:--;   -999.000;      2.824; 100
1949-02-01;--:--;   -999.000;      1.859; 100
1949-03-01;--:--;   -999.000;      3.528; 100
1949-04-01;--:--;   -999.000;      2.358; 100
1949-05-01;--:--;   -999.000;      1.763; 100
1949-06-01;--:--;   -999.000;      1.930; 100
1949-07-01;--:--;   -999.000;      0.580; 100
1949-08-01;--:--;   -999.000;      0.507; 100
1949-09-01;--:--;   -999.000;      0.753; 100
1949-10-01;--:--;   -999.000;      1.139; 100
1949-11-01;--:--;   -999.000;      6.996; 100
1949-12-01;--:--;   -999.000;      7.646; 100
1950-01-01;--:--;   -999.000;      2.557; 100
1950-02-01;--:--;   -999.000;     11.339; 100
1950-03-01;--:--;   -999.000;      6.754; 100
1950-04-01;--:--;   -999.000;      8.009; 100
1950-05-01;--:--;   -999.000;      6.288; 100
1950-06-01;--:--;   -999.000;      2.803; 100
1950-07-01;--:--;   -999.000;      0.736; 100
1950-08-01;--:--;   -999.000;      0.596; 100
1950-09-01;--:--;   -999.000;      0.832; 100
1950-10-01;--:--;   -999.000;      1.311; 100
1950-11-01;--:--;   -999.000;     10.708; 100
1950-12-01;--:--;   -999.000;      4.737; 100
1951-01-01;--:--;   -999.000;      8.999; 100
1951-02-01;--:--;   -999.000;     11.005; 100
1951-03-01;--:--;   -999.000;     17.292; 100
1951-04-01;--:--;   -999.000;     12.168; 100
