# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123645
# River:                 ALLANCHE
# Station:               JOURSAC (PONT DE VERNET)
# Country:               --
# Latitude (DD):       45.133503
# Longitude (DD):      3.006412
# Catchment area (km²):      
# Altitude (m ASL):        800.51
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965 - 2012
# No. of years:          48
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 569
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1965-01-01;--:--;   -999.000;      2.823; 100
1965-02-01;--:--;   -999.000;      3.080; 100
1965-03-01;--:--;   -999.000;      4.945; 100
1965-04-01;--:--;   -999.000;      4.232; 100
1965-05-01;--:--;   -999.000;      5.452; 100
1965-06-01;--:--;   -999.000;      3.714; 100
1965-07-01;--:--;   -999.000;      1.455; 100
1965-08-01;--:--;   -999.000;      0.928; 100
1965-09-01;--:--;   -999.000;      3.004; 100
1965-10-01;--:--;   -999.000;      3.373; 100
1965-11-01;--:--;   -999.000;      5.729; 100
1965-12-01;--:--;   -999.000;     11.221; 100
1966-01-01;--:--;   -999.000;      8.985; 100
1966-02-01;--:--;   -999.000;      8.282; 100
1966-03-01;--:--;   -999.000;      3.732; 100
1966-04-01;--:--;   -999.000;      4.713; 100
1966-05-01;--:--;   -999.000;      3.285; 100
1966-06-01;--:--;   -999.000;      1.416; 100
1966-07-01;--:--;   -999.000;      0.938; 100
1966-08-01;--:--;   -999.000;      0.776; 100
1966-09-01;--:--;   -999.000;      0.717; 100
1966-10-01;--:--;   -999.000;      1.267; 100
1966-11-01;--:--;   -999.000;      2.350; 100
1966-12-01;--:--;   -999.000;      8.760; 100
1967-01-01;--:--;   -999.000;      6.211; 100
1967-02-01;--:--;   -999.000;      6.223; 100
1967-03-01;--:--;   -999.000;      5.787; 100
1967-04-01;--:--;   -999.000;      2.505; 100
1967-05-01;--:--;   -999.000;      2.644; 100
1967-06-01;--:--;   -999.000;      1.651; 100
1967-07-01;--:--;   -999.000;      0.991; 100
1967-08-01;--:--;   -999.000;      0.766; 100
1967-09-01;--:--;   -999.000;      0.712; 100
1967-10-01;--:--;   -999.000;      0.741; 100
1967-11-01;--:--;   -999.000;      2.239; 100
1967-12-01;--:--;   -999.000;      1.875; 100
1968-01-01;--:--;   -999.000;      6.180; 100
1968-02-01;--:--;   -999.000;      4.088; 100
1968-03-01;--:--;   -999.000;      4.826; 100
1968-04-01;--:--;   -999.000;      4.794; 100
1968-05-01;--:--;   -999.000;      6.021; 100
1968-06-01;--:--;   -999.000;      1.966; 100
1968-07-01;--:--;   -999.000;      0.940; 100
1968-08-01;--:--;   -999.000;      1.024; 100
1968-09-01;--:--;   -999.000;      1.875; 100
1968-10-01;--:--;   -999.000;      1.753; 100
1968-11-01;--:--;   -999.000;      1.821; 100
1968-12-01;--:--;   -999.000;      4.601; 100
1969-01-01;--:--;   -999.000;      5.079; 100
1969-02-01;--:--;   -999.000;      4.043; 100
1969-03-01;--:--;   -999.000;      7.818; 100
1969-04-01;--:--;   -999.000;      5.044; 100
1969-05-01;--:--;   -999.000;      5.823; 100
1969-06-01;--:--;   -999.000;      3.634; 100
1969-07-01;--:--;   -999.000;      1.567; 100
1969-08-01;--:--;   -999.000;      1.281; 100
1969-09-01;--:--;   -999.000;      2.854; 100
1969-10-01;--:--;   -999.000;      1.204; 100
1969-11-01;--:--;   -999.000;      2.112; 100
1969-12-01;--:--;   -999.000;      3.593; 100
1970-01-01;--:--;   -999.000;      6.371; 100
1970-02-01;--:--;   -999.000;     10.734; 100
1970-03-01;--:--;   -999.000;      7.115; 100
1970-04-01;--:--;   -999.000;      8.955; 100
1970-05-01;--:--;   -999.000;      3.827; 100
1970-06-01;--:--;   -999.000;      1.665; 100
1970-07-01;--:--;   -999.000;      0.976; 100
1970-08-01;--:--;   -999.000;      0.766; 100
1970-09-01;--:--;   -999.000;      0.617; 100
1970-10-01;--:--;   -999.000;      1.050; 100
1970-11-01;--:--;   -999.000;      1.295; 100
1970-12-01;--:--;   -999.000;      2.163; 100
1971-01-01;--:--;   -999.000;      4.010; 100
1971-02-01;--:--;   -999.000;      4.323; 100
1971-03-01;--:--;   -999.000;      2.677; 100
1971-04-01;--:--;   -999.000;      8.938; 100
1971-05-01;--:--;   -999.000;      3.680; 100
1971-06-01;--:--;   -999.000;      3.898; 100
1971-07-01;--:--;   -999.000;      1.911; 100
1971-08-01;--:--;   -999.000;      1.953; 100
1971-09-01;--:--;   -999.000;      1.273; 100
1971-10-01;--:--;   -999.000;      0.784; 100
1971-11-01;--:--;   -999.000;      1.364; 100
1971-12-01;--:--;   -999.000;      1.758; 100
1972-01-01;--:--;   -999.000;      2.994; 100
1972-02-01;--:--;   -999.000;      6.351; 100
1972-03-01;--:--;   -999.000;      4.309; 100
1972-04-01;--:--;   -999.000;      2.991; 100
1972-05-01;--:--;   -999.000;      1.831; 100
1972-06-01;--:--;   -999.000;      1.455; 100
1972-07-01;--:--;   -999.000;      0.617; 100
1972-08-01;--:--;   -999.000;      0.524; 100
1972-09-01;--:--;   -999.000;      0.582; 100
1972-10-01;--:--;   -999.000;      0.644; 100
1972-11-01;--:--;   -999.000;      1.603; 100
1972-12-01;--:--;   -999.000;      2.782; 100
1973-01-01;--:--;   -999.000;      2.628; 100
1973-02-01;--:--;   -999.000;      2.276; 100
1973-03-01;--:--;   -999.000;      2.875; 100
1973-04-01;--:--;   -999.000;      3.652; 100
1973-05-01;--:--;   -999.000;      2.181; 100
1973-06-01;--:--;   -999.000;      1.412; 100
1973-07-01;--:--;   -999.000;      1.121; 100
1973-08-01;--:--;   -999.000;      1.111; 100
1973-09-01;--:--;   -999.000;      1.217; 100
1973-10-01;--:--;   -999.000;      2.011; 100
1973-11-01;--:--;   -999.000;      1.507; 100
1973-12-01;--:--;   -999.000;      4.707; 100
1974-01-01;--:--;   -999.000;      3.879; 100
1974-02-01;--:--;   -999.000;      5.219; 100
1974-03-01;--:--;   -999.000;      3.413; 100
1974-04-01;--:--;   -999.000;      1.839; 100
1974-05-01;--:--;   -999.000;      2.040; 100
1974-06-01;--:--;   -999.000;      1.019; 100
1974-07-01;--:--;   -999.000;      0.733; 100
1974-08-01;--:--;   -999.000;      0.592; 100
1974-09-01;--:--;   -999.000;      1.837; 100
1974-10-01;--:--;   -999.000;      5.038; 100
1974-11-01;--:--;   -999.000;      5.833; 100
1974-12-01;--:--;   -999.000;      4.670; 100
