# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123650
# River:                 SENOUIRE
# Station:               PAULHAGUET
# Country:               --
# Latitude (DD):       45.196627
# Longitude (DD):      3.522018
# Catchment area (km²):      
# Altitude (m ASL):        591.8
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961 - 2012
# No. of years:          52
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 617
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1961-01-01;--:--;   -999.000;      2.427; 100
1961-02-01;--:--;   -999.000;      3.973; 100
1961-03-01;--:--;   -999.000;      0.708; 100
1961-04-01;--:--;   -999.000;      0.651; 100
1961-05-01;--:--;   -999.000;      0.477; 100
1961-06-01;--:--;   -999.000;      0.458; 100
1961-07-01;--:--;   -999.000;      0.223; 100
1961-08-01;--:--;   -999.000;      0.384; 100
1961-09-01;--:--;   -999.000;      0.064; 100
1961-10-01;--:--;   -999.000;      0.428; 100
1961-11-01;--:--;   -999.000;      0.826; 100
1961-12-01;--:--;   -999.000;      1.424; 100
1962-01-01;--:--;   -999.000;      1.358; 100
1962-02-01;--:--;   -999.000;      1.405; 100
1962-03-01;--:--;   -999.000;      2.474; 100
1962-04-01;--:--;   -999.000;      2.660; 100
1962-05-01;--:--;   -999.000;      2.184; 100
1962-06-01;--:--;   -999.000;      0.678; 100
1962-07-01;--:--;   -999.000;      0.225; 100
1962-08-01;--:--;   -999.000;      0.072; 100
1962-09-01;--:--;   -999.000;      0.216; 100
1962-10-01;--:--;   -999.000;      0.155; 100
1962-11-01;--:--;   -999.000;      0.609; 100
1962-12-01;--:--;   -999.000;      2.390; 100
1963-01-01;--:--;   -999.000;   -999.000;   0
1963-02-01;--:--;   -999.000;      0.908; 100
1963-03-01;--:--;   -999.000;      4.055; 100
1963-04-01;--:--;   -999.000;      4.880; 100
1963-05-01;--:--;   -999.000;      1.595; 100
1963-06-01;--:--;   -999.000;      2.807; 100
1963-07-01;--:--;   -999.000;      2.515; 100
1963-08-01;--:--;   -999.000;      3.137; 100
1963-09-01;--:--;   -999.000;      1.573; 100
1963-10-01;--:--;   -999.000;      0.725; 100
1963-11-01;--:--;   -999.000;      5.221; 100
1963-12-01;--:--;   -999.000;   -999.000;   0
1964-01-01;--:--;   -999.000;      0.819; 100
1964-02-01;--:--;   -999.000;      1.104; 100
1964-03-01;--:--;   -999.000;      4.028; 100
1964-04-01;--:--;   -999.000;      2.835; 100
1964-05-01;--:--;   -999.000;      2.662; 100
1964-06-01;--:--;   -999.000;      1.149; 100
1964-07-01;--:--;   -999.000;      0.163; 100
1964-08-01;--:--;   -999.000;      0.157; 100
1964-09-01;--:--;   -999.000;      0.178; 100
1964-10-01;--:--;   -999.000;      0.635; 100
1964-11-01;--:--;   -999.000;      0.844; 100
1964-12-01;--:--;   -999.000;      0.938; 100
1965-01-01;--:--;   -999.000;      1.766; 100
1965-02-01;--:--;   -999.000;      1.839; 100
1965-03-01;--:--;   -999.000;      2.508; 100
1965-04-01;--:--;   -999.000;      2.049; 100
1965-05-01;--:--;   -999.000;      3.217; 100
1965-06-01;--:--;   -999.000;      2.325; 100
1965-07-01;--:--;   -999.000;      0.828; 100
1965-08-01;--:--;   -999.000;      0.237; 100
1965-09-01;--:--;   -999.000;      1.499; 100
1965-10-01;--:--;   -999.000;      1.583; 100
1965-11-01;--:--;   -999.000;      1.864; 100
1965-12-01;--:--;   -999.000;      3.748; 100
1966-01-01;--:--;   -999.000;      4.015; 100
1966-02-01;--:--;   -999.000;      2.377; 100
1966-03-01;--:--;   -999.000;      2.117; 100
1966-04-01;--:--;   -999.000;      1.682; 100
1966-05-01;--:--;   -999.000;      3.231; 100
1966-06-01;--:--;   -999.000;      0.700; 100
1966-07-01;--:--;   -999.000;      0.331; 100
1966-08-01;--:--;   -999.000;      0.167; 100
1966-09-01;--:--;   -999.000;      0.165; 100
1966-10-01;--:--;   -999.000;      0.608; 100
1966-11-01;--:--;   -999.000;      1.835; 100
1966-12-01;--:--;   -999.000;      3.242; 100
1967-01-01;--:--;   -999.000;      2.134; 100
1967-02-01;--:--;   -999.000;      1.105; 100
1967-03-01;--:--;   -999.000;      1.271; 100
1967-04-01;--:--;   -999.000;      0.623; 100
1967-05-01;--:--;   -999.000;      0.845; 100
1967-06-01;--:--;   -999.000;      0.686; 100
1967-07-01;--:--;   -999.000;      0.317; 100
1967-08-01;--:--;   -999.000;      0.349; 100
1967-09-01;--:--;   -999.000;      0.552; 100
1967-10-01;--:--;   -999.000;      0.361; 100
1967-11-01;--:--;   -999.000;      0.843; 100
1967-12-01;--:--;   -999.000;      1.036; 100
1968-01-01;--:--;   -999.000;      3.381; 100
1968-02-01;--:--;   -999.000;      4.696; 100
1968-03-01;--:--;   -999.000;      2.122; 100
1968-04-01;--:--;   -999.000;      1.355; 100
1968-05-01;--:--;   -999.000;      3.025; 100
1968-06-01;--:--;   -999.000;      1.515; 100
1968-07-01;--:--;   -999.000;      0.455; 100
1968-08-01;--:--;   -999.000;      0.536; 100
1968-09-01;--:--;   -999.000;      0.716; 100
1968-10-01;--:--;   -999.000;      1.058; 100
1968-11-01;--:--;   -999.000;      1.532; 100
1968-12-01;--:--;   -999.000;      2.453; 100
1969-01-01;--:--;   -999.000;      3.287; 100
1969-02-01;--:--;   -999.000;      2.697; 100
1969-03-01;--:--;   -999.000;      3.925; 100
1969-04-01;--:--;   -999.000;      2.785; 100
1969-05-01;--:--;   -999.000;      4.426; 100
1969-06-01;--:--;   -999.000;      3.644; 100
1969-07-01;--:--;   -999.000;      1.330; 100
1969-08-01;--:--;   -999.000;      0.540; 100
1969-09-01;--:--;   -999.000;      1.986; 100
1969-10-01;--:--;   -999.000;      0.777; 100
1969-11-01;--:--;   -999.000;      0.977; 100
1969-12-01;--:--;   -999.000;      1.924; 100
1970-01-01;--:--;   -999.000;      2.673; 100
1970-02-01;--:--;   -999.000;      3.358; 100
1970-03-01;--:--;   -999.000;      5.022; 100
1970-04-01;--:--;   -999.000;      5.455; 100
1970-05-01;--:--;   -999.000;      2.024; 100
1970-06-01;--:--;   -999.000;      0.644; 100
1970-07-01;--:--;   -999.000;      0.250; 100
1970-08-01;--:--;   -999.000;      0.223; 100
1970-09-01;--:--;   -999.000;      0.180; 100
1970-10-01;--:--;   -999.000;      0.301; 100
1970-11-01;--:--;   -999.000;      0.380; 100
1970-12-01;--:--;   -999.000;      0.390; 100
1971-01-01;--:--;   -999.000;      1.923; 100
1971-02-01;--:--;   -999.000;      3.189; 100
1971-03-01;--:--;   -999.000;      2.997; 100
1971-04-01;--:--;   -999.000;      4.353; 100
1971-05-01;--:--;   -999.000;      2.696; 100
1971-06-01;--:--;   -999.000;      1.678; 100
1971-07-01;--:--;   -999.000;      0.799; 100
1971-08-01;--:--;   -999.000;      0.257; 100
1971-09-01;--:--;   -999.000;      0.173; 100
1971-10-01;--:--;   -999.000;      0.183; 100
1971-11-01;--:--;   -999.000;      0.855; 100
1971-12-01;--:--;   -999.000;      1.184; 100
1972-01-01;--:--;   -999.000;      2.438; 100
1972-02-01;--:--;   -999.000;      3.548; 100
1972-03-01;--:--;   -999.000;      1.861; 100
1972-04-01;--:--;   -999.000;      1.679; 100
1972-05-01;--:--;   -999.000;      1.359; 100
1972-06-01;--:--;   -999.000;      0.794; 100
1972-07-01;--:--;   -999.000;      0.404; 100
1972-08-01;--:--;   -999.000;      0.316; 100
1972-09-01;--:--;   -999.000;      0.383; 100
1972-10-01;--:--;   -999.000;      0.518; 100
1972-11-01;--:--;   -999.000;      0.762; 100
1972-12-01;--:--;   -999.000;      1.647; 100
1973-01-01;--:--;   -999.000;      1.428; 100
1973-02-01;--:--;   -999.000;      1.652; 100
1973-03-01;--:--;   -999.000;      2.110; 100
1973-04-01;--:--;   -999.000;      2.138; 100
1973-05-01;--:--;   -999.000;      1.282; 100
1973-06-01;--:--;   -999.000;      1.327; 100
1973-07-01;--:--;   -999.000;      1.257; 100
1973-08-01;--:--;   -999.000;      0.583; 100
1973-09-01;--:--;   -999.000;      0.388; 100
1973-10-01;--:--;   -999.000;      3.379; 100
1973-11-01;--:--;   -999.000;      0.726; 100
1973-12-01;--:--;   -999.000;      2.368; 100
1974-01-01;--:--;   -999.000;      1.519; 100
1974-02-01;--:--;   -999.000;      3.062; 100
1974-03-01;--:--;   -999.000;      3.494; 100
1974-04-01;--:--;   -999.000;      1.279; 100
1974-05-01;--:--;   -999.000;      2.465; 100
1974-06-01;--:--;   -999.000;      0.932; 100
1974-07-01;--:--;   -999.000;      0.351; 100
1974-08-01;--:--;   -999.000;      0.214; 100
1974-09-01;--:--;   -999.000;      0.353; 100
1974-10-01;--:--;   -999.000;      1.312; 100
1974-11-01;--:--;   -999.000;      4.424; 100
1974-12-01;--:--;   -999.000;      3.361; 100
1975-01-01;--:--;   -999.000;      1.933; 100
1975-02-01;--:--;   -999.000;      1.728; 100
1975-03-01;--:--;   -999.000;      1.968; 100
1975-04-01;--:--;   -999.000;      1.499; 100
1975-05-01;--:--;   -999.000;      1.498; 100
1975-06-01;--:--;   -999.000;      1.212; 100
1975-07-01;--:--;   -999.000;      0.492; 100
1975-08-01;--:--;   -999.000;      0.464; 100
1975-09-01;--:--;   -999.000;      1.574; 100
1975-10-01;--:--;   -999.000;      0.729; 100
1975-11-01;--:--;   -999.000;      1.876; 100
1975-12-01;--:--;   -999.000;      1.690; 100
1976-01-01;--:--;   -999.000;      0.726; 100
1976-02-01;--:--;   -999.000;      1.655; 100
1976-03-01;--:--;   -999.000;      1.038; 100
1976-04-01;--:--;   -999.000;      0.958; 100
1976-05-01;--:--;   -999.000;      1.087; 100
1976-06-01;--:--;   -999.000;      0.256; 100
1976-07-01;--:--;   -999.000;      0.205; 100
1976-08-01;--:--;   -999.000;      0.145; 100
1976-09-01;--:--;   -999.000;      0.461; 100
1976-10-01;--:--;   -999.000;      2.514; 100
1976-11-01;--:--;   -999.000;      4.932; 100
1976-12-01;--:--;   -999.000;      3.151; 100
1977-01-01;--:--;   -999.000;      2.080; 100
1977-02-01;--:--;   -999.000;      3.532; 100
1977-03-01;--:--;   -999.000;      1.961; 100
1977-04-01;--:--;   -999.000;      1.804; 100
1977-05-01;--:--;   -999.000;      4.037; 100
1977-06-01;--:--;   -999.000;      1.526; 100
1977-07-01;--:--;   -999.000;      1.169; 100
1977-08-01;--:--;   -999.000;      3.375; 100
1977-09-01;--:--;   -999.000;      1.553; 100
1977-10-01;--:--;   -999.000;      0.763; 100
1977-11-01;--:--;   -999.000;      0.691; 100
1977-12-01;--:--;   -999.000;      1.336; 100
1978-01-01;--:--;   -999.000;      1.713; 100
1978-02-01;--:--;   -999.000;      6.528; 100
1978-03-01;--:--;   -999.000;      3.979; 100
1978-04-01;--:--;   -999.000;      2.826; 100
1978-05-01;--:--;   -999.000;      3.322; 100
1978-06-01;--:--;   -999.000;      0.942; 100
1978-07-01;--:--;   -999.000;      0.264; 100
1978-08-01;--:--;   -999.000;      0.364; 100
1978-09-01;--:--;   -999.000;      0.148; 100
1978-10-01;--:--;   -999.000;      0.205; 100
1978-11-01;--:--;   -999.000;      0.339; 100
1978-12-01;--:--;   -999.000;      0.945; 100
1979-01-01;--:--;   -999.000;      1.561; 100
1979-02-01;--:--;   -999.000;      3.098; 100
1979-03-01;--:--;   -999.000;      1.714; 100
1979-04-01;--:--;   -999.000;      2.834; 100
1979-05-01;--:--;   -999.000;      3.447; 100
1979-06-01;--:--;   -999.000;      3.837; 100
1979-07-01;--:--;   -999.000;      1.019; 100
