# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123700
# River:                 DRAGNE
# Station:               VANDENESSE
# Country:               --
# Latitude (DD):       46.909982
# Longitude (DD):      3.763084
# Catchment area (km²):      
# Altitude (m ASL):        260.29
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2012
# No. of years:          45
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 534
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;      6.770;      7.739; 100
1968-02-01;--:--;      2.970;      3.444; 100
1968-03-01;--:--;      1.420;      1.898; 100
1968-04-01;--:--;      0.600;      1.099; 100
1968-05-01;--:--;      2.610;      3.069; 100
1968-06-01;--:--;      0.200;      0.760; 100
1968-07-01;--:--;      0.000;      0.290; 100
1968-08-01;--:--;      0.100;      0.473; 100
1968-09-01;--:--;      2.300;      2.647; 100
1968-10-01;--:--;      1.290;      1.711; 100
1968-11-01;--:--;      0.830;      1.432; 100
1968-12-01;--:--;      2.580;      3.812; 100
1969-01-01;--:--;      2.840;      3.486; 100
1969-02-01;--:--;      2.610;      3.127; 100
1969-03-01;--:--;      3.420;      3.917; 100
1969-04-01;--:--;      3.170;      3.725; 100
1969-05-01;--:--;      2.480;      3.173; 100
1969-06-01;--:--;      1.600;      2.141; 100
1969-07-01;--:--;      0.100;      0.650; 100
1969-08-01;--:--;      0.000;      0.309; 100
1969-09-01;--:--;      0.000;      0.314; 100
1969-10-01;--:--;      0.000;      0.198; 100
1969-11-01;--:--;      0.470;      0.979; 100
1969-12-01;--:--;      1.450;      2.197; 100
1970-01-01;--:--;      1.770;      2.328; 100
1970-02-01;--:--;      7.890;      9.727; 100
1970-03-01;--:--;      3.360;      4.098; 100
1970-04-01;--:--;      3.270;      3.814; 100
1970-05-01;--:--;      0.940;      1.546; 100
1970-06-01;--:--;      0.000;      0.438; 100
1970-07-01;--:--;      0.000;      0.330; 100
1970-08-01;--:--;      0.000;      0.359; 100
1970-09-01;--:--;      0.030;      0.346; 100
1970-10-01;--:--;      0.420;      1.006; 100
1970-11-01;--:--;      0.770;      1.273; 100
1970-12-01;--:--;      1.390;      2.038; 100
1971-01-01;--:--;      1.970;      2.437; 100
1971-02-01;--:--;      1.640;      2.068; 100
1971-03-01;--:--;      0.770;      1.380; 100
1971-04-01;--:--;      0.130;      0.677; 100
1971-05-01;--:--;      0.000;      0.396; 100
1971-06-01;--:--;      0.030;      0.469; 100
1971-07-01;--:--;      0.000;      0.243; 100
1971-08-01;--:--;      0.100;      0.399; 100
1971-09-01;--:--;      0.030;      0.337; 100
1971-10-01;--:--;      0.000;      0.264; 100
1971-11-01;--:--;      0.870;      1.211; 100
1971-12-01;--:--;      0.550;      1.235; 100
1972-01-01;--:--;      1.550;      2.171; 100
1972-02-01;--:--;      3.070;      3.580; 100
1972-03-01;--:--;      1.130;      1.597; 100
1972-04-01;--:--;      1.170;      1.817; 100
1972-05-01;--:--;      0.130;      0.877; 100
1972-06-01;--:--;      0.000;      0.567;  93
1972-07-01;--:--;      0.000;      0.298; 100
1972-08-01;--:--;      0.030;      0.333; 100
1972-09-01;--:--;      0.000;      0.236; 100
1972-10-01;--:--;      0.060;      0.424; 100
1972-11-01;--:--;      3.000;      3.669; 100
1972-12-01;--:--;      1.580;      2.083; 100
1973-01-01;--:--;      1.160;      1.710; 100
1973-02-01;--:--;      3.040;      3.540; 100
1973-03-01;--:--;      0.550;      1.152; 100
1973-04-01;--:--;      0.070;      0.637; 100
1973-05-01;--:--;      0.290;      0.920; 100
1973-06-01;--:--;      0.670;      1.095; 100
1973-07-01;--:--;      0.000;      0.308; 100
1973-08-01;--:--;      0.000;      0.177; 100
1973-09-01;--:--;      0.000;      0.292; 100
1973-10-01;--:--;      0.190;      0.618; 100
1973-11-01;--:--;      0.630;      1.211; 100
1973-12-01;--:--;      3.650;      5.124; 100
1974-01-01;--:--;      1.710;      2.237; 100
1974-02-01;--:--;      2.960;      3.600; 100
1974-03-01;--:--;      2.320;      2.755; 100
1974-04-01;--:--;      0.200;      0.817; 100
1974-05-01;--:--;      0.030;      0.665; 100
1974-06-01;--:--;      0.000;      0.392; 100
1974-07-01;--:--;      0.000;      0.303; 100
1974-08-01;--:--;      0.030;      0.294; 100
1974-09-01;--:--;      0.070;      0.455; 100
1974-10-01;--:--;      3.290;      3.973; 100
1974-11-01;--:--;      3.430;      4.180; 100
1974-12-01;--:--;      4.610;      5.364; 100
1975-01-01;--:--;      5.160;      6.169; 100
1975-02-01;--:--;      1.570;      2.214; 100
1975-03-01;--:--;      1.520;      2.147; 100
1975-04-01;--:--;      2.270;      2.813; 100
1975-05-01;--:--;      0.480;      1.029; 100
1975-06-01;--:--;      0.270;      0.838; 100
1975-07-01;--:--;      0.060;      0.439; 100
1975-08-01;--:--;      0.000;      0.272; 100
1975-09-01;--:--;      0.100;      0.516; 100
1975-10-01;--:--;      0.160;      0.766; 100
1975-11-01;--:--;      3.430;      4.099; 100
1975-12-01;--:--;      2.190;      2.747; 100
1976-01-01;--:--;      1.360;      1.909; 100
1976-02-01;--:--;      3.070;      3.581; 100
1976-03-01;--:--;      0.030;      0.669; 100
1976-04-01;--:--;      0.000;      0.355; 100
1976-05-01;--:--;      0.000;      0.218; 100
1976-06-01;--:--;      0.000;      0.099; 100
1976-07-01;--:--;      0.000;      0.091; 100
1976-08-01;--:--;      0.000;      0.082; 100
1976-09-01;--:--;      0.000;      0.191; 100
1976-10-01;--:--;      0.100;      0.587; 100
1976-11-01;--:--;      2.800;      3.351; 100
1976-12-01;--:--;      3.870;      4.467; 100
1977-01-01;--:--;      4.030;      4.915; 100
1977-02-01;--:--;     10.890;     11.265; 100
1977-03-01;--:--;      1.810;      2.499; 100
1977-04-01;--:--;      1.870;      2.374; 100
1977-05-01;--:--;      4.770;      5.085; 100
