# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123710
# River:                 ARROUX
# Station:               RIGNY-SUR-ARROUX
# Country:               --
# Latitude (DD):       46.533667
# Longitude (DD):      4.033937
# Catchment area (km²):      
# Altitude (m ASL):        287.69
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2008
# No. of years:          42
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 494
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-11-01;--:--;   -999.000;     40.323; 100
1967-12-01;--:--;   -999.000;     39.339; 100
1968-01-01;--:--;   -999.000;    109.955; 100
1968-02-01;--:--;   -999.000;     49.297; 100
1968-03-01;--:--;   -999.000;     31.768; 100
1968-04-01;--:--;   -999.000;     22.650; 100
1968-05-01;--:--;   -999.000;     35.790; 100
1968-06-01;--:--;   -999.000;     14.467; 100
1968-07-01;--:--;   -999.000;      4.539; 100
1968-08-01;--:--;   -999.000;      4.545; 100
1968-09-01;--:--;   -999.000;     39.523; 100
1968-10-01;--:--;   -999.000;     30.403; 100
1968-11-01;--:--;   -999.000;     40.400; 100
1968-12-01;--:--;   -999.000;     57.310; 100
1969-01-01;--:--;   -999.000;     61.352; 100
1969-02-01;--:--;   -999.000;     57.493; 100
1969-03-01;--:--;   -999.000;     61.513; 100
1969-04-01;--:--;   -999.000;     44.223; 100
1969-05-01;--:--;   -999.000;     49.568; 100
1969-06-01;--:--;   -999.000;     26.463; 100
1969-07-01;--:--;   -999.000;      9.129; 100
1969-08-01;--:--;   -999.000;      3.371; 100
1969-09-01;--:--;   -999.000;      3.123; 100
1969-10-01;--:--;   -999.000;      2.488; 100
1969-11-01;--:--;   -999.000;     10.398; 100
1969-12-01;--:--;   -999.000;     23.416; 100
1970-01-01;--:--;   -999.000;     40.184; 100
1970-02-01;--:--;   -999.000;    138.268; 100
1970-03-01;--:--;   -999.000;     60.916; 100
1970-04-01;--:--;   -999.000;     51.433; 100
1970-05-01;--:--;   -999.000;     26.144; 100
1970-06-01;--:--;   -999.000;      7.073; 100
1970-07-01;--:--;   -999.000;      5.102; 100
1970-08-01;--:--;   -999.000;      4.641; 100
1970-09-01;--:--;   -999.000;      3.414; 100
1970-10-01;--:--;   -999.000;     12.223; 100
1970-11-01;--:--;   -999.000;     17.239; 100
1970-12-01;--:--;   -999.000;     26.355; 100
1971-01-01;--:--;   -999.000;     42.039; 100
1971-02-01;--:--;   -999.000;     40.964; 100
1971-03-01;--:--;   -999.000;     26.129; 100
1971-04-01;--:--;   -999.000;     11.768; 100
1971-05-01;--:--;   -999.000;      6.644; 100
1971-06-01;--:--;   -999.000;      6.226; 100
1971-07-01;--:--;   -999.000;      2.260; 100
1971-08-01;--:--;   -999.000;      2.769; 100
1971-09-01;--:--;   -999.000;      2.506; 100
1971-10-01;--:--;   -999.000;      2.305; 100
1971-11-01;--:--;   -999.000;      7.561; 100
1971-12-01;--:--;   -999.000;      8.794; 100
1972-01-01;--:--;   -999.000;     19.776; 100
1972-02-01;--:--;   -999.000;     51.572; 100
1972-03-01;--:--;   -999.000;     24.400; 100
1972-04-01;--:--;   -999.000;     23.337; 100
1972-05-01;--:--;   -999.000;      9.677; 100
1972-06-01;--:--;   -999.000;      5.542; 100
1972-07-01;--:--;   -999.000;      3.451; 100
1972-08-01;--:--;   -999.000;      2.995; 100
1972-09-01;--:--;   -999.000;      2.192; 100
1972-10-01;--:--;   -999.000;      2.751; 100
1972-11-01;--:--;   -999.000;     34.363; 100
1972-12-01;--:--;   -999.000;     32.345; 100
1973-01-01;--:--;   -999.000;     27.844; 100
1973-02-01;--:--;   -999.000;     42.146; 100
1973-03-01;--:--;   -999.000;     15.585; 100
1973-04-01;--:--;   -999.000;      6.735; 100
1973-05-01;--:--;   -999.000;      7.870; 100
1973-06-01;--:--;   -999.000;      5.540; 100
1973-07-01;--:--;   -999.000;      2.704; 100
1973-08-01;--:--;   -999.000;      1.829; 100
1973-09-01;--:--;   -999.000;      1.512; 100
1973-10-01;--:--;   -999.000;      3.891; 100
1973-11-01;--:--;   -999.000;      9.911; 100
1973-12-01;--:--;   -999.000;     52.381; 100
1974-01-01;--:--;   -999.000;     41.397; 100
1974-02-01;--:--;   -999.000;     56.800; 100
1974-03-01;--:--;   -999.000;     39.168; 100
1974-04-01;--:--;   -999.000;     11.887; 100
1974-05-01;--:--;   -999.000;      9.652; 100
1974-06-01;--:--;   -999.000;      5.948; 100
1974-07-01;--:--;   -999.000;      2.948; 100
1974-08-01;--:--;   -999.000;      0.916; 100
1974-09-01;--:--;   -999.000;      4.968; 100
1974-10-01;--:--;   -999.000;     39.568; 100
1974-11-01;--:--;   -999.000;     42.610; 100
