# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123720
# River:                 SELLE
# Station:               CELLE-EN-MORVAN (POLROY)
# Country:               --
# Latitude (DD):       47.004137
# Longitude (DD):      4.195926
# Catchment area (km²):      
# Altitude (m ASL):        371.64
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969 - 2012
# No. of years:          44
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 514
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1969-09-01;--:--;   -999.000;      0.394;  90
1969-10-01;--:--;   -999.000;      0.328; 100
1969-11-01;--:--;   -999.000;      2.939; 100
1969-12-01;--:--;   -999.000;      3.467; 100
1970-01-01;--:--;   -999.000;      3.596; 100
1970-02-01;--:--;   -999.000;     16.585; 100
1970-03-01;--:--;   -999.000;      6.859; 100
1970-04-01;--:--;   -999.000;      7.150; 100
1970-05-01;--:--;   -999.000;      3.220; 100
1970-06-01;--:--;   -999.000;      0.966; 100
1970-07-01;--:--;   -999.000;      0.664; 100
1970-08-01;--:--;   -999.000;      0.565; 100
1970-09-01;--:--;   -999.000;      0.387; 100
1970-10-01;--:--;   -999.000;      1.389; 100
1970-11-01;--:--;   -999.000;      2.280; 100
1970-12-01;--:--;   -999.000;      3.741; 100
1971-01-01;--:--;   -999.000;      4.138; 100
1971-02-01;--:--;   -999.000;      4.455; 100
1971-03-01;--:--;   -999.000;      2.688; 100
1971-04-01;--:--;   -999.000;      1.491; 100
1971-05-01;--:--;   -999.000;      1.022; 100
1971-06-01;--:--;   -999.000;      1.186; 100
1971-07-01;--:--;   -999.000;      0.484; 100
1971-08-01;--:--;   -999.000;      0.597; 100
1971-09-01;--:--;   -999.000;      0.404; 100
1971-10-01;--:--;   -999.000;      0.316; 100
1971-11-01;--:--;   -999.000;      1.397; 100
1971-12-01;--:--;   -999.000;      1.258; 100
1972-01-01;--:--;   -999.000;      1.865; 100
1972-02-01;--:--;   -999.000;      4.987; 100
1972-03-01;--:--;   -999.000;      2.609; 100
1972-04-01;--:--;   -999.000;      2.985; 100
1972-05-01;--:--;   -999.000;      1.314; 100
1972-06-01;--:--;   -999.000;      0.800; 100
1972-07-01;--:--;   -999.000;      0.492; 100
1972-08-01;--:--;   -999.000;      0.561; 100
1972-09-01;--:--;   -999.000;      0.436; 100
