# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123730
# River:                 BOURBINCE
# Station:               VITRY-EN-CHAROLLAIS
# Country:               --
# Latitude (DD):       46.474892
# Longitude (DD):      4.076413
# Catchment area (km²):      
# Altitude (m ASL):        287.75
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 536
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-11-01;--:--;   -999.000;      7.330; 100
1967-12-01;--:--;   -999.000;      9.233; 100
1968-01-01;--:--;   -999.000;     27.726; 100
1968-02-01;--:--;   -999.000;     13.544; 100
1968-03-01;--:--;   -999.000;      7.543; 100
1968-04-01;--:--;   -999.000;      5.977; 100
1968-05-01;--:--;   -999.000;     11.423; 100
1968-06-01;--:--;   -999.000;      4.626; 100
1968-07-01;--:--;   -999.000;      1.690; 100
1968-08-01;--:--;   -999.000;      2.766; 100
1968-09-01;--:--;   -999.000;     14.869; 100
1968-10-01;--:--;   -999.000;     10.265; 100
1968-11-01;--:--;   -999.000;     12.995; 100
1968-12-01;--:--;   -999.000;     22.071; 100
1969-01-01;--:--;   -999.000;     18.771; 100
1969-02-01;--:--;   -999.000;     14.836; 100
1969-03-01;--:--;   -999.000;     13.050; 100
1969-04-01;--:--;   -999.000;     11.436; 100
1969-05-01;--:--;   -999.000;     13.773; 100
1969-06-01;--:--;   -999.000;      6.590; 100
1969-07-01;--:--;   -999.000;      2.197; 100
1969-08-01;--:--;   -999.000;      1.643; 100
1969-09-01;--:--;   -999.000;      1.090; 100
1969-10-01;--:--;   -999.000;      1.296; 100
1969-11-01;--:--;   -999.000;      3.135; 100
1969-12-01;--:--;   -999.000;      6.856; 100
1970-01-01;--:--;   -999.000;     11.214; 100
1970-02-01;--:--;   -999.000;     38.418; 100
1970-03-01;--:--;   -999.000;     17.132; 100
1970-04-01;--:--;   -999.000;     13.049; 100
1970-05-01;--:--;   -999.000;      8.586; 100
1970-06-01;--:--;   -999.000;      3.715; 100
1970-07-01;--:--;   -999.000;      1.737; 100
1970-08-01;--:--;   -999.000;      1.433; 100
1970-09-01;--:--;   -999.000;      1.246; 100
1970-10-01;--:--;   -999.000;      3.626; 100
1970-11-01;--:--;   -999.000;      4.413; 100
