# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123740
# River:                 COISE
# Station:               SAINT-MEDARD-EN-FOREZ (MOULIN BRULE)
# Country:               --
# Latitude (DD):       45.606768
# Longitude (DD):      4.37488
# Catchment area (km²):      
# Altitude (m ASL):        477.05
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961 - 2000
# No. of years:          40
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 479
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1961-01-01;--:--;   -999.000;      7.255; 100
1961-02-01;--:--;   -999.000;      5.000; 100
1961-03-01;--:--;   -999.000;      0.599; 100
1961-04-01;--:--;   -999.000;      0.685; 100
1961-05-01;--:--;   -999.000;      0.383; 100
1961-06-01;--:--;   -999.000;      0.304; 100
1961-07-01;--:--;   -999.000;      0.114; 100
1961-08-01;--:--;   -999.000;      0.081; 100
1961-09-01;--:--;   -999.000;      0.007; 100
1961-10-01;--:--;   -999.000;      0.725; 100
1961-11-01;--:--;   -999.000;      1.260; 100
1961-12-01;--:--;   -999.000;      2.531; 100
1962-01-01;--:--;   -999.000;      2.381; 100
1962-02-01;--:--;   -999.000;      1.804; 100
1962-03-01;--:--;   -999.000;      2.180; 100
1962-04-01;--:--;   -999.000;      1.430; 100
1962-05-01;--:--;   -999.000;      0.657; 100
1962-06-01;--:--;   -999.000;      0.387; 100
1962-07-01;--:--;   -999.000;      0.038; 100
1962-08-01;--:--;   -999.000;      0.009; 100
1962-09-01;--:--;   -999.000;      0.008; 100
1962-10-01;--:--;   -999.000;      0.053; 100
1962-11-01;--:--;   -999.000;      0.200; 100
1962-12-01;--:--;   -999.000;      1.607; 100
1963-01-01;--:--;   -999.000;      1.627; 100
1963-02-01;--:--;   -999.000;      1.835; 100
1963-03-01;--:--;   -999.000;      2.267; 100
1963-04-01;--:--;   -999.000;      2.281; 100
1963-05-01;--:--;   -999.000;      0.563; 100
1963-06-01;--:--;   -999.000;      2.258; 100
1963-07-01;--:--;   -999.000;      3.035; 100
1963-08-01;--:--;   -999.000;      2.068; 100
1963-09-01;--:--;   -999.000;      1.015; 100
1963-10-01;--:--;   -999.000;      0.377; 100
1963-11-01;--:--;   -999.000;      3.782; 100
1963-12-01;--:--;   -999.000;      0.865; 100
1964-01-01;--:--;   -999.000;      0.978; 100
1964-02-01;--:--;   -999.000;      0.893; 100
1964-03-01;--:--;   -999.000;      4.313; 100
1964-04-01;--:--;   -999.000;      2.632; 100
1964-05-01;--:--;   -999.000;      0.823; 100
1964-06-01;--:--;   -999.000;      0.407; 100
1964-07-01;--:--;   -999.000;      0.043; 100
1964-08-01;--:--;   -999.000;      0.041; 100
1964-09-01;--:--;   -999.000;      0.104; 100
1964-10-01;--:--;   -999.000;      0.274; 100
1964-11-01;--:--;   -999.000;      0.234; 100
1964-12-01;--:--;   -999.000;      0.436; 100
1965-01-01;--:--;   -999.000;      1.304; 100
1965-02-01;--:--;   -999.000;      0.745; 100
1965-03-01;--:--;   -999.000;      1.661; 100
1965-04-01;--:--;   -999.000;      1.554; 100
1965-05-01;--:--;   -999.000;      2.007; 100
1965-06-01;--:--;   -999.000;      1.570; 100
1965-07-01;--:--;   -999.000;      0.837; 100
1965-08-01;--:--;   -999.000;      0.344; 100
1965-09-01;--:--;   -999.000;      2.795; 100
1965-10-01;--:--;   -999.000;      1.853; 100
1965-11-01;--:--;   -999.000;      2.546; 100
1965-12-01;--:--;   -999.000;      5.566; 100
1966-01-01;--:--;   -999.000;      4.401; 100
1966-02-01;--:--;   -999.000;      2.555; 100
1966-03-01;--:--;   -999.000;      2.084; 100
1966-04-01;--:--;   -999.000;      1.469; 100
1966-05-01;--:--;   -999.000;      2.047; 100
1966-06-01;--:--;   -999.000;      0.334; 100
1966-07-01;--:--;   -999.000;      0.493; 100
1966-08-01;--:--;   -999.000;      0.107; 100
1966-09-01;--:--;   -999.000;      0.034; 100
1966-10-01;--:--;   -999.000;      0.718; 100
1966-11-01;--:--;   -999.000;      3.172; 100
1966-12-01;--:--;   -999.000;      3.696; 100
1967-01-01;--:--;   -999.000;      3.040; 100
1967-02-01;--:--;   -999.000;      1.167; 100
1967-03-01;--:--;   -999.000;      1.538; 100
1967-04-01;--:--;   -999.000;      0.601; 100
1967-05-01;--:--;   -999.000;      0.831; 100
1967-06-01;--:--;   -999.000;      0.572; 100
1967-07-01;--:--;   -999.000;      0.124; 100
1967-08-01;--:--;   -999.000;      0.148; 100
1967-09-01;--:--;   -999.000;      0.150; 100
1967-10-01;--:--;   -999.000;      0.121; 100
1967-11-01;--:--;   -999.000;      0.477; 100
1967-12-01;--:--;   -999.000;      0.862; 100
1968-01-01;--:--;   -999.000;      4.344; 100
1968-02-01;--:--;   -999.000;      2.066; 100
1968-03-01;--:--;   -999.000;      1.034; 100
1968-04-01;--:--;   -999.000;      0.359; 100
1968-05-01;--:--;   -999.000;      1.046; 100
1968-06-01;--:--;   -999.000;      0.623; 100
1968-07-01;--:--;   -999.000;      0.135; 100
1968-08-01;--:--;   -999.000;      0.386; 100
1968-09-01;--:--;   -999.000;      1.269; 100
1968-10-01;--:--;   -999.000;      0.930; 100
