# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123741
# River:                 COISE
# Station:               NEZELLE
# Country:               --
# Latitude (DD):       45.63
# Longitude (DD):      4.53
# Catchment area (km²):      
# Altitude (m ASL):        -999.00
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1970 - 1992
# No. of years:          23
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 272
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1970-01-01;--:--;      0.000;      0.458; 100
1970-02-01;--:--;      1.070;      1.665; 100
1970-03-01;--:--;      0.900;      1.442; 100
1970-04-01;--:--;      0.800;      1.333; 100
1970-05-01;--:--;      0.230;      0.651; 100
1970-06-01;--:--;      0.070;      0.370; 100
1970-07-01;--:--;      0.000;      0.189; 100
1970-08-01;--:--;      0.000;      0.112; 100
1970-09-01;--:--;      0.000;      0.090; 100
1970-10-01;--:--;      0.000;      0.183; 100
1970-11-01;--:--;      0.000;      0.306; 100
1970-12-01;--:--;      0.000;      0.249; 100
1971-01-01;--:--;      0.710;      1.205; 100
1971-02-01;--:--;      0.070;      0.669; 100
1971-03-01;--:--;      0.640;      1.252; 100
1971-04-01;--:--;      0.200;      0.677; 100
1971-05-01;--:--;      0.190;      0.632; 100
1971-06-01;--:--;      0.000;      0.306; 100
1971-07-01;--:--;      0.030;      0.217; 100
1971-08-01;--:--;      0.000;      0.106; 100
1971-09-01;--:--;      0.000;      0.066; 100
1971-10-01;--:--;      0.000;      0.060; 100
1971-11-01;--:--;      0.000;      0.307; 100
1971-12-01;--:--;      0.000;      0.443; 100
1972-01-01;--:--;      0.260;      0.902; 100
1972-02-01;--:--;      1.210;      1.681; 100
1972-03-01;--:--;      0.000;      0.605; 100
1972-04-01;--:--;      0.000;      0.382; 100
1972-05-01;--:--;      0.000;      0.307; 100
1972-06-01;--:--;      0.000;      0.206; 100
1972-07-01;--:--;      0.000;      0.172; 100
1972-08-01;--:--;      0.000;      0.050; 100
1972-09-01;--:--;      0.000;      0.063; 100
1972-10-01;--:--;      0.060;      0.273; 100
1972-11-01;--:--;      0.000;      0.281; 100
1972-12-01;--:--;      0.230;      0.775; 100
1973-01-01;--:--;      0.320;      0.860; 100
1973-02-01;--:--;      0.140;      0.755; 100
1973-03-01;--:--;      0.160;      0.727; 100
1973-04-01;--:--;      0.200;      0.714; 100
1973-05-01;--:--;      0.030;      0.564; 100
1973-06-01;--:--;      0.000;      0.258; 100
1973-07-01;--:--;      0.030;      0.237; 100
1973-08-01;--:--;      0.000;      0.091; 100
1973-09-01;--:--;      0.000;      0.069; 100
1973-10-01;--:--;      0.000;      0.164; 100
1973-11-01;--:--;      0.000;      0.132; 100
1973-12-01;--:--;      0.000;      0.297; 100
1974-01-01;--:--;      0.000;      0.236; 100
1974-02-01;--:--;      0.610;      1.167; 100
1974-03-01;--:--;      0.480;      1.032; 100
1974-04-01;--:--;      0.000;      0.284; 100
1974-05-01;--:--;      0.000;      0.348; 100
1974-06-01;--:--;      0.000;      0.134; 100
1974-07-01;--:--;      0.000;      0.046; 100
1974-08-01;--:--;      0.000;      0.024; 100
1974-09-01;--:--;      0.000;      0.146; 100
1974-10-01;--:--;      0.230;      0.601; 100
1974-11-01;--:--;      1.170;      1.669; 100
1974-12-01;--:--;      0.550;      1.117; 100
1975-01-01;--:--;      0.450;      0.853; 100
1975-02-01;--:--;      0.540;      1.010; 100
1975-03-01;--:--;      0.640;      1.007; 100
1975-04-01;--:--;      0.370;      0.817; 100
1975-05-01;--:--;      0.130;      0.685; 100
1975-06-01;--:--;      0.430;      0.891; 100
1975-07-01;--:--;      0.060;      0.452; 100
