# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123750
# River:                 SEMENE
# Station:               SAINT-DIDIER-ENVELAY (LE CROUZET)
# Country:               --
# Latitude (DD):       45.312708
# Longitude (DD):      4.250183
# Catchment area (km²):      
# Altitude (m ASL):        772.75
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1963 - 2012
# No. of years:          50
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 594
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1963-01-01;--:--;   -999.000;      2.865; 100
1963-02-01;--:--;   -999.000;      1.538; 100
1963-03-01;--:--;   -999.000;      2.653; 100
1963-04-01;--:--;   -999.000;      3.428; 100
1963-05-01;--:--;   -999.000;      2.012; 100
1963-06-01;--:--;   -999.000;      5.627; 100
1963-07-01;--:--;   -999.000;      1.665; 100
1963-08-01;--:--;   -999.000;      4.317; 100
1963-09-01;--:--;   -999.000;      1.400; 100
1963-10-01;--:--;   -999.000;      0.661; 100
1963-11-01;--:--;   -999.000;      4.413; 100
1963-12-01;--:--;   -999.000;      1.186; 100
1964-01-01;--:--;   -999.000;      1.115; 100
1964-02-01;--:--;   -999.000;      1.030; 100
1964-03-01;--:--;   -999.000;      3.751; 100
1964-04-01;--:--;   -999.000;      3.967; 100
1964-05-01;--:--;   -999.000;      0.969; 100
1964-06-01;--:--;   -999.000;      0.435; 100
1964-07-01;--:--;   -999.000;      0.137; 100
1964-08-01;--:--;   -999.000;      0.122; 100
1964-09-01;--:--;   -999.000;      0.129; 100
1964-10-01;--:--;   -999.000;      0.346; 100
1964-11-01;--:--;   -999.000;      0.255; 100
1964-12-01;--:--;   -999.000;      0.554; 100
1965-01-01;--:--;   -999.000;      1.272; 100
1965-02-01;--:--;   -999.000;      1.155; 100
1965-03-01;--:--;   -999.000;      2.020; 100
1965-04-01;--:--;   -999.000;      2.332; 100
1965-05-01;--:--;   -999.000;      2.725; 100
1965-06-01;--:--;   -999.000;      2.907; 100
1965-07-01;--:--;   -999.000;      0.687; 100
1965-08-01;--:--;   -999.000;      0.314; 100
1965-09-01;--:--;   -999.000;      2.504; 100
1965-10-01;--:--;   -999.000;      2.610; 100
1965-11-01;--:--;   -999.000;      1.616; 100
1965-12-01;--:--;   -999.000;      3.155; 100
1966-01-01;--:--;   -999.000;      2.572; 100
1966-02-01;--:--;   -999.000;      2.173; 100
1966-03-01;--:--;   -999.000;      3.463; 100
1966-04-01;--:--;   -999.000;      1.592; 100
1966-05-01;--:--;   -999.000;      1.920; 100
1966-06-01;--:--;   -999.000;      0.709; 100
1966-07-01;--:--;   -999.000;      1.200; 100
1966-08-01;--:--;   -999.000;      0.451; 100
1966-09-01;--:--;   -999.000;      0.226; 100
1966-10-01;--:--;   -999.000;      1.559; 100
1966-11-01;--:--;   -999.000;      3.913; 100
1966-12-01;--:--;   -999.000;      3.902; 100
1967-01-01;--:--;   -999.000;      2.896; 100
1967-02-01;--:--;   -999.000;      1.590; 100
1967-03-01;--:--;   -999.000;      1.652; 100
1967-04-01;--:--;   -999.000;      0.927; 100
1967-05-01;--:--;   -999.000;      0.764; 100
1967-06-01;--:--;   -999.000;      0.657; 100
1967-07-01;--:--;   -999.000;      0.308; 100
1967-08-01;--:--;   -999.000;      0.296; 100
1967-09-01;--:--;   -999.000;      0.684; 100
1967-10-01;--:--;   -999.000;      0.368; 100
1967-11-01;--:--;   -999.000;      0.524; 100
1967-12-01;--:--;   -999.000;      1.231; 100
1968-01-01;--:--;   -999.000;      3.181; 100
1968-02-01;--:--;   -999.000;      4.070; 100
1968-03-01;--:--;   -999.000;      1.910; 100
1968-04-01;--:--;   -999.000;      0.744; 100
1968-05-01;--:--;   -999.000;      2.530; 100
1968-06-01;--:--;   -999.000;      2.018; 100
1968-07-01;--:--;   -999.000;      0.502; 100
1968-08-01;--:--;   -999.000;      0.922; 100
1968-09-01;--:--;   -999.000;      1.502; 100
1968-10-01;--:--;   -999.000;      0.950; 100
1968-11-01;--:--;   -999.000;      2.436; 100
1968-12-01;--:--;   -999.000;      2.600; 100
1969-01-01;--:--;   -999.000;      3.585; 100
1969-02-01;--:--;   -999.000;      2.256; 100
1969-03-01;--:--;   -999.000;      2.122; 100
1969-04-01;--:--;   -999.000;      2.638; 100
1969-05-01;--:--;   -999.000;      4.594; 100
1969-06-01;--:--;   -999.000;      5.266; 100
1969-07-01;--:--;   -999.000;      1.263; 100
1969-08-01;--:--;   -999.000;      0.666; 100
1969-09-01;--:--;   -999.000;      1.046; 100
1969-10-01;--:--;   -999.000;      0.528; 100
1969-11-01;--:--;   -999.000;      0.609; 100
1969-12-01;--:--;   -999.000;      1.097; 100
1970-01-01;--:--;   -999.000;      2.583; 100
1970-02-01;--:--;   -999.000;      2.508; 100
1970-03-01;--:--;   -999.000;      4.849; 100
1970-04-01;--:--;   -999.000;      4.685; 100
1970-05-01;--:--;   -999.000;      2.025; 100
1970-06-01;--:--;   -999.000;      1.582; 100
1970-07-01;--:--;   -999.000;      0.881; 100
1970-08-01;--:--;   -999.000;      0.356; 100
1970-09-01;--:--;   -999.000;      0.223; 100
1970-10-01;--:--;   -999.000;      0.714; 100
1970-11-01;--:--;   -999.000;      1.172; 100
1970-12-01;--:--;   -999.000;      1.063; 100
1971-01-01;--:--;   -999.000;      3.340; 100
1971-02-01;--:--;   -999.000;      3.033; 100
1971-03-01;--:--;   -999.000;      2.798; 100
1971-04-01;--:--;   -999.000;      6.156; 100
1971-05-01;--:--;   -999.000;      3.334; 100
1971-06-01;--:--;   -999.000;      1.322; 100
1971-07-01;--:--;   -999.000;      0.595; 100
1971-08-01;--:--;   -999.000;      0.369; 100
1971-09-01;--:--;   -999.000;      0.252; 100
1971-10-01;--:--;   -999.000;      0.190; 100
1971-11-01;--:--;   -999.000;      0.745; 100
1971-12-01;--:--;   -999.000;      1.692; 100
1972-01-01;--:--;   -999.000;      2.363; 100
1972-02-01;--:--;   -999.000;      5.623; 100
1972-03-01;--:--;   -999.000;      2.271; 100
1972-04-01;--:--;   -999.000;      2.017; 100
1972-05-01;--:--;   -999.000;      1.248; 100
1972-06-01;--:--;   -999.000;      1.155; 100
1972-07-01;--:--;   -999.000;      1.099; 100
1972-08-01;--:--;   -999.000;      0.544; 100
1972-09-01;--:--;   -999.000;      0.390; 100
1972-10-01;--:--;   -999.000;      0.911; 100
1972-11-01;--:--;   -999.000;      0.880; 100
1972-12-01;--:--;   -999.000;      1.647; 100
1973-01-01;--:--;   -999.000;      2.084; 100
1973-02-01;--:--;   -999.000;      2.210; 100
1973-03-01;--:--;   -999.000;      2.976; 100
1973-04-01;--:--;   -999.000;      3.605; 100
1973-05-01;--:--;   -999.000;      2.672; 100
1973-06-01;--:--;   -999.000;      1.577; 100
1973-07-01;--:--;   -999.000;      1.012; 100
1973-08-01;--:--;   -999.000;      0.870; 100
1973-09-01;--:--;   -999.000;      0.604; 100
1973-10-01;--:--;   -999.000;      1.224; 100
1973-11-01;--:--;   -999.000;      0.653; 100
1973-12-01;--:--;   -999.000;      3.129; 100
1974-01-01;--:--;   -999.000;      1.754; 100
1974-02-01;--:--;   -999.000;      3.894; 100
1974-03-01;--:--;   -999.000;      3.477; 100
1974-04-01;--:--;   -999.000;      1.410; 100
1974-05-01;--:--;   -999.000;      1.779; 100
1974-06-01;--:--;   -999.000;      0.550; 100
1974-07-01;--:--;   -999.000;      0.291; 100
1974-08-01;--:--;   -999.000;      0.095; 100
1974-09-01;--:--;   -999.000;      0.236; 100
1974-10-01;--:--;   -999.000;      0.808; 100
1974-11-01;--:--;   -999.000;      3.719; 100
1974-12-01;--:--;   -999.000;      2.805; 100
1975-01-01;--:--;   -999.000;      1.594; 100
1975-02-01;--:--;   -999.000;      2.510; 100
1975-03-01;--:--;   -999.000;      2.916; 100
1975-04-01;--:--;   -999.000;      1.951; 100
1975-05-01;--:--;   -999.000;      3.758; 100
1975-06-01;--:--;   -999.000;      1.787; 100
1975-07-01;--:--;   -999.000;      0.714; 100
1975-08-01;--:--;   -999.000;      0.489; 100
1975-09-01;--:--;   -999.000;      1.445; 100
1975-10-01;--:--;   -999.000;      1.614; 100
1975-11-01;--:--;   -999.000;      4.818; 100
1975-12-01;--:--;   -999.000;      4.435; 100
1976-01-01;--:--;   -999.000;      1.129; 100
1976-02-01;--:--;   -999.000;      2.836; 100
1976-03-01;--:--;   -999.000;      1.650; 100
1976-04-01;--:--;   -999.000;      0.951; 100
1976-05-01;--:--;   -999.000;      0.689; 100
1976-06-01;--:--;   -999.000;      0.177; 100
1976-07-01;--:--;   -999.000;      0.329; 100
1976-08-01;--:--;   -999.000;      0.215; 100
1976-09-01;--:--;   -999.000;      0.913; 100
1976-10-01;--:--;   -999.000;      3.018; 100
1976-11-01;--:--;   -999.000;      6.935; 100
1976-12-01;--:--;   -999.000;      2.663; 100
1977-01-01;--:--;   -999.000;      1.593; 100
1977-02-01;--:--;   -999.000;      3.164; 100
