# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123760
# River:                 ANCE
# Station:               SAINT-JULIEN-D'ANCE (LAPRAT)
# Country:               --
# Latitude (DD):       45.306823
# Longitude (DD):      3.938208
# Catchment area (km²):      
# Altitude (m ASL):        745.11
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1948 - 2009
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1948-01-01;--:--;   -999.000;      8.400; 100
1948-02-01;--:--;   -999.000;      6.379; 100
1948-03-01;--:--;   -999.000;      2.000; 100
1948-04-01;--:--;   -999.000;      1.840; 100
1948-05-01;--:--;   -999.000;      4.365; 100
1948-06-01;--:--;   -999.000;      5.090; 100
1948-07-01;--:--;   -999.000;      1.681; 100
1948-08-01;--:--;   -999.000;      1.384; 100
1948-09-01;--:--;   -999.000;      1.487; 100
1948-10-01;--:--;   -999.000;      0.826; 100
1948-11-01;--:--;   -999.000;      0.913; 100
1948-12-01;--:--;   -999.000;      0.906; 100
1949-01-01;--:--;   -999.000;      1.316; 100
1949-02-01;--:--;   -999.000;      0.875; 100
1949-03-01;--:--;   -999.000;      2.094; 100
1949-04-01;--:--;   -999.000;      0.897; 100
1949-05-01;--:--;   -999.000;      1.094; 100
1949-06-01;--:--;   -999.000;      1.217; 100
1949-07-01;--:--;   -999.000;      0.239; 100
1949-08-01;--:--;   -999.000;      0.113; 100
1949-09-01;--:--;   -999.000;      0.237; 100
1949-10-01;--:--;   -999.000;      0.397; 100
1949-11-01;--:--;   -999.000;      4.410; 100
1949-12-01;--:--;   -999.000;      5.723; 100
1950-01-01;--:--;   -999.000;      2.935; 100
1950-02-01;--:--;   -999.000;      6.450; 100
1950-03-01;--:--;   -999.000;      3.581; 100
1950-04-01;--:--;   -999.000;      4.853; 100
1950-05-01;--:--;   -999.000;      3.681; 100
1950-06-01;--:--;   -999.000;      3.043; 100
1950-07-01;--:--;   -999.000;      0.739; 100
1950-08-01;--:--;   -999.000;      0.781; 100
1950-09-01;--:--;   -999.000;      1.163; 100
1950-10-01;--:--;   -999.000;      1.265; 100
1950-11-01;--:--;   -999.000;      8.707; 100
1950-12-01;--:--;   -999.000;      4.871; 100
1951-01-01;--:--;   -999.000;      6.513; 100
1951-02-01;--:--;   -999.000;      7.918; 100
1951-03-01;--:--;   -999.000;     10.368; 100
1951-04-01;--:--;   -999.000;      5.140; 100
1951-05-01;--:--;   -999.000;      9.597; 100
1951-06-01;--:--;   -999.000;     12.473; 100
1951-07-01;--:--;   -999.000;      5.890; 100
1951-08-01;--:--;   -999.000;      4.239; 100
1951-09-01;--:--;   -999.000;      2.353; 100
1951-10-01;--:--;   -999.000;      2.019; 100
1951-11-01;--:--;   -999.000;     13.460; 100
1951-12-01;--:--;   -999.000;      4.890; 100
1952-01-01;--:--;   -999.000;      5.639; 100
1952-02-01;--:--;   -999.000;      4.617; 100
1952-03-01;--:--;   -999.000;     14.845; 100
1952-04-01;--:--;   -999.000;      6.687; 100
1952-05-01;--:--;   -999.000;      4.103; 100
1952-06-01;--:--;   -999.000;      1.893; 100
1952-07-01;--:--;   -999.000;      0.355; 100
1952-08-01;--:--;   -999.000;      0.890; 100
1952-09-01;--:--;   -999.000;      0.820; 100
1952-10-01;--:--;   -999.000;      2.500; 100
1952-11-01;--:--;   -999.000;      9.963; 100
1952-12-01;--:--;   -999.000;     12.458; 100
1953-01-01;--:--;   -999.000;      4.594; 100
1953-02-01;--:--;   -999.000;      3.907; 100
1953-03-01;--:--;   -999.000;      3.600; 100
1953-04-01;--:--;   -999.000;      2.953; 100
1953-05-01;--:--;   -999.000;      1.245; 100
1953-06-01;--:--;   -999.000;      2.303; 100
1953-07-01;--:--;   -999.000;      1.771; 100
1953-08-01;--:--;   -999.000;      0.803; 100
1953-09-01;--:--;   -999.000;      0.867; 100
1953-10-01;--:--;   -999.000;      2.132; 100
1953-11-01;--:--;   -999.000;      2.320; 100
1953-12-01;--:--;   -999.000;      1.484; 100
1954-01-01;--:--;   -999.000;      3.713; 100
1954-02-01;--:--;   -999.000;      7.068; 100
1954-03-01;--:--;   -999.000;      9.561; 100
1954-04-01;--:--;   -999.000;      7.090; 100
1954-05-01;--:--;   -999.000;      5.213; 100
1954-06-01;--:--;   -999.000;      2.963; 100
1954-07-01;--:--;   -999.000;      1.816; 100
1954-08-01;--:--;   -999.000;      3.255; 100
1954-09-01;--:--;   -999.000;      4.603; 100
1954-10-01;--:--;   -999.000;      2.587; 100
1954-11-01;--:--;   -999.000;      2.303; 100
1954-12-01;--:--;   -999.000;      6.432; 100
1955-01-01;--:--;   -999.000;     14.194; 100
1955-02-01;--:--;   -999.000;     10.775; 100
1955-03-01;--:--;   -999.000;      3.984; 100
1955-04-01;--:--;   -999.000;      1.950; 100
1955-05-01;--:--;   -999.000;      1.123; 100
1955-06-01;--:--;   -999.000;      3.617; 100
1955-07-01;--:--;   -999.000;      3.194; 100
1955-08-01;--:--;   -999.000;      1.029; 100
1955-09-01;--:--;   -999.000;      1.100; 100
1955-10-01;--:--;   -999.000;      0.806; 100
1955-11-01;--:--;   -999.000;      0.620; 100
1955-12-01;--:--;   -999.000;      2.174; 100
1956-01-01;--:--;   -999.000;      4.874; 100
1956-02-01;--:--;   -999.000;      2.997; 100
1956-03-01;--:--;   -999.000;      5.784; 100
1956-04-01;--:--;   -999.000;      5.663; 100
1956-05-01;--:--;   -999.000;      3.519; 100
1956-06-01;--:--;   -999.000;      3.520; 100
1956-07-01;--:--;   -999.000;      5.206; 100
1956-08-01;--:--;   -999.000;      2.965; 100
1956-09-01;--:--;   -999.000;      5.590; 100
1956-10-01;--:--;   -999.000;      4.990; 100
1956-11-01;--:--;   -999.000;      4.713; 100
1956-12-01;--:--;   -999.000;      3.597; 100
1957-01-01;--:--;   -999.000;      5.523; 100
1957-02-01;--:--;   -999.000;     11.064; 100
1957-03-01;--:--;   -999.000;      6.455; 100
1957-04-01;--:--;   -999.000;      3.743; 100
1957-05-01;--:--;   -999.000;      2.400; 100
1957-06-01;--:--;   -999.000;     11.830; 100
1957-07-01;--:--;   -999.000;      3.587; 100
1957-08-01;--:--;   -999.000;      1.229; 100
1957-09-01;--:--;   -999.000;      0.920; 100
1957-10-01;--:--;   -999.000;      0.568; 100
1957-11-01;--:--;   -999.000;      1.323; 100
1957-12-01;--:--;   -999.000;      1.519; 100
1958-01-01;--:--;   -999.000;      3.468; 100
1958-02-01;--:--;   -999.000;      5.304; 100
1958-03-01;--:--;   -999.000;      7.116; 100
1958-04-01;--:--;   -999.000;      7.707; 100
1958-05-01;--:--;   -999.000;      3.403; 100
1958-06-01;--:--;   -999.000;      2.310; 100
1958-07-01;--:--;   -999.000;      3.216; 100
1958-08-01;--:--;   -999.000;      1.203; 100
1958-09-01;--:--;   -999.000;      2.037; 100
1958-10-01;--:--;   -999.000;      4.632; 100
1958-11-01;--:--;   -999.000;      5.310; 100
1958-12-01;--:--;   -999.000;      5.861; 100
1959-01-01;--:--;   -999.000;      7.619; 100
1959-02-01;--:--;   -999.000;      4.107; 100
1959-03-01;--:--;   -999.000;      4.823; 100
1959-04-01;--:--;   -999.000;      3.120; 100
1959-05-01;--:--;   -999.000;      4.916; 100
1959-06-01;--:--;   -999.000;      3.020; 100
1959-07-01;--:--;   -999.000;      1.306; 100
1959-08-01;--:--;   -999.000;      0.890; 100
1959-09-01;--:--;   -999.000;      0.813; 100
1959-10-01;--:--;   -999.000;      1.061; 100
1959-11-01;--:--;   -999.000;      1.540; 100
1959-12-01;--:--;   -999.000;      4.000; 100
1960-01-01;--:--;   -999.000;      7.077; 100
1960-02-01;--:--;   -999.000;      7.514; 100
1960-03-01;--:--;   -999.000;     11.790; 100
1960-04-01;--:--;   -999.000;      3.527; 100
1960-05-01;--:--;   -999.000;      1.587; 100
1960-06-01;--:--;   -999.000;      1.830; 100
1960-07-01;--:--;   -999.000;      1.719; 100
1960-08-01;--:--;   -999.000;      3.177; 100
1960-09-01;--:--;   -999.000;      3.107; 100
1960-10-01;--:--;   -999.000;      7.574; 100
1960-11-01;--:--;   -999.000;      8.590; 100
1960-12-01;--:--;   -999.000;      5.113; 100
1961-01-01;--:--;   -999.000;      5.384; 100
1961-02-01;--:--;   -999.000;     11.761; 100
1961-03-01;--:--;   -999.000;      4.223; 100
1961-04-01;--:--;   -999.000;      2.803; 100
1961-05-01;--:--;   -999.000;      1.852; 100
1961-06-01;--:--;   -999.000;      1.613; 100
1961-07-01;--:--;   -999.000;      0.952; 100
1961-08-01;--:--;   -999.000;      1.729; 100
1961-09-01;--:--;   -999.000;      0.510; 100
1961-10-01;--:--;   -999.000;      1.984; 100
1961-11-01;--:--;   -999.000;      3.217; 100
1961-12-01;--:--;   -999.000;      5.919; 100
1962-01-01;--:--;   -999.000;      4.829; 100
1962-02-01;--:--;   -999.000;      4.257; 100
1962-03-01;--:--;   -999.000;      6.197; 100
1962-04-01;--:--;   -999.000;      6.730; 100
1962-05-01;--:--;   -999.000;      5.123; 100
1962-06-01;--:--;   -999.000;      2.310; 100
1962-07-01;--:--;   -999.000;      0.787; 100
1962-08-01;--:--;   -999.000;      0.355; 100
1962-09-01;--:--;   -999.000;      0.567; 100
1962-10-01;--:--;   -999.000;      0.484; 100
1962-11-01;--:--;   -999.000;      1.013; 100
1962-12-01;--:--;   -999.000;      4.832; 100
1963-01-01;--:--;   -999.000;      5.287; 100
1963-02-01;--:--;   -999.000;      2.418; 100
1963-03-01;--:--;   -999.000;      7.658; 100
1963-04-01;--:--;   -999.000;     11.357; 100
1963-05-01;--:--;   -999.000;      4.423; 100
1963-06-01;--:--;   -999.000;      6.600; 100
1963-07-01;--:--;   -999.000;      8.513; 100
1963-08-01;--:--;   -999.000;      6.968; 100
1963-09-01;--:--;   -999.000;      3.450; 100
1963-10-01;--:--;   -999.000;      1.642; 100
1963-11-01;--:--;   -999.000;     10.307; 100
1963-12-01;--:--;   -999.000;      4.871; 100
1964-01-01;--:--;   -999.000;      2.823; 100
1964-02-01;--:--;   -999.000;      2.855; 100
1964-03-01;--:--;   -999.000;      8.326; 100
1964-04-01;--:--;   -999.000;      6.483; 100
1964-05-01;--:--;   -999.000;      5.823; 100
