# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123770
# River:                 DUNIERE
# Station:               SAINTE-SIGOLENE (VAUBARLET)
# Country:               --
# Latitude (DD):       45.213847
# Longitude (DD):      4.214023
# Catchment area (km²):      
# Altitude (m ASL):        636.98
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1947 - 2012
# No. of years:          66
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 786
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1947-01-01;--:--;   -999.000;      1.724; 100
1947-02-01;--:--;   -999.000;      2.206; 100
1947-03-01;--:--;   -999.000;      3.955; 100
1947-04-01;--:--;   -999.000;      2.745; 100
1947-05-01;--:--;   -999.000;      1.197; 100
1947-06-01;--:--;   -999.000;      0.552; 100
1947-07-01;--:--;   -999.000;      0.293; 100
1947-08-01;--:--;   -999.000;      0.290; 100
1947-09-01;--:--;   -999.000;      0.319; 100
1947-10-01;--:--;   -999.000;      0.397; 100
1947-11-01;--:--;   -999.000;      0.978; 100
1947-12-01;--:--;   -999.000;      2.538; 100
1948-01-01;--:--;   -999.000;      5.659; 100
1948-02-01;--:--;   -999.000;      6.106; 100
1948-03-01;--:--;   -999.000;      1.634; 100
1948-04-01;--:--;   -999.000;      2.278; 100
1948-05-01;--:--;   -999.000;      6.755; 100
1948-06-01;--:--;   -999.000;      3.670; 100
1948-07-01;--:--;   -999.000;      1.696; 100
1948-08-01;--:--;   -999.000;      1.709; 100
1948-09-01;--:--;   -999.000;      4.672; 100
1948-10-01;--:--;   -999.000;      1.362; 100
1948-11-01;--:--;   -999.000;      1.157; 100
1948-12-01;--:--;   -999.000;      2.221; 100
1949-01-01;--:--;   -999.000;      2.565; 100
1949-02-01;--:--;   -999.000;      1.679; 100
1949-03-01;--:--;   -999.000;      1.985; 100
1949-04-01;--:--;   -999.000;      0.543; 100
1949-05-01;--:--;   -999.000;      1.934; 100
1949-06-01;--:--;   -999.000;      2.046; 100
1949-07-01;--:--;   -999.000;      0.414; 100
1949-08-01;--:--;   -999.000;      0.262; 100
1949-09-01;--:--;   -999.000;      0.270; 100
1949-10-01;--:--;   -999.000;      0.428; 100
