# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123780
# River:                 LIGNON DU VELAY
# Station:               CHAMBON-AU-LIGNON
# Country:               --
# Latitude (DD):       45.0569
# Longitude (DD):      4.300364
# Catchment area (km²):      
# Altitude (m ASL):        983.18
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960 - 2012
# No. of years:          53
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 630
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1960-01-01;--:--;   -999.000;      5.642; 100
1960-02-01;--:--;   -999.000;      5.472; 100
1960-03-01;--:--;   -999.000;      9.100; 100
1960-04-01;--:--;   -999.000;      3.122; 100
1960-05-01;--:--;   -999.000;      1.174; 100
1960-06-01;--:--;   -999.000;      0.653; 100
1960-07-01;--:--;   -999.000;      0.665; 100
1960-08-01;--:--;   -999.000;      0.937; 100
1960-09-01;--:--;   -999.000;      2.638; 100
1960-10-01;--:--;   -999.000;     13.190; 100
1960-11-01;--:--;   -999.000;      8.857; 100
1960-12-01;--:--;   -999.000;      2.895; 100
1961-01-01;--:--;   -999.000;      3.063; 100
1961-02-01;--:--;   -999.000;      7.932; 100
1961-03-01;--:--;   -999.000;      1.887; 100
1961-04-01;--:--;   -999.000;      1.253; 100
1961-05-01;--:--;   -999.000;      0.769; 100
1961-06-01;--:--;   -999.000;      3.452; 100
1961-07-01;--:--;   -999.000;      0.803; 100
1961-08-01;--:--;   -999.000;      0.336; 100
1961-09-01;--:--;   -999.000;      0.178; 100
1961-10-01;--:--;   -999.000;      2.155; 100
