# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123790
# River:                 SAUNADE
# Station:               PONTAUMUR
# Country:               --
# Latitude (DD):       45.869774
# Longitude (DD):      2.673482
# Catchment area (km²):      
# Altitude (m ASL):        589.47
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2008
# No. of years:          42
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 496
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-09-01;--:--;   -999.000;   -999.000;  10
1967-10-01;--:--;   -999.000;      0.250; 100
1967-11-01;--:--;   -999.000;      1.183; 100
1967-12-01;--:--;   -999.000;      1.873; 100
1968-01-01;--:--;   -999.000;      6.189; 100
1968-02-01;--:--;   -999.000;      2.553; 100
1968-03-01;--:--;   -999.000;      1.405; 100
1968-04-01;--:--;   -999.000;      0.887; 100
1968-05-01;--:--;   -999.000;      2.131; 100
1968-06-01;--:--;   -999.000;      0.897; 100
1968-07-01;--:--;   -999.000;      0.485; 100
1968-08-01;--:--;   -999.000;      0.764; 100
1968-09-01;--:--;   -999.000;      1.941; 100
1968-10-01;--:--;   -999.000;      1.867; 100
1968-11-01;--:--;   -999.000;      1.268; 100
1968-12-01;--:--;   -999.000;      2.200; 100
1969-01-01;--:--;   -999.000;      2.444; 100
1969-02-01;--:--;   -999.000;      2.345; 100
1969-03-01;--:--;   -999.000;      2.301; 100
1969-04-01;--:--;   -999.000;      2.188; 100
1969-05-01;--:--;   -999.000;      2.895; 100
1969-06-01;--:--;   -999.000;      2.107; 100
1969-07-01;--:--;   -999.000;      0.613; 100
1969-08-01;--:--;   -999.000;      0.391; 100
1969-09-01;--:--;   -999.000;      0.947; 100
1969-10-01;--:--;   -999.000;      0.360; 100
1969-11-01;--:--;   -999.000;      1.161; 100
1969-12-01;--:--;   -999.000;      2.486; 100
1970-01-01;--:--;   -999.000;      1.811; 100
1970-02-01;--:--;   -999.000;      5.713; 100
1970-03-01;--:--;   -999.000;      3.813; 100
1970-04-01;--:--;   -999.000;      3.266; 100
1970-05-01;--:--;   -999.000;      1.779; 100
1970-06-01;--:--;   -999.000;      1.305; 100
1970-07-01;--:--;   -999.000;      0.500; 100
1970-08-01;--:--;   -999.000;      0.257; 100
1970-09-01;--:--;   -999.000;      0.265; 100
1970-10-01;--:--;   -999.000;      0.320; 100
1970-11-01;--:--;   -999.000;      0.481; 100
1970-12-01;--:--;   -999.000;      0.782; 100
1971-01-01;--:--;   -999.000;      1.787; 100
1971-02-01;--:--;   -999.000;      3.505; 100
1971-03-01;--:--;   -999.000;      2.586; 100
1971-04-01;--:--;   -999.000;      1.643; 100
1971-05-01;--:--;   -999.000;      1.074; 100
1971-06-01;--:--;   -999.000;      1.155; 100
1971-07-01;--:--;   -999.000;      0.403; 100
1971-08-01;--:--;   -999.000;      0.502; 100
1971-09-01;--:--;   -999.000;      0.408; 100
1971-10-01;--:--;   -999.000;      0.415; 100
1971-11-01;--:--;   -999.000;      0.734; 100
1971-12-01;--:--;   -999.000;      0.795; 100
1972-01-01;--:--;   -999.000;      1.644; 100
1972-02-01;--:--;   -999.000;      2.649; 100
1972-03-01;--:--;   -999.000;      1.267; 100
1972-04-01;--:--;   -999.000;      1.236; 100
1972-05-01;--:--;   -999.000;      0.705; 100
1972-06-01;--:--;   -999.000;      0.655; 100
1972-07-01;--:--;   -999.000;      0.330; 100
1972-08-01;--:--;   -999.000;      0.583; 100
1972-09-01;--:--;   -999.000;      0.540; 100
1972-10-01;--:--;   -999.000;      0.575; 100
1972-11-01;--:--;   -999.000;      1.003; 100
1972-12-01;--:--;   -999.000;      1.480; 100
