# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123800
# River:                 VINCOU
# Station:               BELLAC
# Country:               --
# Latitude (DD):       46.133354
# Longitude (DD):      1.02059
# Catchment area (km²):      
# Altitude (m ASL):        289.86
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 2012
# No. of years:          47
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 558
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-01-01;--:--;   -999.000;     13.453; 100
1966-02-01;--:--;   -999.000;     12.568; 100
1966-03-01;--:--;   -999.000;      6.903; 100
1966-04-01;--:--;   -999.000;      5.473; 100
1966-05-01;--:--;   -999.000;      3.922; 100
1966-06-01;--:--;   -999.000;      1.247; 100
1966-07-01;--:--;   -999.000;      0.671; 100
1966-08-01;--:--;   -999.000;      0.888; 100
1966-09-01;--:--;   -999.000;      0.589; 100
1966-10-01;--:--;   -999.000;      2.010; 100
1966-11-01;--:--;   -999.000;      2.602; 100
1966-12-01;--:--;   -999.000;      8.400; 100
1967-01-01;--:--;   -999.000;      6.131; 100
1967-02-01;--:--;   -999.000;      6.372; 100
1967-03-01;--:--;   -999.000;      5.832; 100
1967-04-01;--:--;   -999.000;      2.691; 100
1967-05-01;--:--;   -999.000;      3.736; 100
1967-06-01;--:--;   -999.000;      1.290; 100
1967-07-01;--:--;   -999.000;      0.359; 100
1967-08-01;--:--;   -999.000;      0.468; 100
1967-09-01;--:--;   -999.000;      0.388; 100
1967-10-01;--:--;   -999.000;      0.626; 100
1967-11-01;--:--;   -999.000;      1.661; 100
1967-12-01;--:--;   -999.000;      2.500; 100
1968-01-01;--:--;   -999.000;      7.667; 100
1968-02-01;--:--;   -999.000;      7.281; 100
1968-03-01;--:--;   -999.000;      3.553; 100
1968-04-01;--:--;   -999.000;      4.468; 100
1968-05-01;--:--;   -999.000;      4.342; 100
1968-06-01;--:--;   -999.000;      1.480; 100
1968-07-01;--:--;   -999.000;      1.114; 100
1968-08-01;--:--;   -999.000;      1.309; 100
1968-09-01;--:--;   -999.000;      2.347; 100
1968-10-01;--:--;   -999.000;      2.170; 100
1968-11-01;--:--;   -999.000;      2.072; 100
1968-12-01;--:--;   -999.000;      5.835; 100
1969-01-01;--:--;   -999.000;      5.243; 100
1969-02-01;--:--;   -999.000;      4.649; 100
1969-03-01;--:--;   -999.000;      4.663; 100
1969-04-01;--:--;   -999.000;      4.099; 100
1969-05-01;--:--;   -999.000;      3.827; 100
1969-06-01;--:--;   -999.000;      3.728; 100
1969-07-01;--:--;   -999.000;      0.960; 100
1969-08-01;--:--;   -999.000;      0.737; 100
1969-09-01;--:--;   -999.000;      1.619; 100
1969-10-01;--:--;   -999.000;      0.994; 100
1969-11-01;--:--;   -999.000;      3.634; 100
1969-12-01;--:--;   -999.000;      5.392; 100
1970-01-01;--:--;   -999.000;      5.592; 100
1970-02-01;--:--;   -999.000;     14.271; 100
1970-03-01;--:--;   -999.000;      6.868; 100
1970-04-01;--:--;   -999.000;      5.943; 100
1970-05-01;--:--;   -999.000;      3.305; 100
1970-06-01;--:--;   -999.000;      1.790; 100
1970-07-01;--:--;   -999.000;      0.854; 100
1970-08-01;--:--;   -999.000;      0.819; 100
1970-09-01;--:--;   -999.000;      0.719; 100
1970-10-01;--:--;   -999.000;      0.802; 100
1970-11-01;--:--;   -999.000;      0.919; 100
1970-12-01;--:--;   -999.000;      0.977; 100
1971-01-01;--:--;   -999.000;      3.957; 100
1971-02-01;--:--;   -999.000;      5.042; 100
1971-03-01;--:--;   -999.000;      3.611; 100
1971-04-01;--:--;   -999.000;      2.517; 100
1971-05-01;--:--;   -999.000;      5.952; 100
1971-06-01;--:--;   -999.000;      4.186; 100
1971-07-01;--:--;   -999.000;      1.344; 100
1971-08-01;--:--;   -999.000;      1.298; 100
1971-09-01;--:--;   -999.000;      0.893; 100
1971-10-01;--:--;   -999.000;      0.895; 100
1971-11-01;--:--;   -999.000;      1.329; 100
1971-12-01;--:--;   -999.000;      1.606; 100
1972-01-01;--:--;   -999.000;      2.027; 100
1972-02-01;--:--;   -999.000;      5.497; 100
1972-03-01;--:--;   -999.000;      5.499; 100
1972-04-01;--:--;   -999.000;      4.017; 100
1972-05-01;--:--;   -999.000;      1.476; 100
1972-06-01;--:--;   -999.000;      0.933; 100
1972-07-01;--:--;   -999.000;      0.480; 100
1972-08-01;--:--;   -999.000;      0.702; 100
1972-09-01;--:--;   -999.000;      0.491; 100
1972-10-01;--:--;   -999.000;      0.724; 100
1972-11-01;--:--;   -999.000;      2.151; 100
1972-12-01;--:--;   -999.000;      2.058; 100
1973-01-01;--:--;   -999.000;      2.541; 100
1973-02-01;--:--;   -999.000;      4.770; 100
1973-03-01;--:--;   -999.000;      2.445; 100
1973-04-01;--:--;   -999.000;      1.603; 100
1973-05-01;--:--;   -999.000;      1.780; 100
1973-06-01;--:--;   -999.000;      1.321; 100
1973-07-01;--:--;   -999.000;      0.478; 100
