# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123810
# River:                 SEMME
# Station:               DROUX
# Country:               --
# Latitude (DD):       46.14986
# Longitude (DD):      1.141593
# Catchment area (km²):      
# Altitude (m ASL):        240.69
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2012
# No. of years:          45
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 523
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-12-01;--:--;   -999.000;      3.079; 100
1969-01-01;--:--;   -999.000;      3.114; 100
1969-02-01;--:--;   -999.000;      2.989; 100
1969-03-01;--:--;   -999.000;      3.120; 100
1969-04-01;--:--;   -999.000;      2.269; 100
1969-05-01;--:--;   -999.000;      1.918; 100
1969-06-01;--:--;   -999.000;      2.429; 100
1969-07-01;--:--;   -999.000;      0.573; 100
1969-08-01;--:--;   -999.000;      0.280; 100
1969-09-01;--:--;   -999.000;      0.623; 100
1969-10-01;--:--;   -999.000;      0.303; 100
1969-11-01;--:--;   -999.000;      2.115; 100
1969-12-01;--:--;   -999.000;      4.120; 100
1970-01-01;--:--;   -999.000;      3.216; 100
1970-02-01;--:--;   -999.000;      7.971; 100
1970-03-01;--:--;   -999.000;      4.315; 100
1970-04-01;--:--;   -999.000;      4.104; 100
1970-05-01;--:--;   -999.000;      1.940; 100
1970-06-01;--:--;   -999.000;      1.007; 100
1970-07-01;--:--;   -999.000;      0.487; 100
1970-08-01;--:--;   -999.000;      0.303; 100
1970-09-01;--:--;   -999.000;      0.237; 100
1970-10-01;--:--;   -999.000;      0.263; 100
1970-11-01;--:--;   -999.000;      0.471; 100
1970-12-01;--:--;   -999.000;      0.574; 100
1971-01-01;--:--;   -999.000;      1.608; 100
1971-02-01;--:--;   -999.000;      2.616; 100
1971-03-01;--:--;   -999.000;      1.740; 100
1971-04-01;--:--;   -999.000;      1.054; 100
1971-05-01;--:--;   -999.000;      3.184; 100
1971-06-01;--:--;   -999.000;      1.758; 100
1971-07-01;--:--;   -999.000;      0.496; 100
1971-08-01;--:--;   -999.000;      0.427; 100
1971-09-01;--:--;   -999.000;      0.360; 100
1971-10-01;--:--;   -999.000;      0.294; 100
1971-11-01;--:--;   -999.000;      0.580; 100
1971-12-01;--:--;   -999.000;      0.762; 100
1972-01-01;--:--;   -999.000;      1.078; 100
1972-02-01;--:--;   -999.000;      3.224; 100
1972-03-01;--:--;   -999.000;      2.439; 100
1972-04-01;--:--;   -999.000;      1.804; 100
1972-05-01;--:--;   -999.000;      0.855; 100
1972-06-01;--:--;   -999.000;      0.518; 100
1972-07-01;--:--;   -999.000;      0.202; 100
1972-08-01;--:--;   -999.000;      0.334; 100
1972-09-01;--:--;   -999.000;      0.262; 100
1972-10-01;--:--;   -999.000;      0.198; 100
1972-11-01;--:--;   -999.000;      1.414; 100
1972-12-01;--:--;   -999.000;      1.267; 100
