# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123820
# River:                 GARTEMPE
# Station:               FOLLES (BESSINES)
# Country:               --
# Latitude (DD):       46.11283
# Longitude (DD):      1.432653
# Catchment area (km²):      
# Altitude (m ASL):        352.42
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960 - 2012
# No. of years:          53
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 630
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1960-01-01;--:--;   -999.000;     13.768; 100
1960-02-01;--:--;   -999.000;     11.631; 100
1960-03-01;--:--;   -999.000;     12.081; 100
1960-04-01;--:--;   -999.000;      5.417; 100
1960-05-01;--:--;   -999.000;      5.410; 100
1960-06-01;--:--;   -999.000;      2.973; 100
1960-07-01;--:--;   -999.000;      1.961; 100
1960-08-01;--:--;   -999.000;      3.369; 100
1960-09-01;--:--;   -999.000;      3.707; 100
1960-10-01;--:--;   -999.000;     21.765; 100
1960-11-01;--:--;   -999.000;     18.233; 100
1960-12-01;--:--;   -999.000;     17.161; 100
1961-01-01;--:--;   -999.000;     26.790; 100
1961-02-01;--:--;   -999.000;     14.886; 100
1961-03-01;--:--;   -999.000;      6.029; 100
1961-04-01;--:--;   -999.000;      5.740; 100
1961-05-01;--:--;   -999.000;      5.758; 100
1961-06-01;--:--;   -999.000;      4.138; 100
1961-07-01;--:--;   -999.000;      2.057; 100
1961-08-01;--:--;   -999.000;      1.366; 100
1961-09-01;--:--;   -999.000;      0.868; 100
1961-10-01;--:--;   -999.000;      1.891; 100
1961-11-01;--:--;   -999.000;      4.458; 100
1961-12-01;--:--;   -999.000;     12.226; 100
1962-01-01;--:--;   -999.000;     20.661; 100
1962-02-01;--:--;   -999.000;     12.186; 100
1962-03-01;--:--;   -999.000;     14.697; 100
1962-04-01;--:--;   -999.000;     17.307; 100
1962-05-01;--:--;   -999.000;     12.219; 100
1962-06-01;--:--;   -999.000;      5.617; 100
1962-07-01;--:--;   -999.000;      2.765; 100
1962-08-01;--:--;   -999.000;      1.753; 100
1962-09-01;--:--;   -999.000;      1.448; 100
1962-10-01;--:--;   -999.000;      1.479; 100
1962-11-01;--:--;   -999.000;      4.815; 100
1962-12-01;--:--;   -999.000;      9.277; 100
1963-01-01;--:--;   -999.000;      7.116; 100
1963-02-01;--:--;   -999.000;     15.607; 100
1963-03-01;--:--;   -999.000;     15.216; 100
1963-04-01;--:--;   -999.000;     14.208; 100
1963-05-01;--:--;   -999.000;      6.298; 100
1963-06-01;--:--;   -999.000;     10.931; 100
1963-07-01;--:--;   -999.000;      4.894; 100
1963-08-01;--:--;   -999.000;      9.011; 100
1963-09-01;--:--;   -999.000;      5.511; 100
1963-10-01;--:--;   -999.000;      3.961; 100
1963-11-01;--:--;   -999.000;      8.624; 100
1963-12-01;--:--;   -999.000;      6.964; 100
1964-01-01;--:--;   -999.000;      4.392; 100
1964-02-01;--:--;   -999.000;      7.338; 100
1964-03-01;--:--;   -999.000;     11.195; 100
1964-04-01;--:--;   -999.000;     15.575; 100
1964-05-01;--:--;   -999.000;      8.292; 100
1964-06-01;--:--;   -999.000;      4.733; 100
1964-07-01;--:--;   -999.000;      1.775; 100
1964-08-01;--:--;   -999.000;      1.568; 100
1964-09-01;--:--;   -999.000;      1.896; 100
1964-10-01;--:--;   -999.000;      3.056; 100
1964-11-01;--:--;   -999.000;      3.101; 100
1964-12-01;--:--;   -999.000;      4.083; 100
1965-01-01;--:--;   -999.000;     10.505; 100
1965-02-01;--:--;   -999.000;      5.357; 100
1965-03-01;--:--;   -999.000;      8.990; 100
1965-04-01;--:--;   -999.000;      9.012; 100
1965-05-01;--:--;   -999.000;      8.505; 100
1965-06-01;--:--;   -999.000;      5.331; 100
1965-07-01;--:--;   -999.000;      2.434; 100
1965-08-01;--:--;   -999.000;      3.317; 100
1965-09-01;--:--;   -999.000;     17.990; 100
1965-10-01;--:--;   -999.000;      8.290; 100
1965-11-01;--:--;   -999.000;     10.990; 100
1965-12-01;--:--;   -999.000;     23.455; 100
1966-01-01;--:--;   -999.000;     26.884; 100
1966-02-01;--:--;   -999.000;     25.379; 100
1966-03-01;--:--;   -999.000;     15.811; 100
1966-04-01;--:--;   -999.000;     12.413; 100
1966-05-01;--:--;   -999.000;     10.555; 100
1966-06-01;--:--;   -999.000;      5.761; 100
1966-07-01;--:--;   -999.000;      4.205; 100
1966-08-01;--:--;   -999.000;      3.296; 100
1966-09-01;--:--;   -999.000;      1.912; 100
1966-10-01;--:--;   -999.000;      6.123; 100
1966-11-01;--:--;   -999.000;      6.775; 100
1966-12-01;--:--;   -999.000;     21.171; 100
1967-01-01;--:--;   -999.000;     14.415; 100
1967-02-01;--:--;   -999.000;     12.743; 100
1967-03-01;--:--;   -999.000;     12.474; 100
1967-04-01;--:--;   -999.000;      6.947; 100
1967-05-01;--:--;   -999.000;      7.835; 100
1967-06-01;--:--;   -999.000;      5.208; 100
1967-07-01;--:--;   -999.000;      1.108; 100
1967-08-01;--:--;   -999.000;      1.787; 100
