# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-01-03
#
# GRDC-No.:              6123825
# River:                 ARDOUR
# Station:               FOLLES (FORGEFER)
# Country:               --
# Latitude (DD):       46.09575
# Longitude (DD):      1.495156
# Catchment area (km²):      
# Altitude (m ASL):        372.38
# Next downstream station:      -
# Remarks:               
# Owner of original data: France - National Research Institute of Science and Technology for Environment and Agriculture (IRSTEA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 2012
# No. of years:          46
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 537
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-10-01;--:--;   -999.000;   -999.000;  35
1967-11-01;--:--;   -999.000;      1.469; 100
1967-12-01;--:--;   -999.000;      1.947; 100
1968-01-01;--:--;   -999.000;      4.265; 100
1968-02-01;--:--;   -999.000;      3.060; 100
1968-03-01;--:--;   -999.000;      1.671; 100
1968-04-01;--:--;   -999.000;      2.150; 100
1968-05-01;--:--;   -999.000;      1.852; 100
1968-06-01;--:--;   -999.000;      1.056; 100
1968-07-01;--:--;   -999.000;      1.015; 100
1968-08-01;--:--;   -999.000;      0.964; 100
1968-09-01;--:--;   -999.000;      1.353; 100
1968-10-01;--:--;   -999.000;      1.118; 100
1968-11-01;--:--;   -999.000;      1.069; 100
1968-12-01;--:--;   -999.000;      3.741; 100
1969-01-01;--:--;   -999.000;      3.370; 100
1969-02-01;--:--;   -999.000;      2.859; 100
1969-03-01;--:--;   -999.000;      3.147; 100
1969-04-01;--:--;   -999.000;      2.612; 100
1969-05-01;--:--;   -999.000;      2.358; 100
1969-06-01;--:--;   -999.000;      2.094; 100
1969-07-01;--:--;   -999.000;      0.803; 100
1969-08-01;--:--;   -999.000;      0.612; 100
1969-09-01;--:--;   -999.000;      1.026; 100
1969-10-01;--:--;   -999.000;      0.518; 100
1969-11-01;--:--;   -999.000;      2.211; 100
1969-12-01;--:--;   -999.000;      2.985; 100
1970-01-01;--:--;   -999.000;      3.465; 100
1970-02-01;--:--;   -999.000;      7.425; 100
1970-03-01;--:--;   -999.000;      5.012; 100
1970-04-01;--:--;   -999.000;      4.151; 100
1970-05-01;--:--;   -999.000;      2.035; 100
1970-06-01;--:--;   -999.000;      1.513; 100
1970-07-01;--:--;   -999.000;      0.830; 100
1970-08-01;--:--;   -999.000;      0.801; 100
1970-09-01;--:--;   -999.000;      0.670; 100
1970-10-01;--:--;   -999.000;      0.881; 100
1970-11-01;--:--;   -999.000;      0.791; 100
1970-12-01;--:--;   -999.000;      0.894; 100
1971-01-01;--:--;   -999.000;      2.286; 100
1971-02-01;--:--;   -999.000;      2.813; 100
1971-03-01;--:--;   -999.000;      1.783; 100
1971-04-01;--:--;   -999.000;      1.278; 100
1971-05-01;--:--;   -999.000;      2.305; 100
1971-06-01;--:--;   -999.000;      2.539; 100
1971-07-01;--:--;   -999.000;      1.177; 100
1971-08-01;--:--;   -999.000;      1.304; 100
1971-09-01;--:--;   -999.000;      0.830; 100
1971-10-01;--:--;   -999.000;      0.671; 100
1971-11-01;--:--;   -999.000;      0.995; 100
1971-12-01;--:--;   -999.000;      0.938; 100
1972-01-01;--:--;   -999.000;      1.372; 100
1972-02-01;--:--;   -999.000;      2.997; 100
1972-03-01;--:--;   -999.000;      2.591; 100
1972-04-01;--:--;   -999.000;      1.974; 100
1972-05-01;--:--;   -999.000;      1.485; 100
1972-06-01;--:--;   -999.000;      1.116; 100
1972-07-01;--:--;   -999.000;      0.508; 100
1972-08-01;--:--;   -999.000;      0.885; 100
1972-09-01;--:--;   -999.000;      0.781; 100
1972-10-01;--:--;   -999.000;      0.553; 100
1972-11-01;--:--;   -999.000;      1.639; 100
1972-12-01;--:--;   -999.000;      1.629; 100
1973-01-01;--:--;   -999.000;      1.630; 100
1973-02-01;--:--;   -999.000;      2.664; 100
1973-03-01;--:--;   -999.000;      1.587; 100
1973-04-01;--:--;   -999.000;      0.982; 100
1973-05-01;--:--;   -999.000;      1.257; 100
1973-06-01;--:--;   -999.000;      1.093; 100
1973-07-01;--:--;   -999.000;      0.761; 100
1973-08-01;--:--;   -999.000;      0.631; 100
1973-09-01;--:--;   -999.000;      0.416; 100
1973-10-01;--:--;   -999.000;      1.088; 100
1973-11-01;--:--;   -999.000;      0.978; 100
1973-12-01;--:--;   -999.000;      2.419; 100
1974-01-01;--:--;   -999.000;      2.285; 100
1974-02-01;--:--;   -999.000;      3.533; 100
1974-03-01;--:--;   -999.000;      4.391; 100
1974-04-01;--:--;   -999.000;      2.740; 100
1974-05-01;--:--;   -999.000;      1.254; 100
1974-06-01;--:--;   -999.000;      0.718; 100
1974-07-01;--:--;   -999.000;      0.388; 100
1974-08-01;--:--;   -999.000;      0.331; 100
1974-09-01;--:--;   -999.000;      0.565; 100
1974-10-01;--:--;   -999.000;      1.874; 100
1974-11-01;--:--;   -999.000;      2.875; 100
1974-12-01;--:--;   -999.000;      2.784; 100
1975-01-01;--:--;   -999.000;      2.784; 100
1975-02-01;--:--;   -999.000;      2.340; 100
1975-03-01;--:--;   -999.000;      2.533; 100
1975-04-01;--:--;   -999.000;      3.281; 100
1975-05-01;--:--;   -999.000;      1.989; 100
1975-06-01;--:--;   -999.000;      0.965; 100
1975-07-01;--:--;   -999.000;      0.656; 100
1975-08-01;--:--;   -999.000;      0.358; 100
1975-09-01;--:--;   -999.000;      1.082; 100
1975-10-01;--:--;   -999.000;      0.862; 100
1975-11-01;--:--;   -999.000;      1.573; 100
1975-12-01;--:--;   -999.000;      2.008; 100
1976-01-01;--:--;   -999.000;      1.090; 100
1976-02-01;--:--;   -999.000;      1.986; 100
1976-03-01;--:--;   -999.000;      1.030; 100
1976-04-01;--:--;   -999.000;      0.848; 100
1976-05-01;--:--;   -999.000;      1.003; 100
1976-06-01;--:--;   -999.000;      0.335; 100
1976-07-01;--:--;   -999.000;      0.269; 100
1976-08-01;--:--;   -999.000;      0.192; 100
1976-09-01;--:--;   -999.000;      0.363; 100
1976-10-01;--:--;   -999.000;      0.877; 100
1976-11-01;--:--;   -999.000;      2.040; 100
1976-12-01;--:--;   -999.000;      4.389; 100
1977-01-01;--:--;   -999.000;      2.689; 100
1977-02-01;--:--;   -999.000;      6.885; 100
1977-03-01;--:--;   -999.000;      3.714; 100
1977-04-01;--:--;   -999.000;      3.129; 100
1977-05-01;--:--;   -999.000;      4.237; 100
